# CREATED_DATE: 2021-04-05T22:09:55.547Z
# MODIFIED_DATE: 2021-11-09T10:03:37.283Z
# STATUS: FollowupFinished
# OBS_GROUP: ALeRCE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J083156.822-040754.803; (08:31:56.82, -04:07:54.81)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021ihp
# RA: 127.985968489836
# DEC: -4.13381984409296
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-02T05:06:12.001Z
# REDSHIFT: 0.039
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-04-02T04:26:46Z
# NON_DETECT_LIMIT: 20.5695
# MW_EBV: 0.037
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEbse/59306/1083156620040801900_59306.339_113803880_337_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEbse/59306/1083156620040801900_59306.339_113803880_337_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEbse/59306/1083156620040801900_59306.339_113803880_337_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEbse/59306/1083156620040801900_59306.339_113803880_337_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEbse/59306/1083156620040801900_59306.339_113803880_337_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEbse/59306/1083156620040801900_59306.339_113803880_337_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2021ihp
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59306.213  r-ZTF  513.192  156.994  20.724  0.332  None  P48  ZTF-Cam  None
OBS:      59309.215  r-ZTF  828.324  149.660  20.204  0.196  None  P48  ZTF-Cam  None
OBS:      59309.215  r-ZTF  828.360  149.667  20.204  0.196  None  P48  ZTF-Cam  None
OBS:      59317.158  r-ZTF  629.736  123.947  20.502  0.214  None  P48  ZTF-Cam  None
OBS:      59208.548  r  -70.014  43.439  nan  -0.674  None  Pan-STARRS1  GPC1  None
OBS:      59208.551  i  -55.735  50.716  nan  -0.988  None  Pan-STARRS1  GPC1  None
OBS:      59211.531  i  -879.018  481.163  nan  -0.594  None  Pan-STARRS1  GPC1  None
OBS:      59213.590  z  61.695  456.525  23.024  7.400  None  Pan-STARRS1  GPC1  None
OBS:      59213.593  r  -62.502  311.094  nan  -5.404  None  Pan-STARRS1  GPC1  None
OBS:      59220.557  z  115.232  93.764  22.346  0.814  None  Pan-STARRS1  GPC1  None
OBS:      59220.560  g  -104.483  68.940  nan  -0.716  None  Pan-STARRS1  GPC1  None
OBS:      59222.506  g  -48.026  94.337  nan  -2.133  None  Pan-STARRS1  GPC1  None
OBS:      59222.509  i  -91.216  87.056  nan  -1.036  None  Pan-STARRS1  GPC1  None
OBS:      59236.569  z  2860.465  2323.904  18.859  0.812  None  Pan-STARRS1  GPC1  None
OBS:      59256.350  g  -78.792  187.794  nan  -2.588  None  Pan-STARRS1  GPC1  None
OBS:      59256.353  i  -182.442  117.157  nan  -0.697  None  Pan-STARRS1  GPC1  None
OBS:      59262.403  i  16.877  49.935  24.432  2.959  None  Pan-STARRS1  GPC1  None
OBS:      59262.406  g  -74.263  46.599  nan  -0.681  None  Pan-STARRS1  GPC1  None
OBS:      59267.447  i  50.663  226.377  23.238  4.468  None  Pan-STARRS1  GPC1  None
OBS:      59267.450  r  -22.379  301.840  nan  -14.644  None  Pan-STARRS1  GPC1  None
OBS:      59278.485  g  165.336  802.267  21.954  4.852  None  Pan-STARRS1  GPC1  None
OBS:      59278.490  i  1552.172  1002.450  19.523  0.646  None  Pan-STARRS1  GPC1  None
OBS:      59288.283  g  -281.377  140.000  nan  -0.540  None  Pan-STARRS1  GPC1  None
OBS:      59288.307  r  -30.738  139.173  nan  -4.916  None  Pan-STARRS1  GPC1  None
OBS:      59293.294  g  16.974  138.879  24.426  8.182  None  Pan-STARRS1  GPC1  None
