# CREATED_DATE: 2021-04-14T07:13:45.634Z
# MODIFIED_DATE: 2022-07-25T06:37:47.337Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: None
# PHOTO_CLASS: CART
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ113654.92+101552.7; (11:36:54.92, +10:15:52.77)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021joz
# RA: 174.2281919254787
# DEC: 10.264542308762936
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-17T00:00:00Z
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-04-13T04:38:48Z
# NON_DETECT_LIMIT: 20.6701
# MW_EBV: 0.036
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEclf/59321/1113654751101552300_59321.303_114317450_40_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEclf/59321/1113654751101552300_59321.303_114317450_40_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEclf/59321/1113654751101552300_59321.303_114317450_40_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEclf/59321/1113654751101552300_59321.303_114317450_40_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEclf/59321/1113654751101552300_59321.303_114317450_40_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEclf/59321/1113654751101552300_59321.303_114317450_40_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: None
# POINT_SOURCE_PROBABILITY: 0.0
# ALT_STATUS: GOOD
# SLUG: 2021joz
# REAL_BOGUS_SCORE: 0.990116
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46, 71, 79]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59317.236  g-ZTF  852.764  104.926  20.173  0.134  None  P48  ZTF-Cam  None
OBS:      59320.175  g-ZTF  1497.214  233.887  19.562  0.170  None  P48  ZTF-Cam  None
OBS:      59323.226  r-ZTF  1475.106  219.938  19.578  0.162  None  P48  ZTF-Cam  None
OBS:      59323.258  g-ZTF  1762.471  235.910  19.385  0.145  None  P48  ZTF-Cam  None
OBS:      59325.228  g-ZTF  1842.614  254.273  19.336  0.150  None  P48  ZTF-Cam  None
OBS:      59325.257  r-ZTF  1634.563  187.531  19.466  0.125  None  P48  ZTF-Cam  None
OBS:      59335.234  g-ZTF  1956.835  281.992  19.271  0.156  None  P48  ZTF-Cam  None
OBS:      59338.207  g-ZTF  1753.971  196.993  19.390  0.122  None  P48  ZTF-Cam  None
OBS:      59338.213  r-ZTF  1829.689  161.905  19.344  0.096  None  P48  ZTF-Cam  None
OBS:      59340.214  g-ZTF  1511.511  189.235  19.551  0.136  None  P48  ZTF-Cam  None
OBS:      59340.254  r-ZTF  1794.173  164.109  19.365  0.099  None  P48  ZTF-Cam  None
OBS:      59342.256  r-ZTF  1876.027  176.810  19.317  0.102  None  P48  ZTF-Cam  None
OBS:      59344.227  r-ZTF  1703.480  163.317  19.422  0.104  None  P48  ZTF-Cam  None
OBS:      59344.270  g-ZTF  1356.864  191.417  19.669  0.153  None  P48  ZTF-Cam  None
OBS:      59346.333  g-ZTF  1417.365  229.267  19.621  0.176  None  P48  ZTF-Cam  None
OBS:      59348.247  g-ZTF  1069.887  175.075  19.927  0.178  None  P48  ZTF-Cam  None
OBS:      59350.247  r-ZTF  1445.772  228.319  19.600  0.171  None  P48  ZTF-Cam  None
OBS:      59361.193  r-ZTF  1506.003  224.481  19.555  0.162  None  P48  ZTF-Cam  None
OBS:      59367.195  r-ZTF  1060.397  204.943  19.936  0.210  None  P48  ZTF-Cam  None
OBS:      59377.213  r-ZTF  1074.634  177.505  19.922  0.179  None  P48  ZTF-Cam  None
OBS:      59622.443  r-ZTF  -87.064  212.122  nan  -2.645  None  P48  ZTF-Cam  None
