# CREATED_DATE: 2021-04-10T16:33:38.142Z
# MODIFIED_DATE: 2022-10-09T06:33:32.413Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ16244005+2356173; (16:24:40.03, +23:56:17.09)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021jvl
# RA: 246.16664067894266
# DEC: 23.934833008833444
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-10T00:00:00Z
# REDSHIFT: 0.1594
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.052
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEbxj/59314/1162439991235605500_59314.478_114083812_232_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEbxj/59314/1162439991235605500_59314.478_114083812_232_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEbxj/59314/1162439991235605500_59314.478_114083812_232_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEbxj/59314/1162439991235605500_59314.478_114083812_232_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEbxj/59314/1162439991235605500_59314.478_114083812_232_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEbxj/59314/1162439991235605500_59314.478_114083812_232_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.004
# ALT_STATUS: CONFIRMED
# SLUG: 2021jvl
# REAL_BOGUS_SCORE: 0.87008
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59292.500  i  -45.573  202.133  nan  -4.816  None  Pan-STARRS1  GPC1  None
OBS:      59292.502  g  7.242  171.407  25.350  23.669  None  Pan-STARRS1  GPC1  None
OBS:      59297.517  z  -84.897  338.250  nan  -4.326  None  Pan-STARRS1  GPC1  None
OBS:      59297.519  r  -193.758  252.602  nan  -1.415  None  Pan-STARRS1  GPC1  None
OBS:      59299.544  i  122.371  80.331  22.281  0.656  None  Pan-STARRS1  GPC1  None
OBS:      59299.547  r  28.099  91.453  23.878  3.255  None  Pan-STARRS1  GPC1  None
OBS:      59303.522  r  132.437  179.996  22.195  1.359  None  Pan-STARRS1  GPC1  None
OBS:      59303.525  z  231.730  145.126  21.587  0.626  None  Pan-STARRS1  GPC1  None
OBS:      59304.520  r  388.015  392.316  21.028  1.011  None  Pan-STARRS1  GPC1  None
OBS:      59304.523  i  71.694  361.558  22.861  5.043  None  Pan-STARRS1  GPC1  None
OBS:      59306.467  r  364.665  125.529  21.095  0.344  None  Pan-STARRS1  GPC1  None
OBS:      59306.470  z  305.735  104.326  21.287  0.341  None  Pan-STARRS1  GPC1  None
OBS:      59313.622  g  552.658  85.475  20.644  0.155  None  Pan-STARRS1  GPC1  None
OBS:      59314.475  r  437.845  49.944  20.897  0.124  None  Pan-STARRS1  GPC1  None
OBS:      59314.478  g  465.886  63.700  20.829  0.148  None  Pan-STARRS1  GPC1  None
OBS:      59318.492  i  396.537  52.829  21.004  0.133  None  Pan-STARRS1  GPC1  None
OBS:      59318.495  g  366.511  52.204  21.090  0.142  None  Pan-STARRS1  GPC1  None
OBS:      59321.474  r  369.930  61.336  21.080  0.180  None  Pan-STARRS1  GPC1  None
OBS:      59321.476  g  271.769  59.949  21.415  0.239  None  Pan-STARRS1  GPC1  None
OBS:      59326.424  i  309.722  288.554  21.273  0.932  None  Pan-STARRS1  GPC1  None
OBS:      59326.426  r  253.019  187.458  21.492  0.741  None  Pan-STARRS1  GPC1  None
OBS:      59327.444  z  261.664  114.483  21.456  0.438  None  Pan-STARRS1  GPC1  None
