# CREATED_DATE: 2021-04-18T21:02:33.307Z
# MODIFIED_DATE: 2022-07-26T04:29:57.345Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237668589185204328; (12:10:21.78, +16:47:21.14)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021kcz
# RA: 182.5906721023521
# DEC: 16.789122088981834
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-18T00:00:00Z
# REDSHIFT: 0.09
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.033
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEcol/59322/1121021761164720900_59322.420_114378985_148_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEcol/59322/1121021761164720900_59322.420_114378985_148_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEcol/59322/1121021761164720900_59322.420_114378985_148_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEcol/59322/1121021761164720900_59322.420_114378985_148_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEcol/59322/1121021761164720900_59322.420_114378985_148_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEcol/59322/1121021761164720900_59322.420_114378985_148_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.037
# ALT_STATUS: CONFIRMED
# SLUG: 2021kcz
# REAL_BOGUS_SCORE: 0.588152
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59237.643  i  162.177  355.340  21.975  2.191  None  Pan-STARRS1  GPC1  None
OBS:      59237.645  r  -275.812  669.173  nan  -2.634  None  Pan-STARRS1  GPC1  None
OBS:      59276.598  r  -289.402  308.054  nan  -1.156  None  Pan-STARRS1  GPC1  None
OBS:      59276.601  z  113.665  424.000  22.361  3.730  None  Pan-STARRS1  GPC1  None
OBS:      59292.390  i  38.066  116.614  23.549  3.064  None  Pan-STARRS1  GPC1  None
OBS:      59292.393  g  -31.020  141.344  nan  -4.947  None  Pan-STARRS1  GPC1  None
OBS:      59311.338  g  55.420  44.024  23.141  0.794  None  Pan-STARRS1  GPC1  None
OBS:      59311.340  r  -45.518  48.396  nan  -1.154  None  Pan-STARRS1  GPC1  None
OBS:      59313.301  g  155.842  105.757  22.018  0.679  None  Pan-STARRS1  GPC1  None
OBS:      59316.448  g  283.060  166.519  21.370  0.588  None  Pan-STARRS1  GPC1  None
OBS:      59316.451  i  -40.859  217.068  nan  -5.768  None  Pan-STARRS1  GPC1  None
OBS:      59318.437  g  336.236  89.412  21.183  0.266  None  Pan-STARRS1  GPC1  None
OBS:      59318.440  r  219.978  88.249  21.644  0.401  None  Pan-STARRS1  GPC1  None
OBS:      59322.420  r  895.530  65.845  20.120  0.080  None  Pan-STARRS1  GPC1  None
OBS:      59322.420  r  847.852  59.228  20.179  0.076  None  Pan-STARRS1  GPC1  None
OBS:      59331.394  r  1659.587  439.547  19.450  0.288  None  Pan-STARRS1  GPC1  None
OBS:      59331.394  r  1617.335  482.046  19.478  0.324  None  Pan-STARRS1  GPC1  None
OBS:      59331.397  i  1368.534  325.168  19.659  0.238  None  Pan-STARRS1  GPC1  None
OBS:      59333.424  r  1806.009  77.891  19.358  0.047  None  Pan-STARRS1  GPC1  None
OBS:      59333.424  r  1828.100  83.517  19.345  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59333.427  z  1569.640  131.976  19.511  0.091  None  Pan-STARRS1  GPC1  None
OBS:      59333.427  z  1566.030  139.437  19.513  0.097  None  Pan-STARRS1  GPC1  None
OBS:      59335.396  r  1835.564  246.838  19.341  0.134  None  Pan-STARRS1  GPC1  None
OBS:      59335.399  i  1721.733  257.677  19.410  0.150  None  Pan-STARRS1  GPC1  None
OBS:      59343.258  i  1556.969  66.612  19.519  0.046  None  Pan-STARRS1  GPC1  None
OBS:      59343.258  i  1611.833  74.482  19.482  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59343.261  g  1543.832  68.016  19.529  0.048  None  Pan-STARRS1  GPC1  None
OBS:      59343.261  g  1447.038  64.122  19.599  0.048  None  Pan-STARRS1  GPC1  None
OBS:      59345.259  g  1302.087  141.565  19.713  0.118  None  Pan-STARRS1  GPC1  None
OBS:      59345.259  g  1324.952  140.522  19.695  0.115  None  Pan-STARRS1  GPC1  None
OBS:      59345.262  r  1341.900  137.752  19.681  0.111  None  Pan-STARRS1  GPC1  None
OBS:      59345.262  r  1363.327  129.220  19.663  0.103  None  Pan-STARRS1  GPC1  None
OBS:      59347.365  i  1373.536  87.912  19.655  0.069  None  Pan-STARRS1  GPC1  None
OBS:      59347.365  i  1384.459  79.245  19.647  0.062  None  Pan-STARRS1  GPC1  None
OBS:      59347.368  g  1238.797  81.071  19.767  0.071  None  Pan-STARRS1  GPC1  None
OBS:      59347.368  g  1184.241  81.770  19.816  0.075  None  Pan-STARRS1  GPC1  None
OBS:      59359.337  z  666.991  145.664  20.440  0.237  None  Pan-STARRS1  GPC1  None
OBS:      59359.337  z  637.265  164.599  20.489  0.280  None  Pan-STARRS1  GPC1  None
OBS:      59359.340  r  465.194  145.508  20.831  0.313  None  Pan-STARRS1  GPC1  None
OBS:      59361.365  r  389.117  101.315  21.025  0.283  None  Pan-STARRS1  GPC1  None
OBS:      59361.365  r  350.203  89.757  21.139  0.278  None  Pan-STARRS1  GPC1  None
OBS:      59361.368  i  377.572  84.572  21.058  0.243  None  Pan-STARRS1  GPC1  None
OBS:      59361.368  i  397.155  94.546  21.003  0.258  None  Pan-STARRS1  GPC1  None
OBS:      59365.329  r  220.861  37.262  21.640  0.183  None  Pan-STARRS1  GPC1  None
OBS:      59365.329  r  257.276  40.527  21.474  0.171  None  Pan-STARRS1  GPC1  None
OBS:      59365.332  i  429.893  45.638  20.917  0.115  None  Pan-STARRS1  GPC1  None
OBS:      59365.332  i  430.408  50.062  20.915  0.126  None  Pan-STARRS1  GPC1  None
OBS:      59367.316  z  239.363  134.924  21.552  0.564  None  Pan-STARRS1  GPC1  None
