# CREATED_DATE: 2021-05-29T20:00:25.280Z
# MODIFIED_DATE: 2022-10-19T19:45:29.102Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237656494561362386; (21:36:10.50, +10:37:56.19)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021nue
# RA: 324.0417480011864
# DEC: 10.63278421024104
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-06-08T00:00:00Z
# REDSHIFT: 0.036
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-05-25T14:39:50Z
# NON_DETECT_LIMIT: 19.05
# MW_EBV: 0.067
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11FYSEdvu/59373/1213610021103758000_59373.588_116084188_134_target.jpeg
# POSTAGE_STAMP_REF: 11FYSEdvu/59373/1213610021103758000_59373.588_116084188_134_ref.jpeg
# POSTAGE_STAMP_DIFF: 11FYSEdvu/59373/1213610021103758000_59373.588_116084188_134_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11FYSEdvu/59373/1213610021103758000_59373.588_116084188_134_target.fits
# POSTAGE_STAMP_REF_FITS: 11FYSEdvu/59373/1213610021103758000_59373.588_116084188_134_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11FYSEdvu/59373/1213610021103758000_59373.588_116084188_134_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021nue
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59363.573  orange  3113.150  487.444  18.767  0.170  None  ATLAS  HKO  None
OBS:      59373.585  r  2933.399  124.642  18.832  0.042  None  Pan-STARRS1  GPC1  None
OBS:      59373.588  g  2583.116  163.636  18.970  0.063  None  Pan-STARRS1  GPC1  None
OBS:      59406.464  r  2629.313  115.350  18.950  0.044  None  Pan-STARRS1  GPC1  None
OBS:      59406.467  g  1319.652  118.632  19.699  0.090  None  Pan-STARRS1  GPC1  None
OBS:      59415.415  z  2367.024  167.503  19.064  0.071  None  Pan-STARRS1  GPC1  None
OBS:      59415.417  r  2536.215  131.150  18.989  0.052  None  Pan-STARRS1  GPC1  None
OBS:      59425.409  g  1219.821  127.288  19.784  0.104  None  Pan-STARRS1  GPC1  None
OBS:      59425.412  z  2339.071  149.410  19.077  0.064  None  Pan-STARRS1  GPC1  None
OBS:      59433.376  i  2535.186  118.557  18.990  0.047  None  Pan-STARRS1  GPC1  None
OBS:      59433.378  g  1196.423  173.547  19.805  0.145  None  Pan-STARRS1  GPC1  None
OBS:      59434.511  r  2264.299  70.548  19.113  0.031  None  Pan-STARRS1  GPC1  None
OBS:      59434.514  g  1156.188  81.483  19.842  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59442.381  z  2259.164  105.634  19.115  0.047  None  Pan-STARRS1  GPC1  None
OBS:      59442.384  g  1021.784  88.236  19.977  0.086  None  Pan-STARRS1  GPC1  None
OBS:      59451.323  r  2211.481  347.831  19.138  0.157  None  Pan-STARRS1  GPC1  None
OBS:      59451.325  z  2802.430  432.033  18.881  0.154  None  Pan-STARRS1  GPC1  None
OBS:      59453.434  r  2363.100  210.601  19.066  0.089  None  Pan-STARRS1  GPC1  None
OBS:      59453.437  i  2489.603  401.380  19.010  0.161  None  Pan-STARRS1  GPC1  None
OBS:      59462.416  r  2094.955  194.321  19.197  0.093  None  Pan-STARRS1  GPC1  None
OBS:      59462.419  g  856.211  169.148  20.169  0.198  None  Pan-STARRS1  GPC1  None
OBS:      59466.421  i  2003.661  180.898  19.245  0.090  None  Pan-STARRS1  GPC1  None
