# CREATED_DATE: 2021-01-05T17:33:56.248Z
# MODIFIED_DATE: 2021-11-09T10:02:48.298Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J091528.143+314824.848; (09:15:28.14, +31:48:24.89)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021pj
# RA: 138.863344170672
# DEC: 31.8076108414574
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-01-05T12:05:45.600Z
# REDSHIFT: 0.042
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-01-05T08:12:32Z
# NON_DETECT_LIMIT: 20.0779
# MW_EBV: 0.019
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11AYSEacz/59219/1091527191314827500_59219.506_111826477_461_target.jpeg
# POSTAGE_STAMP_REF: 11AYSEacz/59219/1091527191314827500_59219.506_111826477_461_ref.jpeg
# POSTAGE_STAMP_DIFF: 11AYSEacz/59219/1091527191314827500_59219.506_111826477_461_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11AYSEacz/59219/1091527191314827500_59219.506_111826477_461_target.fits
# POSTAGE_STAMP_REF_FITS: 11AYSEacz/59219/1091527191314827500_59219.506_111826477_461_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11AYSEacz/59219/1091527191314827500_59219.506_111826477_461_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2021pj
# REAL_BOGUS_SCORE: 0.508171
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59200.574  g  -37.127  77.548  nan  -2.268  None  Pan-STARRS1  GPC1  None
OBS:      59200.577  r  171.722  134.130  21.913  0.781  None  Pan-STARRS1  GPC1  None
OBS:      59207.464  r  98.258  65.027  22.519  0.662  None  Pan-STARRS1  GPC1  None
OBS:      59207.467  z  84.927  82.125  22.677  0.967  None  Pan-STARRS1  GPC1  None
OBS:      59209.498  r  117.886  143.452  22.321  1.217  None  Pan-STARRS1  GPC1  None
OBS:      59209.501  i  -31.116  141.728  nan  -4.945  None  Pan-STARRS1  GPC1  None
OBS:      59219.504  g  1047.999  71.120  19.949  0.068  None  Pan-STARRS1  GPC1  None
OBS:      59219.507  z  570.329  78.336  20.610  0.137  None  Pan-STARRS1  GPC1  None
OBS:      59221.486  g  1109.073  71.836  19.888  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59221.489  i  766.584  85.332  20.289  0.121  None  Pan-STARRS1  GPC1  None
OBS:      59223.424  i  906.734  242.282  20.106  0.290  None  Pan-STARRS1  GPC1  None
OBS:      59223.427  g  1207.480  285.762  19.795  0.257  None  Pan-STARRS1  GPC1  None
OBS:      59228.545  g  1193.219  248.973  19.808  0.227  None  Pan-STARRS1  GPC1  None
OBS:      59228.548  i  1161.480  322.716  19.837  0.278  None  Pan-STARRS1  GPC1  None
OBS:      59231.479  g  1057.791  165.493  19.939  0.170  None  Pan-STARRS1  GPC1  None
OBS:      59231.482  r  1182.061  177.473  19.818  0.163  None  Pan-STARRS1  GPC1  None
OBS:      59246.365  r  1255.336  215.863  19.753  0.187  None  Pan-STARRS1  GPC1  None
OBS:      59246.368  i  1327.884  146.949  19.692  0.120  None  Pan-STARRS1  GPC1  None
OBS:      59252.410  g  703.720  58.346  20.381  0.090  None  Pan-STARRS1  GPC1  None
OBS:      59252.413  i  1218.541  57.757  19.785  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59256.340  r  1314.052  176.702  19.703  0.134  None  Pan-STARRS1  GPC1  None
OBS:      59256.343  g  646.596  84.322  20.473  0.130  None  Pan-STARRS1  GPC1  None
OBS:      59221.343  g-ZTF  1003.350  115.056  19.996  0.125  None  P48  ZTF-Cam  None
OBS:      59221.372  r-ZTF  1112.875  153.444  19.884  0.150  None  P48  ZTF-Cam  None
OBS:      59223.340  g-ZTF  1012.074  177.742  19.987  0.191  None  P48  ZTF-Cam  None
OBS:      59227.424  g-ZTF  1062.911  116.522  19.934  0.119  None  P48  ZTF-Cam  None
OBS:      59229.318  g-ZTF  963.544  171.176  20.040  0.193  None  P48  ZTF-Cam  None
OBS:      59231.372  r-ZTF  1159.001  147.760  19.840  0.138  None  P48  ZTF-Cam  None
OBS:      59250.352  r-ZTF  1312.161  140.776  19.705  0.116  None  P48  ZTF-Cam  None
OBS:      59254.279  g-ZTF  571.595  104.827  20.607  0.199  None  P48  ZTF-Cam  None
OBS:      59276.278  r-ZTF  1236.892  185.815  19.769  0.163  None  P48  ZTF-Cam  None
OBS:      59292.230  r-ZTF  1234.812  152.438  19.771  0.134  None  P48  ZTF-Cam  None
OBS:      59219.408  g-ZTF  900.326  205.322  20.114  0.248  None  P48  ZTF-Cam  None
OBS:      59221.343  g-ZTF  1003.321  115.053  19.996  0.125  None  P48  ZTF-Cam  None
OBS:      59221.372  r-ZTF  1112.859  153.442  19.884  0.150  None  P48  ZTF-Cam  None
