# CREATED_DATE: 2021-06-17T09:11:17.227Z
# MODIFIED_DATE: 2022-10-20T13:56:31.471Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MFGC16093; (21:14:32.98, -01:11:39.59)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021qes
# RA: 318.63660562411627
# DEC: -1.1962686818066812
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-04-28T00:00:00Z
# REDSHIFT: 0.04
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.066
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11DYSEemd/59332/1211432780011146400_59332.614_114623820_463_target.jpeg
# POSTAGE_STAMP_REF: 11DYSEemd/59332/1211432780011146400_59332.614_114623820_463_ref.jpeg
# POSTAGE_STAMP_DIFF: 11DYSEemd/59332/1211432780011146400_59332.614_114623820_463_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11DYSEemd/59332/1211432780011146400_59332.614_114623820_463_target.fits
# POSTAGE_STAMP_REF_FITS: 11DYSEemd/59332/1211432780011146400_59332.614_114623820_463_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11DYSEemd/59332/1211432780011146400_59332.614_114623820_463_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021qes
# REAL_BOGUS_SCORE: 0.117346
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59328.594  r  963.829  319.579  20.040  0.360  None  Pan-STARRS1  GPC1  None
OBS:      59379.526  w  519.996  33.525  20.710  0.070  None  Pan-STARRS1  GPC1  None
OBS:      59319.618  g  -9.032  133.780  nan  -16.081  None  Pan-STARRS1  GPC1  None
OBS:      59323.604  g  408.289  218.619  20.973  0.535  None  Pan-STARRS1  GPC1  None
OBS:      59328.594  r  906.557  347.153  20.107  0.383  None  Pan-STARRS1  GPC1  None
OBS:      59328.597  z  599.773  558.317  20.555  0.931  None  Pan-STARRS1  GPC1  None
OBS:      59332.615  i  887.540  186.207  20.130  0.210  None  Pan-STARRS1  GPC1  None
OBS:      59332.617  r  645.971  204.807  20.474  0.317  None  Pan-STARRS1  GPC1  None
OBS:      59334.598  r  928.681  283.405  20.080  0.305  None  Pan-STARRS1  GPC1  None
OBS:      59334.601  z  812.868  561.340  20.225  0.691  None  Pan-STARRS1  GPC1  None
OBS:      59342.605  g  191.991  65.424  21.792  0.370  None  Pan-STARRS1  GPC1  None
OBS:      59342.605  g  184.281  64.855  21.836  0.382  None  Pan-STARRS1  GPC1  None
OBS:      59345.606  g  413.205  77.023  20.960  0.186  None  Pan-STARRS1  GPC1  None
OBS:      59345.608  i  999.906  97.522  20.000  0.098  None  Pan-STARRS1  GPC1  None
OBS:      59348.604  g  356.453  226.222  21.120  0.635  None  Pan-STARRS1  GPC1  None
OBS:      59348.607  r  817.872  143.675  20.218  0.176  None  Pan-STARRS1  GPC1  None
OBS:      59351.592  g  249.272  251.310  21.508  1.008  None  Pan-STARRS1  GPC1  None
OBS:      59356.571  i  854.358  124.431  20.171  0.146  None  Pan-STARRS1  GPC1  None
OBS:      59356.574  r  653.955  124.259  20.461  0.190  None  Pan-STARRS1  GPC1  None
OBS:      59357.587  r  693.364  93.166  20.398  0.134  None  Pan-STARRS1  GPC1  None
OBS:      59357.589  z  1126.580  170.797  19.871  0.152  None  Pan-STARRS1  GPC1  None
OBS:      59357.589  z  1126.580  170.797  19.871  0.152  None  Pan-STARRS1  GPC1  None
