# CREATED_DATE: 2021-06-22T23:34:28.966Z
# MODIFIED_DATE: 2022-09-30T08:29:53.033Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: NGC7678; (23:28:27.87, +22:25:16.55)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021qvr
# RA: 352.1110474235772
# DEC: 22.41999910882053
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-06-27T00:00:00Z
# REDSHIFT: 0.011639
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-06-12T15:33:07Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.042
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11FYSEeky/59392/1232826651222511900_59392.509_116774511_8_target.jpeg
# POSTAGE_STAMP_REF: 11FYSEeky/59392/1232826651222511900_59392.509_116774511_8_ref.jpeg
# POSTAGE_STAMP_DIFF: 11FYSEeky/59392/1232826651222511900_59392.509_116774511_8_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11FYSEeky/59392/1232826651222511900_59392.509_116774511_8_target.fits
# POSTAGE_STAMP_REF_FITS: 11FYSEeky/59392/1232826651222511900_59392.509_116774511_8_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11FYSEeky/59392/1232826651222511900_59392.509_116774511_8_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021qvr
# REAL_BOGUS_SCORE: 0.985275
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 26, 29, 30, 33, 77, 88]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59387.586  orange  8264.184  555.646  17.707  0.073  None  ATLAS  HKO  None
OBS:      59388.665  UVW1  57016.427  3061.326  15.610  0.060  None  Swift  UVOT  None
OBS:      59388.666  U  60813.500  3015.568  15.540  0.050  None  Swift  UVOT  None
OBS:      59388.667  B  48305.880  2395.351  15.790  0.050  None  Swift  UVOT  None
OBS:      59388.668  UVW2  58613.816  3620.566  15.580  0.070  None  Swift  UVOT  None
OBS:      59388.672  V  34673.685  2891.193  16.150  0.090  None  Swift  UVOT  None
OBS:      59388.673  UVM2  52966.344  3271.722  15.690  0.070  None  Swift  UVOT  None
OBS:      59390.194  UVW1  59703.529  3205.602  15.560  0.060  None  Swift  UVOT  None
OBS:      59390.196  U  72443.596  3592.272  15.350  0.050  None  Swift  UVOT  None
OBS:      59390.197  B  60255.959  3509.136  15.550  0.060  None  Swift  UVOT  None
OBS:      59390.198  UVW2  51522.864  3613.135  15.720  0.080  None  Swift  UVOT  None
OBS:      59392.835  UVW1  41304.750  2551.388  15.960  0.070  None  Swift  UVOT  None
OBS:      59392.837  U  69823.240  4066.307  15.390  0.060  None  Swift  UVOT  None
OBS:      59392.837  B  61376.201  3574.375  15.530  0.060  None  Swift  UVOT  None
OBS:      59392.838  UVW2  25822.602  1810.857  16.470  0.080  None  Swift  UVOT  None
OBS:      59392.840  V  64268.772  4771.192  15.480  0.080  None  Swift  UVOT  None
OBS:      59392.841  UVM2  31045.596  1917.681  16.270  0.070  None  Swift  UVOT  None
OBS:      59394.831  UVW1  30199.517  1865.419  16.300  0.070  None  Swift  UVOT  None
OBS:      59394.832  U  60813.500  3541.605  15.540  0.060  None  Swift  UVOT  None
OBS:      59394.833  B  60813.500  3541.605  15.540  0.060  None  Swift  UVOT  None
OBS:      59394.833  UVW2  15848.932  1111.435  17.000  0.080  None  Swift  UVOT  None
OBS:      59394.836  V  60255.959  5024.318  15.550  0.090  None  Swift  UVOT  None
OBS:      59394.836  UVM2  21086.282  1302.496  16.690  0.070  None  Swift  UVOT  None
OBS:      59396.625  UVW1  20892.961  1290.555  16.700  0.070  None  Swift  UVOT  None
OBS:      59396.627  U  52966.344  3084.609  15.690  0.060  None  Swift  UVOT  None
OBS:      59396.628  B  59156.163  3445.087  15.570  0.060  None  Swift  UVOT  None
OBS:      59396.628  UVW2  9817.479  772.381  17.520  0.090  None  Swift  UVOT  None
OBS:      59396.631  V  69183.097  5136.022  15.400  0.080  None  Swift  UVOT  None
OBS:      59396.632  UVM2  13182.567  814.285  17.200  0.070  None  Swift  UVOT  None
OBS:      59402.192  UVW1  8629.785  678.940  17.660  0.090  None  Swift  UVOT  None
OBS:      59402.193  U  31915.379  2139.479  16.240  0.070  None  Swift  UVOT  None
OBS:      59402.194  B  48752.849  2839.227  15.780  0.060  None  Swift  UVOT  None
OBS:      59402.194  UVW2  3311.311  347.650  18.700  0.110  None  Swift  UVOT  None
OBS:      59402.197  V  66680.677  4950.247  15.440  0.080  None  Swift  UVOT  None
OBS:      59402.197  UVM2  3372.873  324.253  18.680  0.100  None  Swift  UVOT  None
OBS:      59404.913  UVW1  5296.634  509.194  18.190  0.100  None  Swift  UVOT  None
OBS:      59404.914  U  23334.581  1564.257  16.580  0.070  None  Swift  UVOT  None
OBS:      59404.915  B  46989.411  2736.530  15.820  0.060  None  Swift  UVOT  None
OBS:      59404.916  UVW2  1836.538  258.689  19.340  0.150  None  Swift  UVOT  None
OBS:      59404.918  V  53456.436  4457.354  15.680  0.090  None  Swift  UVOT  None
OBS:      59404.919  UVM2  2167.704  266.306  19.160  0.130  None  Swift  UVOT  None
OBS:      59406.710  UVW1  3801.894  433.028  18.550  0.120  None  Swift  UVOT  None
OBS:      59406.712  U  17538.805  1331.756  16.890  0.080  None  Swift  UVOT  None
OBS:      59406.712  B  38018.940  2548.638  16.050  0.070  None  Swift  UVOT  None
OBS:      59406.713  UVW2  972.747  190.010  20.030  0.210  None  Swift  UVOT  None
OBS:      59406.716  V  51522.864  4296.127  15.720  0.090  None  Swift  UVOT  None
OBS:      59406.716  UVM2  1037.528  183.768  19.960  0.190  None  Swift  UVOT  None
OBS:      59408.629  UVW1  2630.268  370.491  18.950  0.150  None  Swift  UVOT  None
OBS:      59408.630  U  11694.994  1098.214  17.330  0.100  None  Swift  UVOT  None
OBS:      59408.631  B  36643.757  2456.451  16.090  0.070  None  Swift  UVOT  None
OBS:      59408.632  UVW2  887.156  189.479  20.130  0.230  None  Swift  UVOT  None
OBS:      59408.634  V  53951.062  4498.597  15.670  0.090  None  Swift  UVOT  None
OBS:      59408.635  UVM2  717.794  172.988  20.360  0.260  None  Swift  UVOT  None
OBS:      59412.679  UVW1  1000.000  286.785  20.000  0.310  None  Swift  UVOT  Bad
OBS:      59412.681  U  8629.785  888.434  17.660  0.110  None  Swift  UVOT  None
OBS:      59412.682  B  25118.864  1907.325  16.500  0.080  None  Swift  UVOT  None
OBS:      59412.682  UVW2  496.592  495.678  20.760  1.080  None  Swift  UVOT  Bad
OBS:      59412.685  V  41686.938  3857.721  15.950  0.100  None  Swift  UVOT  None
OBS:      59412.685  UVM2  483.059  482.169  20.790  1.080  None  Swift  UVOT  Bad
OBS:      59426.236  UVW1  1056.818  1054.871  19.940  1.080  None  Swift  UVOT  Bad
OBS:      59426.237  U  2147.830  2143.875  19.170  1.080  None  Swift  UVOT  Bad
OBS:      59426.237  B  12589.254  1754.236  17.250  0.150  None  Swift  UVOT  None
OBS:      59426.238  UVW2  660.693  659.477  20.450  1.080  None  Swift  UVOT  Bad
OBS:      59426.239  V  22080.047  3868.338  16.640  0.190  None  Swift  UVOT  None
