# CREATED_DATE: 2021-06-26T13:16:32.060Z
# MODIFIED_DATE: 2022-10-11T21:29:39.194Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: IC5050; (20:45:15.04, -05:37:21.84)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021qzi
# RA: 311.3078014611676
# DEC: -5.6194361622004205
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-07-05T00:00:00Z
# REDSHIFT: 0.027365
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-06-22T10:04:32Z
# NON_DETECT_LIMIT: 19.8637
# MW_EBV: 0.052
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11GYSEepc/59396/1204513870053709900_59396.605_116935735_23_target.jpeg
# POSTAGE_STAMP_REF: 11GYSEepc/59396/1204513870053709900_59396.605_116935735_23_ref.jpeg
# POSTAGE_STAMP_DIFF: 11GYSEepc/59396/1204513870053709900_59396.605_116935735_23_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11GYSEepc/59396/1204513870053709900_59396.605_116935735_23_target.fits
# POSTAGE_STAMP_REF_FITS: 11GYSEepc/59396/1204513870053709900_59396.605_116935735_23_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11GYSEepc/59396/1204513870053709900_59396.605_116935735_23_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.002
# ALT_STATUS: CONFIRMED
# SLUG: 2021qzi
# REAL_BOGUS_SCORE: 0.987794
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 46, 49]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59391.320  r-ZTF  2997.433  411.442  18.808  0.149  None  P48  ZTF-Cam  None
OBS:      59391.419  g-ZTF  3063.395  360.175  18.784  0.128  None  P48  ZTF-Cam  None
OBS:      59393.357  g-ZTF  3981.121  372.587  18.500  0.102  None  P48  ZTF-Cam  None
OBS:      59393.398  r-ZTF  3584.200  365.398  18.614  0.111  None  P48  ZTF-Cam  None
OBS:      59397.388  r-ZTF  4786.994  262.924  18.300  0.060  None  P48  ZTF-Cam  None
OBS:      59397.420  g-ZTF  4996.462  271.045  18.253  0.059  None  P48  ZTF-Cam  None
OBS:      59400.378  g-ZTF  4630.795  323.505  18.336  0.076  None  P48  ZTF-Cam  None
OBS:      59400.420  r-ZTF  4865.955  296.360  18.282  0.066  None  P48  ZTF-Cam  None
OBS:      59402.338  g-ZTF  4411.483  270.744  18.389  0.067  None  P48  ZTF-Cam  None
OBS:      59402.411  r-ZTF  4912.447  431.600  18.272  0.095  None  P48  ZTF-Cam  None
OBS:      59404.379  g-ZTF  4065.372  265.212  18.477  0.071  None  P48  ZTF-Cam  None
OBS:      59404.434  r-ZTF  4672.248  294.894  18.326  0.069  None  P48  ZTF-Cam  None
OBS:      59406.340  r-ZTF  4759.415  231.967  18.306  0.053  None  P48  ZTF-Cam  None
OBS:      59406.373  g-ZTF  3719.758  267.780  18.574  0.078  None  P48  ZTF-Cam  None
OBS:      59410.375  g-ZTF  3257.861  272.081  18.718  0.091  None  P48  ZTF-Cam  None
OBS:      59410.398  r-ZTF  4729.418  306.759  18.313  0.070  None  P48  ZTF-Cam  None
OBS:      59412.411  r-ZTF  4544.818  247.355  18.356  0.059  None  P48  ZTF-Cam  None
OBS:      59415.359  r-ZTF  4221.271  293.941  18.436  0.076  None  P48  ZTF-Cam  None
OBS:      59415.422  g-ZTF  2665.342  211.014  18.936  0.086  None  P48  ZTF-Cam  None
OBS:      59422.366  r-ZTF  3885.508  387.985  18.526  0.108  None  P48  ZTF-Cam  None
OBS:      59424.276  g-ZTF  1685.077  181.426  19.433  0.117  None  P48  ZTF-Cam  None
OBS:      59424.334  r-ZTF  3781.833  250.302  18.556  0.072  None  P48  ZTF-Cam  None
OBS:      59426.325  g-ZTF  1557.573  274.692  19.519  0.191  None  P48  ZTF-Cam  None
OBS:      59428.296  g-ZTF  1671.139  189.451  19.442  0.123  None  P48  ZTF-Cam  None
OBS:      59428.356  r-ZTF  3669.703  256.564  18.588  0.076  None  P48  ZTF-Cam  None
OBS:      59430.258  r-ZTF  3577.444  297.920  18.616  0.090  None  P48  ZTF-Cam  None
OBS:      59430.312  g-ZTF  1692.089  194.718  19.429  0.125  None  P48  ZTF-Cam  None
OBS:      59435.384  g-ZTF  1676.629  184.309  19.439  0.119  None  P48  ZTF-Cam  None
OBS:      59438.319  r-ZTF  3173.363  241.340  18.746  0.083  None  P48  ZTF-Cam  None
OBS:      59438.372  g-ZTF  1584.105  258.948  19.501  0.177  None  P48  ZTF-Cam  None
OBS:      59440.292  g-ZTF  1706.412  202.022  19.420  0.129  None  P48  ZTF-Cam  None
OBS:      59440.296  r-ZTF  3470.661  303.012  18.649  0.095  None  P48  ZTF-Cam  None
OBS:      59442.241  r-ZTF  3400.071  301.786  18.671  0.096  None  P48  ZTF-Cam  None
OBS:      59442.294  g-ZTF  1428.285  198.972  19.613  0.151  None  P48  ZTF-Cam  None
OBS:      59444.252  r-ZTF  3497.825  506.073  18.641  0.157  None  P48  ZTF-Cam  None
OBS:      59452.270  r-ZTF  3344.980  246.295  18.689  0.080  None  P48  ZTF-Cam  None
OBS:      59452.314  g-ZTF  1510.062  237.558  19.553  0.171  None  P48  ZTF-Cam  None
OBS:      59454.248  g-ZTF  1382.472  167.686  19.648  0.132  None  P48  ZTF-Cam  None
OBS:      59454.275  r-ZTF  3182.357  241.113  18.743  0.082  None  P48  ZTF-Cam  None
OBS:      59458.232  r-ZTF  3081.985  278.991  18.778  0.098  None  P48  ZTF-Cam  None
OBS:      59458.252  g-ZTF  1180.732  185.001  19.820  0.170  None  P48  ZTF-Cam  None
OBS:      59460.299  g-ZTF  1132.498  198.390  19.865  0.190  None  P48  ZTF-Cam  None
OBS:      59462.249  r-ZTF  3190.955  219.693  18.740  0.075  None  P48  ZTF-Cam  None
OBS:      59462.308  g-ZTF  1290.813  157.576  19.723  0.133  None  P48  ZTF-Cam  None
OBS:      59464.250  g-ZTF  1268.897  174.863  19.741  0.150  None  P48  ZTF-Cam  None
OBS:      59464.295  r-ZTF  3149.084  277.114  18.755  0.096  None  P48  ZTF-Cam  None
OBS:      59468.319  r-ZTF  3077.365  275.593  18.780  0.097  None  P48  ZTF-Cam  None
OBS:      59470.235  g-ZTF  1226.695  136.993  19.778  0.121  None  P48  ZTF-Cam  None
OBS:      59470.263  r-ZTF  3050.512  238.659  18.789  0.085  None  P48  ZTF-Cam  None
OBS:      59474.240  r-ZTF  3393.972  346.323  18.673  0.111  None  P48  ZTF-Cam  None
OBS:      59478.211  r-ZTF  2833.778  376.305  18.869  0.144  None  P48  ZTF-Cam  None
OBS:      59480.212  r-ZTF  2909.756  294.960  18.840  0.110  None  P48  ZTF-Cam  None
OBS:      59484.190  g-ZTF  900.817  140.922  20.113  0.170  None  P48  ZTF-Cam  None
OBS:      59484.248  r-ZTF  2829.152  267.859  18.871  0.103  None  P48  ZTF-Cam  None
OBS:      59491.187  r-ZTF  2429.437  225.427  19.036  0.101  None  P48  ZTF-Cam  None
OBS:      59498.187  r-ZTF  1970.226  230.526  19.264  0.127  None  P48  ZTF-Cam  None
OBS:      59502.203  r-ZTF  2293.516  299.192  19.099  0.142  None  P48  ZTF-Cam  None
OBS:      59319.616  g  -3.567  152.167  nan  -46.322  None  Pan-STARRS1  GPC1  None
OBS:      59319.619  r  49.347  110.069  23.267  2.231  None  Pan-STARRS1  GPC1  None
OBS:      59323.602  g  88.269  126.581  22.636  1.434  None  Pan-STARRS1  GPC1  None
OBS:      59323.605  z  -65.138  339.705  nan  -5.662  None  Pan-STARRS1  GPC1  None
OBS:      59328.592  r  309.276  318.355  21.274  1.029  None  Pan-STARRS1  GPC1  None
OBS:      59328.595  z  18.663  466.852  24.323  25.015  None  Pan-STARRS1  GPC1  None
OBS:      59329.606  i  128.467  246.266  22.228  1.917  None  Pan-STARRS1  GPC1  None
OBS:      59329.609  r  72.223  260.230  22.853  3.603  None  Pan-STARRS1  GPC1  None
OBS:      59373.590  g  -234.509  65.081  nan  -0.301  None  Pan-STARRS1  GPC1  None
OBS:      59373.592  i  -507.565  121.600  nan  -0.260  None  Pan-STARRS1  GPC1  None
OBS:      59376.540  r  117.630  140.577  22.324  1.195  None  Pan-STARRS1  GPC1  None
OBS:      59376.543  g  112.945  192.259  22.368  1.702  None  Pan-STARRS1  GPC1  None
OBS:      59381.571  r  -39.835  96.436  nan  -2.628  None  Pan-STARRS1  GPC1  None
OBS:      59381.574  g  -68.910  113.223  nan  -1.784  None  Pan-STARRS1  GPC1  None
OBS:      59386.536  i  13.684  109.614  24.660  8.010  None  Pan-STARRS1  GPC1  None
