# CREATED_DATE: 2021-06-28T04:33:15.012Z
# MODIFIED_DATE: 2022-09-06T01:14:44.785Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ15194792+1341104; (15:19:47.92, +13:41:10.44)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021rem
# RA: 229.94886289628926
# DEC: 13.687623158486879
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-06-27T00:00:00Z
# REDSHIFT: 0.03
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-06-29T23:29:46Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.037
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11FYSEekx/59392/1151947721134115400_59392.342_116759802_267_target.jpeg
# POSTAGE_STAMP_REF: 11FYSEekx/59392/1151947721134115400_59392.342_116759802_267_ref.jpeg
# POSTAGE_STAMP_DIFF: 11FYSEekx/59392/1151947721134115400_59392.342_116759802_267_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11FYSEekx/59392/1151947721134115400_59392.342_116759802_267_target.fits
# POSTAGE_STAMP_REF_FITS: 11FYSEekx/59392/1151947721134115400_59392.342_116759802_267_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11FYSEekx/59392/1151947721134115400_59392.342_116759802_267_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021rem
# REAL_BOGUS_SCORE: 0.943117
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59295.546  z  124.137  169.008  22.265  1.361  None  Pan-STARRS1  GPC1  None
OBS:      59298.511  r  -47.795  231.292  nan  -5.254  None  Pan-STARRS1  GPC1  None
OBS:      59299.606  i  -71.982  190.216  nan  -2.869  None  Pan-STARRS1  GPC1  None
OBS:      59299.609  r  -0.017  236.309  nan  -14754.453  None  Pan-STARRS1  GPC1  None
OBS:      59300.503  r  -729.161  698.513  nan  -1.040  None  Pan-STARRS1  GPC1  None
OBS:      59300.505  z  -234.155  654.019  nan  -3.033  None  Pan-STARRS1  GPC1  None
OBS:      59310.487  z  7.726  112.751  25.280  14.593  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59311.344  g  5.504  64.634  25.648  11.744  None  Pan-STARRS1  GPC1  None
OBS:      59316.419  r  -89.217  220.267  nan  -2.681  None  Pan-STARRS1  GPC1  None
