# CREATED_DATE: 2021-07-05T23:34:19.076Z
# MODIFIED_DATE: 2022-08-15T06:29:45.022Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237665227848679624; (13:28:34.94, +32:09:03.72)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021sev
# RA: 202.14567112510048
# DEC: 32.151216330429875
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-07-05T00:00:00Z
# REDSHIFT: 0.0511
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-07-02T05:54:43Z
# NON_DETECT_LIMIT: 20.4663
# MW_EBV: 0.01
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11GYSEeps/59399/1132834951320904200_59399.276_116992584_89_target.jpeg
# POSTAGE_STAMP_REF: 11GYSEeps/59399/1132834951320904200_59399.276_116992584_89_ref.jpeg
# POSTAGE_STAMP_DIFF: 11GYSEeps/59399/1132834951320904200_59399.276_116992584_89_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11GYSEeps/59399/1132834951320904200_59399.276_116992584_89_target.fits
# POSTAGE_STAMP_REF_FITS: 11GYSEeps/59399/1132834951320904200_59399.276_116992584_89_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11GYSEeps/59399/1132834951320904200_59399.276_116992584_89_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.0
# ALT_STATUS: CONFIRMED
# SLUG: 2021sev
# REAL_BOGUS_SCORE: 0.997101
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59359.259  g-ZTF  -12.105  440.675  nan  -39.526  None  P48  ZTF-Cam  None
OBS:      59362.205  g-ZTF  3.893  153.085  26.024  42.708  None  P48  ZTF-Cam  None
OBS:      59362.280  r-ZTF  -74.176  243.033  nan  -3.557  None  P48  ZTF-Cam  None
OBS:      59364.325  r-ZTF  -352.736  181.657  nan  -0.559  None  P48  ZTF-Cam  None
OBS:      59366.221  r-ZTF  -80.248  129.406  nan  -1.751  None  P48  ZTF-Cam  None
OBS:      59366.258  g-ZTF  -24.673  111.757  nan  -4.918  None  P48  ZTF-Cam  None
OBS:      59368.195  g-ZTF  37.442  96.792  23.567  2.807  None  P48  ZTF-Cam  None
OBS:      59368.225  r-ZTF  -80.552  126.421  nan  -1.704  None  P48  ZTF-Cam  None
OBS:      59370.223  g-ZTF  -14.873  121.005  nan  -8.833  None  P48  ZTF-Cam  None
OBS:      59370.266  r-ZTF  -148.857  137.952  nan  -1.006  None  P48  ZTF-Cam  None
OBS:      59372.197  g-ZTF  -95.136  135.212  nan  -1.543  None  P48  ZTF-Cam  None
OBS:      59372.305  r-ZTF  150.687  236.974  22.055  1.708  None  P48  ZTF-Cam  None
OBS:      59375.244  r-ZTF  -19.950  150.344  nan  -8.182  None  P48  ZTF-Cam  None
OBS:      59375.262  g-ZTF  -44.344  146.216  nan  -3.580  None  P48  ZTF-Cam  None
OBS:      59377.309  g-ZTF  -110.402  145.179  nan  -1.428  None  P48  ZTF-Cam  None
OBS:      59379.204  g-ZTF  121.191  125.763  22.291  1.127  None  P48  ZTF-Cam  None
OBS:      59381.203  r-ZTF  -441.108  267.261  nan  -0.658  None  P48  ZTF-Cam  None
OBS:      59381.278  g-ZTF  -711.792  408.832  nan  -0.624  None  P48  ZTF-Cam  None
OBS:      59383.197  r-ZTF  -98.874  341.638  nan  -3.752  None  P48  ZTF-Cam  None
OBS:      59383.238  g-ZTF  982.299  353.888  20.019  0.391  None  P48  ZTF-Cam  None
OBS:      59385.281  g-ZTF  444.407  343.250  20.881  0.839  None  P48  ZTF-Cam  None
OBS:      59387.216  r-ZTF  510.510  342.716  20.730  0.729  None  P48  ZTF-Cam  None
OBS:      59387.307  g-ZTF  -1229.485  545.285  nan  -0.482  None  P48  ZTF-Cam  None
OBS:      59391.199  g-ZTF  50.555  200.657  23.241  4.310  None  P48  ZTF-Cam  None
OBS:      59391.259  r-ZTF  -122.697  268.870  nan  -2.379  None  P48  ZTF-Cam  None
OBS:      59393.299  g-ZTF  69.974  341.164  22.888  5.295  None  P48  ZTF-Cam  None
OBS:      59395.220  r-ZTF  -240.904  242.887  nan  -1.095  None  P48  ZTF-Cam  None
OBS:      59395.245  g-ZTF  -113.695  266.283  nan  -2.543  None  P48  ZTF-Cam  None
OBS:      59397.246  g-ZTF  -339.851  140.994  nan  -0.450  None  P48  ZTF-Cam  None
OBS:      59400.277  g-ZTF  3117.459  188.141  18.765  0.066  None  P48  ZTF-Cam  None
OBS:      59402.197  g-ZTF  3965.859  129.691  18.504  0.036  None  P48  ZTF-Cam  None
OBS:      59402.227  r-ZTF  2843.020  153.012  18.866  0.058  None  P48  ZTF-Cam  None
OBS:      59404.224  r-ZTF  3332.541  181.880  18.693  0.059  None  P48  ZTF-Cam  None
OBS:      59406.204  g-ZTF  4168.675  170.927  18.450  0.045  None  P48  ZTF-Cam  None
OBS:      59406.243  r-ZTF  3737.487  231.736  18.569  0.067  None  P48  ZTF-Cam  None
OBS:      59408.194  g-ZTF  4501.492  218.100  18.367  0.053  None  P48  ZTF-Cam  None
OBS:      59408.229  r-ZTF  3986.498  289.615  18.499  0.079  None  P48  ZTF-Cam  None
OBS:      59410.219  r-ZTF  3922.882  307.406  18.516  0.085  None  P48  ZTF-Cam  None
OBS:      59412.218  r-ZTF  4028.236  312.269  18.487  0.084  None  P48  ZTF-Cam  None
OBS:      59412.245  g-ZTF  4605.669  409.092  18.342  0.096  None  P48  ZTF-Cam  None
OBS:      59415.187  r-ZTF  4483.097  266.585  18.371  0.065  None  P48  ZTF-Cam  None
OBS:      59415.266  g-ZTF  4290.144  451.083  18.419  0.114  None  P48  ZTF-Cam  None
OBS:      59417.185  g-ZTF  4597.165  654.997  18.344  0.155  None  P48  ZTF-Cam  None
OBS:      59419.187  g-ZTF  4071.812  395.944  18.476  0.106  None  P48  ZTF-Cam  None
OBS:      59400.277  g-ZTF  3066.479  276.321  18.783  0.098  None  P48  ZTF-Cam  None
OBS:      59402.197  g-ZTF  3872.576  214.006  18.530  0.060  None  P48  ZTF-Cam  None
OBS:      58866.647  z  141.496  171.338  22.123  1.211  None  Pan-STARRS1  GPC1  None
OBS:      58866.650  g  94.469  192.041  22.562  2.033  None  Pan-STARRS1  GPC1  None
OBS:      58869.656  g  61.966  218.581  23.020  3.527  None  Pan-STARRS1  GPC1  None
OBS:      58869.659  r  -6.185  186.979  nan  -32.820  None  Pan-STARRS1  GPC1  None
OBS:      58871.644  g  82.154  92.082  22.713  1.121  None  Pan-STARRS1  GPC1  None
OBS:      58871.646  i  -1.649  87.506  nan  -57.626  None  Pan-STARRS1  GPC1  None
OBS:      58932.619  g  105.421  159.784  22.443  1.516  None  Pan-STARRS1  GPC1  None
OBS:      58932.621  i  -43.449  179.795  nan  -4.493  None  Pan-STARRS1  GPC1  None
OBS:      58934.496  g  -2.346  236.122  nan  -109.280  None  Pan-STARRS1  GPC1  None
OBS:      58934.499  r  66.100  285.287  22.950  4.316  None  Pan-STARRS1  GPC1  None
OBS:      58943.420  r  346.651  270.050  21.150  0.779  None  Pan-STARRS1  GPC1  None
OBS:      58943.423  z  30.066  281.873  23.805  9.375  None  Pan-STARRS1  GPC1  None
OBS:      58949.371  r  32.035  198.046  23.736  6.182  None  Pan-STARRS1  GPC1  None
OBS:      58949.373  z  -69.103  329.214  nan  -5.173  None  Pan-STARRS1  GPC1  None
OBS:      58957.539  g  -3.390  112.139  nan  -35.914  None  Pan-STARRS1  GPC1  None
OBS:      58957.542  i  80.087  114.077  22.741  1.424  None  Pan-STARRS1  GPC1  None
OBS:      58959.357  g  562.351  82.498  20.625  0.147  None  Pan-STARRS1  GPC1  None
OBS:      58964.355  r  940.582  364.303  20.067  0.387  None  Pan-STARRS1  GPC1  None
OBS:      58972.378  r  44.966  109.879  23.368  2.444  None  Pan-STARRS1  GPC1  None
OBS:      58972.381  z  -42.080  111.472  nan  -2.876  None  Pan-STARRS1  GPC1  None
OBS:      58976.424  r  15.318  336.512  24.537  21.968  None  Pan-STARRS1  GPC1  None
OBS:      58976.427  i  -6.395  299.363  nan  -50.822  None  Pan-STARRS1  GPC1  None
OBS:      58984.279  g  136.824  57.314  22.160  0.419  None  Pan-STARRS1  GPC1  None
OBS:      58984.281  i  19.733  75.989  24.262  3.851  None  Pan-STARRS1  GPC1  None
OBS:      58999.360  z  306.806  85.283  21.283  0.278  None  Pan-STARRS1  GPC1  None
OBS:      58999.363  g  220.216  91.392  21.643  0.415  None  Pan-STARRS1  GPC1  None
OBS:      59009.353  r  54.265  97.015  23.164  1.788  None  Pan-STARRS1  GPC1  None
OBS:      59009.356  z  9.256  109.121  25.084  11.789  None  Pan-STARRS1  GPC1  None
OBS:      59011.410  r  -127.669  163.750  nan  -1.393  None  Pan-STARRS1  GPC1  None
OBS:      59011.413  i  -303.154  291.895  nan  -1.045  None  Pan-STARRS1  GPC1  None
OBS:      59020.340  i  -62.210  107.600  nan  -1.878  None  Pan-STARRS1  GPC1  None
OBS:      59020.342  g  61.493  139.894  23.028  2.275  None  Pan-STARRS1  GPC1  None
OBS:      59029.281  g  21.869  78.336  24.150  3.582  None  Pan-STARRS1  GPC1  None
OBS:      59029.284  i  -6.314  53.424  nan  -9.186  None  Pan-STARRS1  GPC1  None
OBS:      59036.266  z  46.431  154.920  23.333  3.337  None  Pan-STARRS1  GPC1  None
OBS:      59036.268  r  64.673  128.716  22.973  1.990  None  Pan-STARRS1  GPC1  None
OBS:      59038.335  r  86.736  241.860  22.654  2.788  None  Pan-STARRS1  GPC1  None
OBS:      59038.337  i  110.373  275.050  22.393  2.492  None  Pan-STARRS1  GPC1  None
OBS:      59042.282  z  45.180  58.505  23.363  1.295  None  Pan-STARRS1  GPC1  None
OBS:      59042.285  g  -29.643  77.421  nan  -2.836  None  Pan-STARRS1  GPC1  None
OBS:      59044.281  g  147.494  160.248  22.078  1.086  None  Pan-STARRS1  GPC1  None
OBS:      59044.284  i  -42.587  125.125  nan  -3.190  None  Pan-STARRS1  GPC1  None
OBS:      59048.265  i  4.084  80.427  25.972  19.692  None  Pan-STARRS1  GPC1  None
OBS:      59048.268  g  32.815  124.198  23.710  3.785  None  Pan-STARRS1  GPC1  None
OBS:      59052.325  r  150.811  216.361  22.054  1.435  None  Pan-STARRS1  GPC1  None
OBS:      59052.327  g  19.968  152.389  24.249  7.632  None  Pan-STARRS1  GPC1  None
OBS:      59061.273  r  52.586  266.061  23.198  5.060  None  Pan-STARRS1  GPC1  None
OBS:      59061.275  i  -11.319  215.658  nan  -20.686  None  Pan-STARRS1  GPC1  None
OBS:      59070.276  r  -125.503  226.092  nan  -1.956  None  Pan-STARRS1  GPC1  None
