# CREATED_DATE: 2021-07-31T10:31:23.016Z
# MODIFIED_DATE: 2022-10-24T16:29:25.407Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 2MASXJ00522430-1852386; (00:52:24.32, -18:52:38.94)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021ukf
# RA: 13.102693521767984
# DEC: -18.87858222049118
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-08-02T00:00:00Z
# REDSHIFT: 0.038
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-06-21T04:13:26Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.019
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11HYSEfjv/59428/1005224650185242800_59428.582_117904117_82_target.jpeg
# POSTAGE_STAMP_REF: 11HYSEfjv/59428/1005224650185242800_59428.582_117904117_82_ref.jpeg
# POSTAGE_STAMP_DIFF: 11HYSEfjv/59428/1005224650185242800_59428.582_117904117_82_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11HYSEfjv/59428/1005224650185242800_59428.582_117904117_82_target.fits
# POSTAGE_STAMP_REF_FITS: 11HYSEfjv/59428/1005224650185242800_59428.582_117904117_82_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11HYSEfjv/59428/1005224650185242800_59428.582_117904117_82_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021ukf
# REAL_BOGUS_SCORE: 0.993251
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59425.532  orange  2826.181  471.145  18.872  0.181  None  ATLAS  HKO  None
OBS:      59399.600  orange-ATLAS  -0.009  0.196  nan  -23.081  None  ATLAS  HKO  None
OBS:      59403.565  orange-ATLAS  0.193  0.262  20.322  5.000  None  ATLAS  HKO  None
OBS:      59407.582  orange-ATLAS  -2.210  0.759  nan  -0.373  None  ATLAS  HKO  None
OBS:      59411.568  orange-ATLAS  0.070  0.166  20.916  5.000  None  ATLAS  HKO  None
OBS:      59415.539  orange-ATLAS  -0.054  0.226  nan  -4.576  None  ATLAS  HKO  None
OBS:      59416.596  orange-ATLAS  1.325  0.163  19.995  0.134  None  ATLAS  HKO  None
OBS:      59417.532  orange-ATLAS  2.275  0.450  19.407  0.215  None  ATLAS  HKO  None
OBS:      59421.544  orange-ATLAS  0.406  0.919  19.050  5.000  None  ATLAS  HKO  None
OBS:      59425.544  orange-ATLAS  3.408  0.307  18.969  0.098  None  ATLAS  HKO  None
OBS:      59427.587  orange-ATLAS  2.900  0.195  19.144  0.073  None  ATLAS  HKO  None
OBS:      59429.567  orange-ATLAS  3.504  0.189  18.938  0.059  None  ATLAS  HKO  None
OBS:      59431.519  cyan-ATLAS  3.104  0.140  19.070  0.049  None  ATLAS  HKO  None
OBS:      59433.458  orange-ATLAS  3.556  0.255  18.923  0.078  None  ATLAS  HKO  None
OBS:      59435.494  cyan-ATLAS  3.177  0.257  19.045  0.088  None  ATLAS  HKO  None
OBS:      59435.509  cyan-ATLAS  3.213  0.205  19.033  0.069  None  ATLAS  HKO  None
OBS:      59437.556  orange-ATLAS  3.521  0.222  18.933  0.068  None  ATLAS  HKO  None
OBS:      59439.535  cyan-ATLAS  2.708  0.149  19.218  0.060  None  ATLAS  HKO  None
OBS:      59441.540  orange-ATLAS  3.611  0.213  18.906  0.064  None  ATLAS  HKO  None
OBS:      59443.479  cyan-ATLAS  3.268  0.290  19.014  0.097  None  ATLAS  HKO  Bad
OBS:      59443.484  orange-ATLAS  2.953  0.210  19.124  0.077  None  ATLAS  HKO  None
OBS:      59445.485  orange-ATLAS  3.399  0.312  18.972  0.100  None  ATLAS  HKO  None
