# CREATED_DATE: 2021-08-11T00:36:52.897Z
# MODIFIED_DATE: 2022-08-12T07:15:04.060Z
# STATUS: FollowupFinished
# OBS_GROUP: ATLAS
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237674653146874078; (14:55:33.71, -09:15:53.62)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021vrt
# RA: 223.89100833333328
# DEC: -9.264456666666666
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-08-10T05:55:40.800Z
# REDSHIFT: 0.035
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-08-08T06:57:36Z
# NON_DETECT_LIMIT: 19.39
# MW_EBV: 0.074
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11HYSEgdr/59444/1145533840091551900_59444.271_118503446_82_target.jpeg
# POSTAGE_STAMP_REF: 11HYSEgdr/59444/1145533840091551900_59444.271_118503446_82_ref.jpeg
# POSTAGE_STAMP_DIFF: 11HYSEgdr/59444/1145533840091551900_59444.271_118503446_82_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11HYSEgdr/59444/1145533840091551900_59444.271_118503446_82_target.fits
# POSTAGE_STAMP_REF_FITS: 11HYSEgdr/59444/1145533840091551900_59444.271_118503446_82_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11HYSEgdr/59444/1145533840091551900_59444.271_118503446_82_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.027
# ALT_STATUS: CONFIRMED
# SLUG: 2021vrt
# REAL_BOGUS_SCORE: 0.99933
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59436.247  cyan  3473.762  284.751  18.648  0.089  None  ATLAS  HKO  None
OBS:      59408.297  orange-ATLAS  0.834  0.172  20.498  0.224  None  ATLAS  HKO  None
OBS:      59409.305  cyan-ATLAS  0.108  0.184  20.750  5.000  None  ATLAS  HKO  None
OBS:      59412.263  orange-ATLAS  -0.097  0.249  nan  -2.804  None  ATLAS  HKO  None
OBS:      59416.333  orange-ATLAS  -1.140  0.618  nan  -0.589  None  ATLAS  HKO  None
OBS:      59417.315  orange-ATLAS  -100.718  42.880  nan  -0.462  None  ATLAS  HKO  Bad
OBS:      59418.311  orange-ATLAS  1.059  0.769  18.982  5.000  None  ATLAS  HKO  Bad
OBS:      59420.293  orange-ATLAS  -0.035  0.279  nan  -8.541  None  ATLAS  HKO  None
OBS:      59421.362  orange-ATLAS  -0.850  0.544  nan  -0.695  None  ATLAS  HKO  None
OBS:      59424.347  cyan-ATLAS  -0.072  0.165  nan  -2.488  None  ATLAS  HKO  None
OBS:      59426.303  orange-ATLAS  -0.632  0.217  nan  -0.373  None  ATLAS  HKO  Bad
OBS:      59428.298  cyan-ATLAS  0.111  0.158  20.882  5.000  None  ATLAS  HKO  None
OBS:      59430.288  orange-ATLAS  -0.344  0.196  nan  -0.619  None  ATLAS  HKO  None
OBS:      59432.276  cyan-ATLAS  0.593  0.168  20.867  0.307  None  ATLAS  HKO  None
OBS:      59434.275  orange-ATLAS  2.633  0.239  19.249  0.099  None  ATLAS  HKO  None
OBS:      59436.256  cyan-ATLAS  4.116  0.167  18.764  0.044  None  ATLAS  HKO  None
OBS:      59438.256  orange-ATLAS  3.450  0.225  18.956  0.071  None  ATLAS  HKO  None
OBS:      59440.249  orange-ATLAS  5.445  0.376  18.460  0.075  None  ATLAS  HKO  None
OBS:      59442.280  orange-ATLAS  5.344  0.418  18.480  0.085  None  ATLAS  HKO  None
OBS:      59446.245  orange-ATLAS  6.148  0.427  18.328  0.075  None  ATLAS  HKO  None
OBS:      59448.273  orange-ATLAS  5.113  0.299  18.528  0.063  None  ATLAS  HKO  None
OBS:      59456.243  orange-ATLAS  5.182  0.329  18.514  0.069  None  ATLAS  HKO  None
OBS:      59458.245  cyan-ATLAS  4.678  1.664  17.837  5.000  None  ATLAS  HKO  None
OBS:      59460.239  orange-ATLAS  5.294  0.286  18.491  0.059  None  ATLAS  HKO  None
OBS:      59464.237  orange-ATLAS  4.264  0.293  18.725  0.075  None  ATLAS  HKO  None
OBS:      59338.478  i  99.682  101.497  22.503  1.018  None  Pan-STARRS1  GPC1  None
OBS:      59338.481  g  118.044  112.482  22.320  0.953  None  Pan-STARRS1  GPC1  None
OBS:      59344.447  i  132.639  203.292  22.193  1.533  None  Pan-STARRS1  GPC1  None
OBS:      59344.450  g  -13.883  114.514  nan  -8.956  None  Pan-STARRS1  GPC1  None
OBS:      59347.429  g  45.204  103.552  23.362  2.291  None  Pan-STARRS1  GPC1  None
OBS:      59347.432  r  4.954  74.825  25.762  15.104  None  Pan-STARRS1  GPC1  None
OBS:      59352.423  i  -174.877  276.411  nan  -1.716  None  Pan-STARRS1  GPC1  None
OBS:      59352.426  g  -88.461  206.000  nan  -2.528  None  Pan-STARRS1  GPC1  None
OBS:      59362.371  r  -47.085  119.293  nan  -2.751  None  Pan-STARRS1  GPC1  None
OBS:      59362.374  i  47.964  107.304  23.298  2.237  None  Pan-STARRS1  GPC1  None
OBS:      59364.382  z  115.734  110.324  22.341  0.953  None  Pan-STARRS1  GPC1  None
OBS:      59364.385  r  9.378  75.800  25.070  8.083  None  Pan-STARRS1  GPC1  None
OBS:      59366.332  z  120.191  81.526  22.300  0.678  None  Pan-STARRS1  GPC1  None
OBS:      59366.335  g  -53.805  49.395  nan  -0.997  None  Pan-STARRS1  GPC1  None
