# CREATED_DATE: 2021-08-24T19:31:20.203Z
# MODIFIED_DATE: 2022-08-13T17:37:13.858Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J031448.259+401546.304; (03:14:48.26, +40:15:46.30)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021wvw
# RA: 48.69747499999999
# DEC: 40.263261388888886
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-08-24T14:32:38.400Z
# REDSHIFT: 0.0099
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-08-23T09:56:17Z
# NON_DETECT_LIMIT: 19.1525
# MW_EBV: 0.245
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11HYSEgiy/59450/1031447391401547700_59450.609_118673442_72_target.jpeg
# POSTAGE_STAMP_REF: 11HYSEgiy/59450/1031447391401547700_59450.609_118673442_72_ref.jpeg
# POSTAGE_STAMP_DIFF: 11HYSEgiy/59450/1031447391401547700_59450.609_118673442_72_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11HYSEgiy/59450/1031447391401547700_59450.609_118673442_72_target.fits
# POSTAGE_STAMP_REF_FITS: 11HYSEgiy/59450/1031447391401547700_59450.609_118673442_72_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11HYSEgiy/59450/1031447391401547700_59450.609_118673442_72_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2021wvw
# REAL_BOGUS_SCORE: 0.999133
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59432.607  g  -52.340  165.888  nan  -3.441  None  Pan-STARRS1  GPC1  None
OBS:      59432.607  g  -52.340  165.888  nan  -3.441  None  Pan-STARRS1  GPC1  None
OBS:      59432.610  r  48.246  104.055  23.291  2.157  None  Pan-STARRS1  GPC1  None
OBS:      59436.617  g  15.577  33.718  24.519  2.165  None  Pan-STARRS1  GPC1  None
OBS:      59436.620  i  -43.742  62.288  nan  -1.546  None  Pan-STARRS1  GPC1  None
OBS:      59440.560  g  56.114  99.625  23.127  1.775  None  Pan-STARRS1  GPC1  None
OBS:      59440.563  i  -12.138  66.085  nan  -5.911  None  Pan-STARRS1  GPC1  None
OBS:      59444.586  i  -49.688  59.514  nan  -1.300  None  Pan-STARRS1  GPC1  None
OBS:      59450.606  i  6116.924  356.959  18.034  0.058  None  Pan-STARRS1  GPC1  None
OBS:      59450.609  r  7499.571  430.881  17.812  0.057  None  Pan-STARRS1  GPC1  None
OBS:      59460.618  r  10201.875  279.924  17.478  0.030  None  Pan-STARRS1  GPC1  None
OBS:      59460.618  r  10007.371  301.096  17.499  0.033  None  Pan-STARRS1  GPC1  None
OBS:      59467.573  r  8883.007  210.379  17.629  0.026  None  Pan-STARRS1  GPC1  None
OBS:      59467.573  r  9282.822  245.850  17.581  0.029  None  Pan-STARRS1  GPC1  None
OBS:      59467.577  g  6052.294  232.220  18.045  0.042  None  Pan-STARRS1  GPC1  None
OBS:      59467.577  g  5962.659  233.618  18.061  0.043  None  Pan-STARRS1  GPC1  None
OBS:      59470.614  g  4906.367  227.771  18.273  0.050  None  Pan-STARRS1  GPC1  None
OBS:      59470.614  g  5145.647  197.690  18.221  0.042  None  Pan-STARRS1  GPC1  None
OBS:      59470.617  z  9034.830  425.916  17.610  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59470.617  z  9554.325  412.756  17.549  0.047  None  Pan-STARRS1  GPC1  None
OBS:      59475.565  z  8914.972  550.928  17.625  0.067  None  Pan-STARRS1  GPC1  None
OBS:      59475.565  z  9131.035  601.390  17.599  0.072  None  Pan-STARRS1  GPC1  None
OBS:      59477.544  i  8884.643  213.688  17.628  0.026  None  Pan-STARRS1  GPC1  None
OBS:      59477.544  i  9223.165  252.748  17.588  0.030  None  Pan-STARRS1  GPC1  None
OBS:      59477.550  r  6170.495  342.353  18.024  0.060  None  Pan-STARRS1  GPC1  None
OBS:      59477.550  r  6416.822  383.900  17.982  0.065  None  Pan-STARRS1  GPC1  None
OBS:      59490.599  i  8756.287  241.071  17.644  0.030  None  Pan-STARRS1  GPC1  None
OBS:      59490.599  i  9361.814  219.601  17.572  0.025  None  Pan-STARRS1  GPC1  None
OBS:      59490.602  g  4371.193  207.269  18.398  0.051  None  Pan-STARRS1  GPC1  None
OBS:      59490.602  g  4073.428  254.656  18.475  0.068  None  Pan-STARRS1  GPC1  None
OBS:      59501.471  g  3868.655  99.415  18.531  0.028  None  Pan-STARRS1  GPC1  None
