# CREATED_DATE: 2021-08-28T15:15:25.019Z
# MODIFIED_DATE: 2022-10-20T12:32:36.320Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: UGC11631; (20:47:59.95, -00:10:48.00)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021xbf
# RA: 312.00249963798325
# DEC: -0.17849913735672945
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-09-09T00:00:00Z
# REDSHIFT: 0.0141
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-08-28T05:57:37Z
# NON_DETECT_LIMIT: 20.3599
# MW_EBV: 0.075
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11IYSEgps/59466/1204800590001042900_59466.331_119210524_424_target.jpeg
# POSTAGE_STAMP_REF: 11IYSEgps/59466/1204800590001042900_59466.331_119210524_424_ref.jpeg
# POSTAGE_STAMP_DIFF: 11IYSEgps/59466/1204800590001042900_59466.331_119210524_424_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11IYSEgps/59466/1204800590001042900_59466.331_119210524_424_target.fits
# POSTAGE_STAMP_REF_FITS: 11IYSEgps/59466/1204800590001042900_59466.331_119210524_424_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11IYSEgps/59466/1204800590001042900_59466.331_119210524_424_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021xbf
# REAL_BOGUS_SCORE: 0.971103
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59454.275  r-ZTF  1723.991  184.128  19.409  0.116  None  P48  ZTF-Cam  None
OBS:      59458.232  r-ZTF  1816.877  152.951  19.352  0.091  None  P48  ZTF-Cam  None
OBS:      59458.252  g-ZTF  932.138  154.098  20.076  0.179  None  P48  ZTF-Cam  None
OBS:      59462.249  r-ZTF  1818.789  149.633  19.351  0.089  None  P48  ZTF-Cam  None
OBS:      59464.295  r-ZTF  1822.804  170.664  19.348  0.102  None  P48  ZTF-Cam  None
OBS:      59468.319  r-ZTF  1971.611  166.878  19.263  0.092  None  P48  ZTF-Cam  None
OBS:      59470.263  r-ZTF  1605.222  178.102  19.486  0.120  None  P48  ZTF-Cam  None
OBS:      59454.275  r-ZTF  1723.931  184.121  19.409  0.116  None  P48  ZTF-Cam  None
OBS:      59370.563  z  -283.533  236.645  nan  -0.906  None  Pan-STARRS1  GPC1  None
OBS:      59370.566  g  -143.107  108.285  nan  -0.822  None  Pan-STARRS1  GPC1  None
OBS:      59373.590  g  9.641  74.136  25.040  7.689  None  Pan-STARRS1  GPC1  None
OBS:      59373.593  i  66.498  67.429  22.943  1.014  None  Pan-STARRS1  GPC1  None
OBS:      59376.543  g  -25.774  84.263  nan  -3.550  None  Pan-STARRS1  GPC1  None
OBS:      59381.572  r  -21.476  86.438  nan  -4.370  None  Pan-STARRS1  GPC1  None
OBS:      59381.574  g  -263.997  83.999  nan  -0.345  None  Pan-STARRS1  GPC1  None
OBS:      59396.606  g  -50.168  278.575  nan  -6.029  None  Pan-STARRS1  GPC1  None
OBS:      59402.455  i  61.485  78.623  23.028  1.279  None  Pan-STARRS1  GPC1  None
OBS:      59402.458  g  112.915  59.827  22.368  0.530  None  Pan-STARRS1  GPC1  None
OBS:      59403.455  r  5.359  80.655  25.677  15.050  None  Pan-STARRS1  GPC1  None
OBS:      59403.458  g  45.669  93.764  23.351  2.053  None  Pan-STARRS1  GPC1  None
OBS:      59405.462  g  -80.950  53.946  nan  -0.724  None  Pan-STARRS1  GPC1  None
OBS:      59405.465  r  -10.559  83.435  nan  -8.579  None  Pan-STARRS1  GPC1  None
