# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 146.514770833333
# DEC: 33.5282388888889
# OBS_DATE: 2019-12-23 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 27153
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3544.050,1.14911e-16,-9.90000e+01
3546.580,-6.62987e-18,-9.90000e+01
3549.110,6.26016e-17,-9.90000e+01
3551.640,-7.10631e-17,-9.90000e+01
3554.170,3.39169e-16,-9.90000e+01
3556.700,-1.03468e-17,-9.90000e+01
3559.230,4.27431e-17,-9.90000e+01
3561.760,3.27517e-16,-9.90000e+01
3564.290,1.48851e-16,-9.90000e+01
3566.820,2.03961e-16,-9.90000e+01
3569.350,9.29850e-17,-9.90000e+01
3571.880,1.38102e-16,-9.90000e+01
3574.410,1.55022e-16,-9.90000e+01
3576.940,1.33012e-16,-9.90000e+01
3579.470,2.61436e-16,-9.90000e+01
3582.000,1.49492e-16,-9.90000e+01
3584.530,1.22558e-16,-9.90000e+01
3587.060,2.05562e-16,-9.90000e+01
3589.590,2.36978e-16,-9.90000e+01
3592.120,1.91774e-16,-9.90000e+01
3594.650,2.41292e-16,-9.90000e+01
3597.180,1.08363e-16,-9.90000e+01
3599.710,2.17947e-16,-9.90000e+01
3602.240,1.21011e-16,-9.90000e+01
3604.770,1.08602e-16,-9.90000e+01
3607.300,2.59376e-17,-9.90000e+01
3609.830,5.45903e-17,-9.90000e+01
3612.360,1.00039e-16,-9.90000e+01
3614.890,-1.41191e-17,-9.90000e+01
3617.420,1.63973e-16,-9.90000e+01
3619.950,1.26904e-16,-9.90000e+01
3622.470,1.83254e-16,-9.90000e+01
3625.000,2.33714e-16,-9.90000e+01
3627.530,3.25575e-16,-9.90000e+01
3630.060,1.10454e-16,-9.90000e+01
3632.590,7.75109e-17,-9.90000e+01
3635.120,2.19019e-16,-9.90000e+01
3637.650,2.24926e-16,-9.90000e+01
3640.180,-2.68680e-17,-9.90000e+01
3642.710,1.57323e-16,-9.90000e+01
3645.240,2.50278e-16,-9.90000e+01
3647.770,1.59577e-16,-9.90000e+01
3650.300,4.85544e-17,-9.90000e+01
3652.830,-4.33905e-17,-9.90000e+01
3655.360,1.11436e-16,-9.90000e+01
3657.890,7.08096e-17,-9.90000e+01
3660.420,2.76755e-16,-9.90000e+01
3662.950,1.78248e-16,-9.90000e+01
3665.480,1.21185e-16,-9.90000e+01
3668.010,1.67783e-16,-9.90000e+01
3670.540,2.67298e-16,-9.90000e+01
3673.070,9.84308e-17,-9.90000e+01
3675.600,1.14064e-16,-9.90000e+01
3678.130,-5.18050e-18,-9.90000e+01
3680.660,8.89322e-17,-9.90000e+01
3683.190,8.73116e-17,-9.90000e+01
3685.720,7.32944e-17,-9.90000e+01
3688.250,1.20580e-16,-9.90000e+01
3690.780,9.15230e-17,-9.90000e+01
3693.310,8.67938e-17,-9.90000e+01
3695.840,1.27822e-16,-9.90000e+01
3698.370,3.27210e-17,-9.90000e+01
3700.900,1.35656e-16,-9.90000e+01
3703.430,4.88276e-17,-9.90000e+01
3705.960,1.02556e-16,-9.90000e+01
3708.490,1.67741e-17,-9.90000e+01
3711.020,1.07983e-16,-9.90000e+01
3713.550,1.40684e-16,-9.90000e+01
3716.080,1.38106e-16,-9.90000e+01
3718.610,1.80225e-16,-9.90000e+01
3721.140,1.39473e-16,-9.90000e+01
3723.670,4.30233e-17,-9.90000e+01
3726.200,2.57360e-16,-9.90000e+01
3728.730,1.75739e-16,-9.90000e+01
3731.260,5.97776e-17,-9.90000e+01
3733.790,7.82654e-17,-9.90000e+01
3736.320,1.90403e-16,-9.90000e+01
3738.850,7.25650e-17,-9.90000e+01
3741.380,1.56736e-16,-9.90000e+01
3743.900,1.05025e-16,-9.90000e+01
3746.430,1.22980e-16,-9.90000e+01
3748.960,1.27549e-16,-9.90000e+01
3751.490,1.05128e-16,-9.90000e+01
3754.020,9.30719e-17,-9.90000e+01
3756.550,1.06374e-16,-9.90000e+01
3759.080,1.44437e-16,-9.90000e+01
3761.610,1.20206e-16,-9.90000e+01
3764.140,7.81009e-17,-9.90000e+01
3766.670,6.20943e-17,-9.90000e+01
3769.200,1.12133e-16,-9.90000e+01
3771.730,1.03963e-16,-9.90000e+01
3774.260,-1.99069e-17,-9.90000e+01
3776.790,1.34712e-16,-9.90000e+01
3779.320,1.18577e-16,-9.90000e+01
3781.850,-3.01172e-17,-9.90000e+01
3784.380,1.40590e-16,-9.90000e+01
3786.910,1.37641e-16,-9.90000e+01
3789.440,1.12344e-16,-9.90000e+01
3791.970,1.33479e-16,-9.90000e+01
3794.500,1.06384e-16,-9.90000e+01
3797.030,1.50862e-16,-9.90000e+01
3799.560,1.21484e-16,-9.90000e+01
3802.090,3.40466e-17,-9.90000e+01
