# INSTRUMENT_ID: 42
# OBS_GROUP_ID: 65
# UNIT_ID: None
# RA: 214.579715424108
# DEC: 38.9295162628207
# OBS_DATE: 2020-04-29 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 36346
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
4000.000,2.48814e+03,-9.90000e+01
4003.171,2.97781e+03,-9.90000e+01
4006.342,2.91777e+03,-9.90000e+01
4009.514,3.11947e+03,-9.90000e+01
4012.685,2.97296e+03,-9.90000e+01
4015.856,2.27348e+03,-9.90000e+01
4019.027,2.31364e+03,-9.90000e+01
4022.199,3.07972e+03,-9.90000e+01
4025.370,2.92369e+03,-9.90000e+01
4028.541,3.44304e+03,-9.90000e+01
4031.712,3.41643e+03,-9.90000e+01
4034.884,2.99663e+03,-9.90000e+01
4038.055,3.20497e+03,-9.90000e+01
4041.226,3.33993e+03,-9.90000e+01
4044.397,3.85425e+03,-9.90000e+01
4047.569,3.09602e+03,-9.90000e+01
4050.740,2.06176e+03,-9.90000e+01
4053.911,2.43524e+03,-9.90000e+01
4057.082,3.04669e+03,-9.90000e+01
4060.254,2.92819e+03,-9.90000e+01
4063.425,2.66838e+03,-9.90000e+01
4066.596,3.50124e+03,-9.90000e+01
4069.767,3.17803e+03,-9.90000e+01
4072.939,2.73568e+03,-9.90000e+01
4076.110,2.89972e+03,-9.90000e+01
4079.281,3.23009e+03,-9.90000e+01
4082.452,3.03534e+03,-9.90000e+01
4085.624,2.59405e+03,-9.90000e+01
4088.795,1.93254e+03,-9.90000e+01
4091.966,2.18550e+03,-9.90000e+01
4095.137,2.36262e+03,-9.90000e+01
4098.309,2.72232e+03,-9.90000e+01
4101.480,2.92693e+03,-9.90000e+01
4104.651,2.24311e+03,-9.90000e+01
4107.822,2.49212e+03,-9.90000e+01
4110.994,3.23239e+03,-9.90000e+01
4114.165,3.34738e+03,-9.90000e+01
4117.336,2.55606e+03,-9.90000e+01
4120.507,3.25842e+03,-9.90000e+01
4123.679,3.73391e+03,-9.90000e+01
4126.850,3.23180e+03,-9.90000e+01
4130.021,3.08902e+03,-9.90000e+01
4133.192,2.75763e+03,-9.90000e+01
4136.364,2.97289e+03,-9.90000e+01
4139.535,3.49022e+03,-9.90000e+01
4142.706,2.98812e+03,-9.90000e+01
4145.877,2.56677e+03,-9.90000e+01
4149.049,3.36788e+03,-9.90000e+01
4152.220,3.46300e+03,-9.90000e+01
4155.391,2.61415e+03,-9.90000e+01
4158.562,3.22830e+03,-9.90000e+01
4161.734,3.83881e+03,-9.90000e+01
4164.905,3.32362e+03,-9.90000e+01
4168.076,2.67702e+03,-9.90000e+01
4171.247,3.01873e+03,-9.90000e+01
4174.419,3.44506e+03,-9.90000e+01
4177.590,3.14901e+03,-9.90000e+01
4180.761,3.42531e+03,-9.90000e+01
4183.932,2.81864e+03,-9.90000e+01
4187.104,2.11031e+03,-9.90000e+01
4190.275,2.86078e+03,-9.90000e+01
4193.446,3.24689e+03,-9.90000e+01
4196.617,3.47685e+03,-9.90000e+01
4199.789,3.35366e+03,-9.90000e+01
4202.960,3.22516e+03,-9.90000e+01
4206.131,3.69738e+03,-9.90000e+01
4209.302,3.20967e+03,-9.90000e+01
4212.474,3.11750e+03,-9.90000e+01
4215.645,3.73879e+03,-9.90000e+01
4218.816,3.68541e+03,-9.90000e+01
4221.987,3.22267e+03,-9.90000e+01
4225.159,3.13530e+03,-9.90000e+01
4228.330,3.81125e+03,-9.90000e+01
4231.501,3.80897e+03,-9.90000e+01
4234.672,3.37745e+03,-9.90000e+01
4237.844,3.03542e+03,-9.90000e+01
4241.015,3.00893e+03,-9.90000e+01
4244.186,3.21150e+03,-9.90000e+01
4247.357,3.30340e+03,-9.90000e+01
4250.529,3.28374e+03,-9.90000e+01
4253.700,3.51782e+03,-9.90000e+01
4256.871,3.10108e+03,-9.90000e+01
4260.042,3.91793e+03,-9.90000e+01
4263.214,4.02470e+03,-9.90000e+01
4266.385,3.05730e+03,-9.90000e+01
4269.556,3.20828e+03,-9.90000e+01
4272.727,3.97704e+03,-9.90000e+01
4275.899,4.14951e+03,-9.90000e+01
4279.070,3.80550e+03,-9.90000e+01
4282.241,3.63833e+03,-9.90000e+01
4285.412,4.13749e+03,-9.90000e+01
4288.583,4.55735e+03,-9.90000e+01
4291.755,4.11644e+03,-9.90000e+01
4294.926,3.84586e+03,-9.90000e+01
4298.097,4.46963e+03,-9.90000e+01
4301.268,4.42083e+03,-9.90000e+01
4304.440,3.25895e+03,-9.90000e+01
4307.611,3.37046e+03,-9.90000e+01
4310.782,4.10455e+03,-9.90000e+01
4313.953,4.40935e+03,-9.90000e+01
4317.125,4.36826e+03,-9.90000e+01
4320.296,4.13735e+03,-9.90000e+01
4323.467,4.22071e+03,-9.90000e+01
4326.638,4.10580e+03,-9.90000e+01
4329.810,4.14651e+03,-9.90000e+01
4332.981,4.08348e+03,-9.90000e+01
4336.152,3.52873e+03,-9.90000e+01
4339.323,3.98928e+03,-9.90000e+01
4342.495,4.22050e+03,-9.90000e+01
4345.666,4.08107e+03,-9.90000e+01
4348.837,3.89208e+03,-9.90000e+01
4352.008,3.64749e+03,-9.90000e+01
4355.180,3.81147e+03,-9.90000e+01
4358.351,4.05596e+03,-9.90000e+01
4361.522,3.93354e+03,-9.90000e+01
4364.693,3.32059e+03,-9.90000e+01
4367.865,3.10749e+03,-9.90000e+01
4371.036,4.01585e+03,-9.90000e+01
4374.207,4.90583e+03,-9.90000e+01
4377.378,4.03508e+03,-9.90000e+01
4380.550,2.80385e+03,-9.90000e+01
4383.721,3.19828e+03,-9.90000e+01
4386.892,4.15281e+03,-9.90000e+01
4390.063,4.95043e+03,-9.90000e+01
4393.235,4.91635e+03,-9.90000e+01
4396.406,3.48881e+03,-9.90000e+01
4399.577,3.02273e+03,-9.90000e+01
4402.748,4.26120e+03,-9.90000e+01
4405.920,4.60724e+03,-9.90000e+01
4409.091,3.96257e+03,-9.90000e+01
4412.262,3.41021e+03,-9.90000e+01
4415.433,3.62864e+03,-9.90000e+01
4418.605,4.07363e+03,-9.90000e+01
4421.776,3.86018e+03,-9.90000e+01
4424.947,4.16280e+03,-9.90000e+01
4428.118,4.69493e+03,-9.90000e+01
4431.290,4.10407e+03,-9.90000e+01
4434.461,4.26327e+03,-9.90000e+01
4437.632,3.91570e+03,-9.90000e+01
4440.803,3.38091e+03,-9.90000e+01
4443.975,3.75641e+03,-9.90000e+01
4447.146,4.23200e+03,-9.90000e+01
4450.317,4.16533e+03,-9.90000e+01
4453.488,3.75612e+03,-9.90000e+01
4456.660,4.76348e+03,-9.90000e+01
4459.831,5.38211e+03,-9.90000e+01
4463.002,4.82076e+03,-9.90000e+01
4466.173,4.34397e+03,-9.90000e+01
4469.345,3.89503e+03,-9.90000e+01
4472.516,4.01645e+03,-9.90000e+01
4475.687,3.90353e+03,-9.90000e+01
4478.858,3.67697e+03,-9.90000e+01
4482.030,4.00337e+03,-9.90000e+01
4485.201,3.71010e+03,-9.90000e+01
4488.372,4.32926e+03,-9.90000e+01
4491.543,4.66902e+03,-9.90000e+01
4494.715,4.08655e+03,-9.90000e+01
4497.886,3.94707e+03,-9.90000e+01
4501.057,3.12736e+03,-9.90000e+01
4504.228,3.01438e+03,-9.90000e+01
4507.400,4.52204e+03,-9.90000e+01
4510.571,4.69751e+03,-9.90000e+01
4513.742,4.41447e+03,-9.90000e+01
4516.913,4.78027e+03,-9.90000e+01
4520.085,4.07154e+03,-9.90000e+01
4523.256,3.38167e+03,-9.90000e+01
4526.427,3.47364e+03,-9.90000e+01
4529.598,3.91501e+03,-9.90000e+01
4532.770,4.07714e+03,-9.90000e+01
4535.941,4.02963e+03,-9.90000e+01
4539.112,3.32997e+03,-9.90000e+01
4542.283,3.69622e+03,-9.90000e+01
4545.455,4.82825e+03,-9.90000e+01
4548.626,4.54666e+03,-9.90000e+01
4551.797,4.68598e+03,-9.90000e+01
4554.968,4.42560e+03,-9.90000e+01
4558.140,4.50721e+03,-9.90000e+01
4561.311,4.81039e+03,-9.90000e+01
4564.482,4.40735e+03,-9.90000e+01
4567.653,3.96530e+03,-9.90000e+01
4570.825,3.74717e+03,-9.90000e+01
4573.996,3.86939e+03,-9.90000e+01
4577.167,4.90570e+03,-9.90000e+01
4580.338,5.57300e+03,-9.90000e+01
4583.509,4.77088e+03,-9.90000e+01
4586.681,4.82926e+03,-9.90000e+01
4589.852,5.19083e+03,-9.90000e+01
4593.023,4.84112e+03,-9.90000e+01
4596.194,3.77776e+03,-9.90000e+01
4599.366,3.58248e+03,-9.90000e+01
4602.537,4.76889e+03,-9.90000e+01
4605.708,5.08188e+03,-9.90000e+01
4608.879,5.37982e+03,-9.90000e+01
4612.051,5.44475e+03,-9.90000e+01
4615.222,4.38673e+03,-9.90000e+01
4618.393,4.63601e+03,-9.90000e+01
