# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 214.579695833333
# DEC: 38.9295222222222
# OBS_DATE: 2020-05-23 07:46:25+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 36346
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3600.245,4.10445e-01,-9.90000e+01
3602.775,3.27158e-01,-9.90000e+01
3605.305,4.34278e-01,-9.90000e+01
3607.836,4.28725e-01,-9.90000e+01
3610.366,3.48567e-01,-9.90000e+01
3612.896,3.33895e-01,-9.90000e+01
3615.426,4.09384e-01,-9.90000e+01
3617.956,3.75119e-01,-9.90000e+01
3620.487,4.37250e-01,-9.90000e+01
3623.017,4.33746e-01,-9.90000e+01
3625.547,3.54754e-01,-9.90000e+01
3628.077,2.81427e-01,-9.90000e+01
3630.608,3.95591e-01,-9.90000e+01
3633.138,3.85440e-01,-9.90000e+01
3635.668,4.70106e-01,-9.90000e+01
3638.198,4.22390e-01,-9.90000e+01
3640.728,4.22260e-01,-9.90000e+01
3643.259,4.09600e-01,-9.90000e+01
3645.789,3.69622e-01,-9.90000e+01
3648.319,3.13425e-01,-9.90000e+01
3650.849,3.38607e-01,-9.90000e+01
3653.380,3.80972e-01,-9.90000e+01
3655.910,3.94294e-01,-9.90000e+01
3658.440,4.16887e-01,-9.90000e+01
3660.970,4.25447e-01,-9.90000e+01
3663.500,3.80342e-01,-9.90000e+01
3666.031,3.73970e-01,-9.90000e+01
3668.561,3.73539e-01,-9.90000e+01
3671.091,3.49992e-01,-9.90000e+01
3673.621,3.27237e-01,-9.90000e+01
3676.152,3.73696e-01,-9.90000e+01
3678.682,3.72734e-01,-9.90000e+01
3681.212,3.88633e-01,-9.90000e+01
3683.742,3.69057e-01,-9.90000e+01
3686.272,3.71465e-01,-9.90000e+01
3688.803,3.99785e-01,-9.90000e+01
3691.333,3.51327e-01,-9.90000e+01
3693.863,3.97574e-01,-9.90000e+01
3696.393,3.63765e-01,-9.90000e+01
3698.924,3.73358e-01,-9.90000e+01
3701.454,3.65848e-01,-9.90000e+01
3703.984,4.19615e-01,-9.90000e+01
3706.514,4.38378e-01,-9.90000e+01
3709.044,3.75798e-01,-9.90000e+01
3711.575,3.16120e-01,-9.90000e+01
3714.105,3.97464e-01,-9.90000e+01
3716.635,3.97725e-01,-9.90000e+01
3719.165,3.56977e-01,-9.90000e+01
3721.696,3.99816e-01,-9.90000e+01
3724.226,3.72906e-01,-9.90000e+01
3726.756,3.65631e-01,-9.90000e+01
3729.286,3.56110e-01,-9.90000e+01
3731.816,3.38983e-01,-9.90000e+01
3734.347,3.25820e-01,-9.90000e+01
3736.877,2.81422e-01,-9.90000e+01
3739.407,3.41835e-01,-9.90000e+01
3741.937,3.69964e-01,-9.90000e+01
3744.468,3.73226e-01,-9.90000e+01
3746.998,3.45530e-01,-9.90000e+01
3749.528,3.54767e-01,-9.90000e+01
3752.058,3.52062e-01,-9.90000e+01
3754.588,4.14657e-01,-9.90000e+01
3757.119,3.86884e-01,-9.90000e+01
3759.649,3.46843e-01,-9.90000e+01
3762.179,3.93249e-01,-9.90000e+01
3764.709,4.06461e-01,-9.90000e+01
3767.240,4.05174e-01,-9.90000e+01
3769.770,3.92731e-01,-9.90000e+01
3772.300,4.06849e-01,-9.90000e+01
3774.830,4.06984e-01,-9.90000e+01
3777.360,4.18532e-01,-9.90000e+01
3779.891,3.98632e-01,-9.90000e+01
3782.421,3.87395e-01,-9.90000e+01
3784.951,4.28347e-01,-9.90000e+01
3787.481,3.44013e-01,-9.90000e+01
3790.012,3.83174e-01,-9.90000e+01
3792.542,3.74442e-01,-9.90000e+01
3795.072,3.34227e-01,-9.90000e+01
3797.602,3.35045e-01,-9.90000e+01
3800.132,3.60297e-01,-9.90000e+01
3802.663,3.88294e-01,-9.90000e+01
3805.193,3.69779e-01,-9.90000e+01
3807.723,3.72650e-01,-9.90000e+01
3810.253,3.67805e-01,-9.90000e+01
3812.784,3.80490e-01,-9.90000e+01
3815.314,3.70894e-01,-9.90000e+01
3817.844,4.17359e-01,-9.90000e+01
