# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 242.7149625
# DEC: 27.1616944444444
# OBS_DATE: 2020-05-23 08:39:30+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 40137
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3600.260,1.22857e-01,-9.90000e+01
3602.790,1.23029e-01,-9.90000e+01
3605.321,1.03648e-01,-9.90000e+01
3607.851,1.06750e-01,-9.90000e+01
3610.381,5.93031e-02,-9.90000e+01
3612.912,5.21066e-02,-9.90000e+01
3615.442,9.42108e-02,-9.90000e+01
3617.972,9.58421e-02,-9.90000e+01
3620.503,1.27184e-01,-9.90000e+01
3623.033,1.38085e-01,-9.90000e+01
3625.563,1.20380e-01,-9.90000e+01
3628.094,1.60882e-01,-9.90000e+01
3630.624,1.19855e-01,-9.90000e+01
3633.154,9.13488e-02,-9.90000e+01
3635.685,9.61716e-02,-9.90000e+01
3638.215,1.51569e-01,-9.90000e+01
3640.745,1.17177e-01,-9.90000e+01
3643.275,6.09266e-02,-9.90000e+01
3645.806,1.28758e-01,-9.90000e+01
3648.336,1.47194e-01,-9.90000e+01
3650.866,1.05987e-01,-9.90000e+01
3653.397,9.38743e-02,-9.90000e+01
3655.927,7.74781e-02,-9.90000e+01
3658.457,8.55444e-02,-9.90000e+01
3660.988,1.05796e-01,-9.90000e+01
3663.518,9.52146e-02,-9.90000e+01
3666.048,8.97033e-02,-9.90000e+01
3668.579,1.09809e-01,-9.90000e+01
3671.109,1.03073e-01,-9.90000e+01
3673.639,1.06630e-01,-9.90000e+01
3676.170,1.04721e-01,-9.90000e+01
3678.700,9.39346e-02,-9.90000e+01
3681.230,1.10162e-01,-9.90000e+01
3683.761,9.10008e-02,-9.90000e+01
3686.291,1.01952e-01,-9.90000e+01
3688.821,1.07736e-01,-9.90000e+01
3691.352,1.10785e-01,-9.90000e+01
3693.882,1.16820e-01,-9.90000e+01
3696.412,6.77773e-02,-9.90000e+01
3698.943,1.29622e-01,-9.90000e+01
3701.473,1.05057e-01,-9.90000e+01
3704.003,8.39126e-02,-9.90000e+01
3706.533,7.97616e-02,-9.90000e+01
3709.064,9.40231e-02,-9.90000e+01
3711.594,1.11459e-01,-9.90000e+01
3714.124,7.06432e-02,-9.90000e+01
3716.655,1.07637e-01,-9.90000e+01
3719.185,9.67517e-02,-9.90000e+01
3721.715,9.38753e-02,-9.90000e+01
3724.246,9.49115e-02,-9.90000e+01
3726.776,1.04631e-01,-9.90000e+01
3729.306,6.43738e-02,-9.90000e+01
3731.837,9.52260e-02,-9.90000e+01
3734.367,1.16516e-01,-9.90000e+01
3736.897,9.94525e-02,-9.90000e+01
