# INSTRUMENT_ID: 3
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 187.731063463717
# DEC: 9.15284990241968
# OBS_DATE: 2021-05-04 13:20:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 41161
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
5400.000,4.02326e-19,-9.90000e+01
5402.000,2.22712e-17,-9.90000e+01
5404.000,3.32049e-17,-9.90000e+01
5406.000,2.88523e-17,-9.90000e+01
5408.000,2.69165e-17,-9.90000e+01
5410.000,2.47307e-17,-9.90000e+01
5412.000,3.44851e-17,-9.90000e+01
5414.000,3.43469e-17,-9.90000e+01
5416.000,2.48582e-17,-9.90000e+01
5418.000,2.99015e-17,-9.90000e+01
5420.000,2.92336e-17,-9.90000e+01
5422.000,2.11390e-17,-9.90000e+01
5424.000,2.68194e-17,-9.90000e+01
5426.000,4.37591e-17,-9.90000e+01
5428.000,4.66747e-17,-9.90000e+01
5430.000,4.30035e-17,-9.90000e+01
5432.000,4.37485e-17,-9.90000e+01
5434.000,3.72155e-17,-9.90000e+01
5436.000,2.91239e-17,-9.90000e+01
5438.000,1.64745e-17,-9.90000e+01
5440.000,1.14042e-17,-9.90000e+01
5442.000,2.67660e-17,-9.90000e+01
5444.000,2.68844e-17,-9.90000e+01
5446.000,3.15083e-18,-9.90000e+01
5448.000,1.89646e-17,-9.90000e+01
5450.000,2.76761e-17,-9.90000e+01
5452.000,2.28802e-17,-9.90000e+01
5454.000,1.59458e-17,-9.90000e+01
5456.000,1.42805e-17,-9.90000e+01
5458.000,4.28195e-17,-9.90000e+01
5460.000,3.34505e-17,-9.90000e+01
5462.000,2.05453e-17,-9.90000e+01
5464.000,3.10282e-17,-9.90000e+01
5466.000,2.87761e-17,-9.90000e+01
5468.000,3.15052e-17,-9.90000e+01
5470.000,1.33162e-17,-9.90000e+01
5472.000,1.79716e-17,-9.90000e+01
5474.000,2.50950e-17,-9.90000e+01
5476.000,1.78336e-17,-9.90000e+01
5478.000,1.77579e-17,-9.90000e+01
5480.000,2.99108e-17,-9.90000e+01
5482.000,5.07956e-17,-9.90000e+01
5484.000,5.86241e-17,-9.90000e+01
5486.000,4.82323e-17,-9.90000e+01
5488.000,2.20826e-17,-9.90000e+01
5490.000,2.24715e-17,-9.90000e+01
5492.000,2.59826e-17,-9.90000e+01
5494.000,2.12803e-17,-9.90000e+01
5496.000,1.50231e-17,-9.90000e+01
5498.000,1.43786e-17,-9.90000e+01
5500.000,3.43069e-17,-9.90000e+01
5502.000,3.01708e-17,-9.90000e+01
5504.000,4.42377e-17,-9.90000e+01
5506.000,5.39121e-17,-9.90000e+01
5508.000,3.00612e-17,-9.90000e+01
5510.000,3.32238e-17,-9.90000e+01
5512.000,8.04970e-18,-9.90000e+01
5514.000,6.24024e-18,-9.90000e+01
5516.000,3.13623e-17,-9.90000e+01
5518.000,3.85209e-17,-9.90000e+01
5520.000,1.92864e-17,-9.90000e+01
5522.000,2.65611e-17,-9.90000e+01
5524.000,2.13454e-17,-9.90000e+01
5526.000,4.70894e-17,-9.90000e+01
5528.000,2.72069e-17,-9.90000e+01
5530.000,9.90181e-18,-9.90000e+01
5532.000,1.14171e-17,-9.90000e+01
5534.000,3.29527e-17,-9.90000e+01
5536.000,2.69111e-17,-9.90000e+01
5538.000,1.63469e-18,-9.90000e+01
5540.000,9.43756e-18,-9.90000e+01
5542.000,1.03471e-17,-9.90000e+01
5544.000,1.19303e-17,-9.90000e+01
5546.000,1.39670e-17,-9.90000e+01
5548.000,2.95721e-17,-9.90000e+01
5550.000,2.61987e-17,-9.90000e+01
5552.000,2.32638e-17,-9.90000e+01
5554.000,2.52767e-17,-9.90000e+01
5556.000,2.97207e-17,-9.90000e+01
5558.000,4.61266e-17,-9.90000e+01
5560.000,5.17396e-17,-9.90000e+01
5562.000,2.10591e-17,-9.90000e+01
5564.000,3.51166e-18,-9.90000e+01
5566.000,-3.64996e-21,-9.90000e+01
5568.000,1.17047e-17,-9.90000e+01
5570.000,2.69495e-17,-9.90000e+01
5572.000,3.42834e-17,-9.90000e+01
5574.000,1.89744e-17,-9.90000e+01
5576.000,1.02793e-17,-9.90000e+01
5578.000,-8.37507e-19,-9.90000e+01
5580.000,-2.25019e-18,-9.90000e+01
5582.000,4.11703e-19,-9.90000e+01
5584.000,2.17966e-17,-9.90000e+01
5586.000,3.72696e-17,-9.90000e+01
5588.000,9.66978e-18,-9.90000e+01
5590.000,-5.82383e-18,-9.90000e+01
5592.000,2.67308e-17,-9.90000e+01
5594.000,5.02677e-17,-9.90000e+01
5596.000,2.82418e-17,-9.90000e+01
5598.000,2.65631e-17,-9.90000e+01
5600.000,4.36648e-17,-9.90000e+01
5602.000,3.75399e-17,-9.90000e+01
5604.000,1.98977e-17,-9.90000e+01
5606.000,2.25043e-17,-9.90000e+01
5608.000,3.21931e-17,-9.90000e+01
5610.000,2.89473e-17,-9.90000e+01
5612.000,1.75725e-17,-9.90000e+01
5614.000,2.70462e-17,-9.90000e+01
5616.000,3.80423e-17,-9.90000e+01
5618.000,4.02917e-17,-9.90000e+01
5620.000,3.85029e-17,-9.90000e+01
5622.000,4.26774e-17,-9.90000e+01
5624.000,3.59442e-17,-9.90000e+01
5626.000,1.50919e-17,-9.90000e+01
5628.000,3.18530e-17,-9.90000e+01
5630.000,5.10516e-17,-9.90000e+01
5632.000,2.81768e-17,-9.90000e+01
5634.000,1.24628e-17,-9.90000e+01
5636.000,2.35343e-17,-9.90000e+01
5638.000,3.62861e-17,-9.90000e+01
5640.000,3.94327e-17,-9.90000e+01
5642.000,1.56642e-17,-9.90000e+01
5644.000,7.68512e-18,-9.90000e+01
5646.000,9.88215e-18,-9.90000e+01
5648.000,2.86584e-17,-9.90000e+01
5650.000,3.55218e-17,-9.90000e+01
5652.000,3.86079e-17,-9.90000e+01
5654.000,3.11222e-17,-9.90000e+01
5656.000,2.02492e-17,-9.90000e+01
5658.000,3.07054e-17,-9.90000e+01
5660.000,1.91719e-17,-9.90000e+01
5662.000,1.61201e-17,-9.90000e+01
5664.000,2.18362e-17,-9.90000e+01
5666.000,2.53951e-17,-9.90000e+01
5668.000,2.88220e-17,-9.90000e+01
5670.000,2.37514e-17,-9.90000e+01
5672.000,1.82484e-17,-9.90000e+01
5674.000,2.89381e-17,-9.90000e+01
5676.000,2.71849e-17,-9.90000e+01
5678.000,1.31807e-17,-9.90000e+01
5680.000,2.33345e-17,-9.90000e+01
5682.000,5.09354e-17,-9.90000e+01
5684.000,6.19793e-17,-9.90000e+01
5686.000,3.71682e-17,-9.90000e+01
5688.000,2.82882e-17,-9.90000e+01
5690.000,4.03732e-17,-9.90000e+01
5692.000,3.07529e-17,-9.90000e+01
5694.000,8.85125e-18,-9.90000e+01
5696.000,2.15030e-17,-9.90000e+01
5698.000,3.43397e-17,-9.90000e+01
5700.000,2.29370e-17,-9.90000e+01
5702.000,1.24213e-17,-9.90000e+01
5704.000,1.79246e-17,-9.90000e+01
5706.000,2.31849e-17,-9.90000e+01
5708.000,1.93881e-17,-9.90000e+01
5710.000,2.66661e-17,-9.90000e+01
5712.000,2.97666e-17,-9.90000e+01
5714.000,3.30849e-17,-9.90000e+01
5716.000,3.35442e-17,-9.90000e+01
5718.000,3.88602e-17,-9.90000e+01
5720.000,3.32722e-17,-9.90000e+01
5722.000,2.85301e-17,-9.90000e+01
5724.000,3.42525e-17,-9.90000e+01
5726.000,3.05085e-17,-9.90000e+01
5728.000,2.44199e-17,-9.90000e+01
5730.000,3.59300e-17,-9.90000e+01
5732.000,3.18713e-17,-9.90000e+01
5734.000,2.46841e-17,-9.90000e+01
5736.000,2.42172e-17,-9.90000e+01
5738.000,2.10128e-17,-9.90000e+01
5740.000,3.03627e-17,-9.90000e+01
5742.000,4.20181e-17,-9.90000e+01
5744.000,3.23405e-17,-9.90000e+01
5746.000,2.20753e-17,-9.90000e+01
5748.000,2.39184e-17,-9.90000e+01
5750.000,3.67005e-17,-9.90000e+01
5752.000,5.63447e-17,-9.90000e+01
5754.000,3.54130e-17,-9.90000e+01
5756.000,1.16334e-17,-9.90000e+01
5758.000,2.23531e-17,-9.90000e+01
5760.000,2.47114e-17,-9.90000e+01
5762.000,1.76655e-17,-9.90000e+01
5764.000,2.97248e-17,-9.90000e+01
5766.000,3.10445e-17,-9.90000e+01
5768.000,2.41124e-17,-9.90000e+01
5770.000,1.91023e-17,-9.90000e+01
5772.000,1.45841e-17,-9.90000e+01
5774.000,1.27198e-17,-9.90000e+01
5776.000,5.31656e-18,-9.90000e+01
5778.000,1.39703e-17,-9.90000e+01
5780.000,2.87918e-17,-9.90000e+01
5782.000,2.57034e-17,-9.90000e+01
5784.000,4.23675e-17,-9.90000e+01
5786.000,1.96472e-17,-9.90000e+01
5788.000,9.84361e-19,-9.90000e+01
5790.000,1.75464e-17,-9.90000e+01
5792.000,2.87100e-17,-9.90000e+01
5794.000,3.71516e-17,-9.90000e+01
5796.000,3.84281e-17,-9.90000e+01
5798.000,8.16540e-18,-9.90000e+01
5800.000,3.49634e-17,-9.90000e+01
5802.000,2.80357e-17,-9.90000e+01
5804.000,2.63776e-17,-9.90000e+01
5806.000,2.02311e-17,-9.90000e+01
5808.000,1.88763e-17,-9.90000e+01
5810.000,2.02013e-17,-9.90000e+01
5812.000,1.47052e-17,-9.90000e+01
5814.000,2.96655e-17,-9.90000e+01
5816.000,4.84684e-17,-9.90000e+01
5818.000,2.03038e-17,-9.90000e+01
5820.000,3.67672e-17,-9.90000e+01
5822.000,2.18133e-17,-9.90000e+01
5824.000,3.55752e-17,-9.90000e+01
5826.000,5.28602e-17,-9.90000e+01
5828.000,2.86349e-17,-9.90000e+01
5830.000,2.54741e-17,-9.90000e+01
5832.000,2.48939e-17,-9.90000e+01
5834.000,2.00727e-17,-9.90000e+01
5836.000,2.77435e-17,-9.90000e+01
5838.000,4.84143e-17,-9.90000e+01
5840.000,2.37171e-17,-9.90000e+01
5842.000,2.88603e-17,-9.90000e+01
5844.000,4.37394e-17,-9.90000e+01
5846.000,4.00149e-17,-9.90000e+01
5848.000,1.48335e-17,-9.90000e+01
5850.000,1.39238e-17,-9.90000e+01
5852.000,1.50276e-17,-9.90000e+01
5854.000,2.00756e-17,-9.90000e+01
5856.000,8.78215e-18,-9.90000e+01
5858.000,6.91127e-18,-9.90000e+01
5860.000,1.03448e-17,-9.90000e+01
5862.000,2.98161e-17,-9.90000e+01
5864.000,1.73156e-17,-9.90000e+01
5866.000,1.51345e-17,-9.90000e+01
5868.000,1.79193e-17,-9.90000e+01
5870.000,3.85704e-17,-9.90000e+01
5872.000,3.58953e-17,-9.90000e+01
5874.000,1.30789e-17,-9.90000e+01
5876.000,1.91813e-17,-9.90000e+01
5878.000,3.52424e-17,-9.90000e+01
5880.000,3.78440e-17,-9.90000e+01
5882.000,4.55931e-17,-9.90000e+01
5884.000,4.04879e-17,-9.90000e+01
5886.000,2.32607e-17,-9.90000e+01
5888.000,2.18837e-17,-9.90000e+01
5890.000,3.49850e-17,-9.90000e+01
5892.000,4.65437e-17,-9.90000e+01
5894.000,3.71347e-17,-9.90000e+01
5896.000,3.73521e-17,-9.90000e+01
5898.000,4.40423e-17,-9.90000e+01
5900.000,2.36943e-17,-9.90000e+01
5902.000,3.04438e-17,-9.90000e+01
5904.000,3.17771e-17,-9.90000e+01
5906.000,1.27398e-17,-9.90000e+01
5908.000,1.94774e-17,-9.90000e+01
5910.000,2.14606e-17,-9.90000e+01
5912.000,4.16617e-18,-9.90000e+01
5914.000,1.33959e-18,-9.90000e+01
5916.000,1.97772e-17,-9.90000e+01
5918.000,2.81718e-17,-9.90000e+01
5920.000,2.43619e-17,-9.90000e+01
5922.000,2.29849e-17,-9.90000e+01
5924.000,9.11130e-18,-9.90000e+01
5926.000,5.38927e-18,-9.90000e+01
5928.000,2.70718e-18,-9.90000e+01
5930.000,-1.77436e-18,-9.90000e+01
5932.000,2.16521e-17,-9.90000e+01
5934.000,2.00425e-17,-9.90000e+01
5936.000,2.51974e-17,-9.90000e+01
5938.000,4.27894e-17,-9.90000e+01
5940.000,2.35849e-17,-9.90000e+01
5942.000,5.81860e-18,-9.90000e+01
5944.000,1.40931e-17,-9.90000e+01
5946.000,3.53687e-17,-9.90000e+01
5948.000,5.11624e-17,-9.90000e+01
5950.000,3.80618e-17,-9.90000e+01
5952.000,1.50557e-17,-9.90000e+01
5954.000,1.77767e-17,-9.90000e+01
5956.000,6.88598e-18,-9.90000e+01
5958.000,5.40961e-18,-9.90000e+01
5960.000,1.49776e-17,-9.90000e+01
5962.000,1.11414e-17,-9.90000e+01
5964.000,1.16306e-17,-9.90000e+01
5966.000,4.18007e-18,-9.90000e+01
5968.000,1.10624e-17,-9.90000e+01
5970.000,1.21999e-17,-9.90000e+01
5972.000,1.28795e-17,-9.90000e+01
5974.000,1.95796e-17,-9.90000e+01
5976.000,2.42599e-17,-9.90000e+01
5978.000,2.06747e-17,-9.90000e+01
5980.000,1.18781e-18,-9.90000e+01
5982.000,6.53270e-18,-9.90000e+01
5984.000,1.91398e-17,-9.90000e+01
5986.000,1.65538e-17,-9.90000e+01
5988.000,1.04089e-17,-9.90000e+01
5990.000,-4.86296e-18,-9.90000e+01
5992.000,-6.31553e-18,-9.90000e+01
5994.000,3.81379e-18,-9.90000e+01
5996.000,1.92993e-17,-9.90000e+01
5998.000,2.41095e-17,-9.90000e+01
6000.000,1.91363e-17,-9.90000e+01
6002.000,1.28778e-17,-9.90000e+01
6004.000,1.21366e-17,-9.90000e+01
6006.000,9.22117e-18,-9.90000e+01
6008.000,-8.96615e-18,-9.90000e+01
6010.000,3.66467e-18,-9.90000e+01
6012.000,9.48157e-18,-9.90000e+01
