# INSTRUMENT_ID: 7
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 187.731045833333
# DEC: 9.15283611111111
# OBS_DATE: 2020-07-25 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 41161
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3397.560,5.68877e-03,-9.90000e+01
3398.750,1.41159e-02,-9.90000e+01
3399.930,2.16699e-02,-9.90000e+01
3401.110,-2.13959e-02,-9.90000e+01
3402.300,-3.81651e-02,-9.90000e+01
3403.480,-2.20630e-02,-9.90000e+01
3404.670,-5.37746e-03,-9.90000e+01
3405.850,3.28939e-02,-9.90000e+01
3407.030,1.39443e-03,-9.90000e+01
3408.220,2.10919e-02,-9.90000e+01
3409.400,7.82759e-03,-9.90000e+01
3410.590,6.78644e-02,-9.90000e+01
3411.770,4.18696e-02,-9.90000e+01
3412.960,1.38726e-02,-9.90000e+01
3414.140,7.27021e-02,-9.90000e+01
3415.320,3.73655e-02,-9.90000e+01
3416.510,-7.27331e-03,-9.90000e+01
3417.690,2.87171e-03,-9.90000e+01
3418.880,-5.79840e-04,-9.90000e+01
3420.060,4.00104e-03,-9.90000e+01
3421.240,-2.31953e-02,-9.90000e+01
3422.430,2.48156e-02,-9.90000e+01
3423.610,1.86568e-02,-9.90000e+01
3424.800,7.29506e-03,-9.90000e+01
3425.980,1.27954e-02,-9.90000e+01
3427.160,1.85085e-02,-9.90000e+01
3428.350,-1.84387e-02,-9.90000e+01
3429.530,-2.37445e-02,-9.90000e+01
3430.720,-2.56161e-02,-9.90000e+01
3431.900,3.22199e-02,-9.90000e+01
3433.080,1.65814e-02,-9.90000e+01
3434.270,-3.47834e-03,-9.90000e+01
3435.450,1.34756e-02,-9.90000e+01
3436.640,-7.71474e-03,-9.90000e+01
3437.820,1.77736e-02,-9.90000e+01
3439.010,1.32170e-02,-9.90000e+01
3440.190,3.25614e-02,-9.90000e+01
3441.370,1.41856e-02,-9.90000e+01
3442.560,-6.66634e-03,-9.90000e+01
3443.740,1.87176e-02,-9.90000e+01
3444.930,7.74968e-05,-9.90000e+01
3446.110,1.71599e-03,-9.90000e+01
3447.290,3.78400e-02,-9.90000e+01
3448.480,3.11676e-02,-9.90000e+01
3449.660,1.27685e-02,-9.90000e+01
3450.850,-2.09726e-02,-9.90000e+01
3452.030,-2.74390e-02,-9.90000e+01
3453.210,-8.50572e-03,-9.90000e+01
3454.400,1.74848e-02,-9.90000e+01
3455.580,-9.28565e-03,-9.90000e+01
3456.770,3.36823e-02,-9.90000e+01
3457.950,3.55521e-02,-9.90000e+01
3459.140,2.82492e-02,-9.90000e+01
3460.320,3.12869e-02,-9.90000e+01
3461.500,-8.55738e-03,-9.90000e+01
3462.690,-1.84228e-02,-9.90000e+01
3463.870,-1.42318e-03,-9.90000e+01
3465.060,9.50035e-04,-9.90000e+01
3466.240,1.83380e-02,-9.90000e+01
3467.420,-1.55598e-02,-9.90000e+01
3468.610,3.76849e-02,-9.90000e+01
3469.790,4.53261e-02,-9.90000e+01
3470.980,2.99777e-02,-9.90000e+01
3472.160,3.37612e-02,-9.90000e+01
3473.340,2.57274e-02,-9.90000e+01
3474.530,4.22348e-02,-9.90000e+01
3475.710,4.89527e-02,-9.90000e+01
3476.900,1.17920e-02,-9.90000e+01
3478.080,1.99543e-02,-9.90000e+01
3479.260,3.04485e-02,-9.90000e+01
3480.450,2.16516e-02,-9.90000e+01
3481.630,3.37712e-03,-9.90000e+01
3482.820,4.50170e-03,-9.90000e+01
3484.000,6.20088e-03,-9.90000e+01
3485.190,3.38732e-02,-9.90000e+01
3486.370,7.97166e-03,-9.90000e+01
3487.550,1.80718e-02,-9.90000e+01
3488.740,4.13607e-02,-9.90000e+01
3489.920,6.94829e-03,-9.90000e+01
3491.110,2.81700e-02,-9.90000e+01
3492.290,2.03725e-03,-9.90000e+01
3493.470,3.42675e-02,-9.90000e+01
3494.660,1.80291e-02,-9.90000e+01
3495.840,1.01793e-02,-9.90000e+01
3497.030,4.39575e-02,-9.90000e+01
3498.210,1.53756e-02,-9.90000e+01
3499.390,2.46259e-02,-9.90000e+01
3500.580,2.94447e-02,-9.90000e+01
3501.760,8.21439e-03,-9.90000e+01
3502.950,-5.51450e-03,-9.90000e+01
3504.130,3.55782e-02,-9.90000e+01
3505.320,4.90032e-02,-9.90000e+01
3506.500,3.52784e-02,-9.90000e+01
3507.680,1.88132e-02,-9.90000e+01
3508.870,5.15616e-02,-9.90000e+01
3510.050,3.74672e-02,-9.90000e+01
3511.240,4.26223e-02,-9.90000e+01
3512.420,3.53126e-02,-9.90000e+01
3513.600,3.48807e-02,-9.90000e+01
3514.790,2.20816e-02,-9.90000e+01
3515.970,1.92245e-02,-9.90000e+01
3517.160,3.43305e-02,-9.90000e+01
