# INSTRUMENT_ID: 10
# OBS_GROUP_ID: 58
# UNIT_ID: None
# RA: 358.573854166667
# DEC: 26.3267111111111
# OBS_DATE: 2020-07-17 13:43:41+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 46836
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3910.841,3.08834e-16,-9.90000e+01
3911.467,4.16654e-16,-9.90000e+01
3912.094,2.33890e-16,-9.90000e+01
3912.720,3.37946e-16,-9.90000e+01
3913.347,4.10996e-16,-9.90000e+01
3913.973,4.48532e-16,-9.90000e+01
3914.599,5.57428e-16,-9.90000e+01
3915.226,4.61561e-16,-9.90000e+01
3915.852,6.28281e-16,-9.90000e+01
3916.478,6.84658e-16,-9.90000e+01
3917.105,5.06683e-16,-9.90000e+01
3917.731,5.52742e-16,-9.90000e+01
3918.358,4.97361e-16,-9.90000e+01
3918.984,5.47667e-16,-9.90000e+01
3919.610,5.89834e-16,-9.90000e+01
3920.237,6.11998e-16,-9.90000e+01
3920.863,7.33757e-16,-9.90000e+01
3921.490,6.82715e-16,-9.90000e+01
3922.116,7.77672e-16,-9.90000e+01
3922.742,7.10333e-16,-9.90000e+01
3923.369,6.45993e-16,-9.90000e+01
3923.995,6.85865e-16,-9.90000e+01
3924.621,5.91630e-16,-9.90000e+01
3925.248,7.39634e-16,-9.90000e+01
3925.874,7.43190e-16,-9.90000e+01
3926.501,6.35531e-16,-9.90000e+01
3927.127,5.33021e-16,-9.90000e+01
3927.753,6.80427e-16,-9.90000e+01
3928.380,6.33803e-16,-9.90000e+01
3929.006,4.79112e-16,-9.90000e+01
3929.633,4.02306e-16,-9.90000e+01
3930.259,4.34863e-16,-9.90000e+01
3930.885,4.59415e-16,-9.90000e+01
3931.512,5.80261e-16,-9.90000e+01
3932.138,6.60082e-16,-9.90000e+01
3932.764,6.02954e-16,-9.90000e+01
3933.391,5.59576e-16,-9.90000e+01
3934.017,5.62024e-16,-9.90000e+01
3934.644,4.85647e-16,-9.90000e+01
3935.270,5.74807e-16,-9.90000e+01
3935.896,4.39473e-16,-9.90000e+01
3936.523,3.17341e-16,-9.90000e+01
3937.149,4.49635e-16,-9.90000e+01
3937.775,4.61560e-16,-9.90000e+01
3938.402,5.43426e-16,-9.90000e+01
3939.028,5.28921e-16,-9.90000e+01
3939.655,4.41320e-16,-9.90000e+01
3940.281,6.13952e-16,-9.90000e+01
3940.907,7.02683e-16,-9.90000e+01
3941.534,7.16231e-16,-9.90000e+01
3942.160,5.31133e-16,-9.90000e+01
