# INSTRUMENT_ID: 18
# OBS_GROUP_ID: 70
# UNIT_ID: None
# RA: 52.11355
# DEC: -5.25454166666667
# OBS_DATE: 2020-08-24 02:20:29+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 57120
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3920.346,3.21051e-16,-9.90000e+01
3921.307,3.11476e-16,-9.90000e+01
3922.268,3.12550e-16,-9.90000e+01
3923.229,3.13566e-16,-9.90000e+01
3924.189,3.25720e-16,-9.90000e+01
3925.150,3.36649e-16,-9.90000e+01
3926.111,3.31449e-16,-9.90000e+01
3927.072,3.40036e-16,-9.90000e+01
3928.033,3.47429e-16,-9.90000e+01
3928.994,3.37783e-16,-9.90000e+01
3929.955,3.37769e-16,-9.90000e+01
3930.916,3.37787e-16,-9.90000e+01
3931.877,3.29310e-16,-9.90000e+01
3932.838,3.16931e-16,-9.90000e+01
3933.799,3.17638e-16,-9.90000e+01
3934.760,3.26182e-16,-9.90000e+01
3935.721,3.28090e-16,-9.90000e+01
3936.682,3.29622e-16,-9.90000e+01
3937.643,3.50935e-16,-9.90000e+01
3938.604,3.57669e-16,-9.90000e+01
3939.564,3.57282e-16,-9.90000e+01
3940.525,3.59456e-16,-9.90000e+01
3941.486,3.56756e-16,-9.90000e+01
3942.447,3.56313e-16,-9.90000e+01
3943.408,3.58484e-16,-9.90000e+01
3944.369,3.56735e-16,-9.90000e+01
3945.330,3.60285e-16,-9.90000e+01
3946.291,3.65232e-16,-9.90000e+01
3947.252,3.63528e-16,-9.90000e+01
3948.213,3.59780e-16,-9.90000e+01
3949.174,3.55078e-16,-9.90000e+01
3950.135,3.53613e-16,-9.90000e+01
3951.096,3.61953e-16,-9.90000e+01
3952.057,3.72169e-16,-9.90000e+01
3953.018,3.76175e-16,-9.90000e+01
3953.978,3.78948e-16,-9.90000e+01
3954.939,3.72281e-16,-9.90000e+01
