# INSTRUMENT_ID: 18
# OBS_GROUP_ID: 2
# UNIT_ID: None
# RA: 7.3608625
# DEC: 17.48535
# OBS_DATE: 2020-09-22 05:05:51+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 58729
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3381.227,1.18204e-16,-9.90000e+01
3384.521,5.71221e-17,-9.90000e+01
3387.815,3.90371e-17,-9.90000e+01
3391.108,8.48745e-17,-9.90000e+01
3394.402,1.14671e-16,-9.90000e+01
3397.696,6.80387e-17,-9.90000e+01
3400.990,1.02737e-16,-9.90000e+01
3404.283,1.15892e-16,-9.90000e+01
3407.577,1.07039e-16,-9.90000e+01
3410.871,9.53723e-17,-9.90000e+01
3414.165,9.14609e-17,-9.90000e+01
3417.459,4.32144e-17,-9.90000e+01
3420.752,1.08547e-16,-9.90000e+01
3424.046,9.08082e-17,-9.90000e+01
3427.340,7.45456e-17,-9.90000e+01
3430.634,2.89780e-17,-9.90000e+01
3433.927,7.87163e-17,-9.90000e+01
3437.221,7.28872e-17,-9.90000e+01
3440.515,7.47776e-17,-9.90000e+01
3443.809,8.58354e-17,-9.90000e+01
3447.103,9.67486e-17,-9.90000e+01
3450.396,5.90461e-17,-9.90000e+01
3453.690,4.94150e-17,-9.90000e+01
3456.984,1.02364e-16,-9.90000e+01
3460.278,8.21629e-17,-9.90000e+01
3463.571,7.85527e-17,-9.90000e+01
3466.865,8.26857e-17,-9.90000e+01
3470.159,1.06456e-16,-9.90000e+01
3473.453,7.66709e-17,-9.90000e+01
3476.746,6.64947e-17,-9.90000e+01
3480.040,1.01323e-16,-9.90000e+01
3483.334,9.50898e-17,-9.90000e+01
3486.628,6.53391e-17,-9.90000e+01
3489.922,1.20611e-16,-9.90000e+01
3493.215,9.46647e-17,-9.90000e+01
3496.509,8.71743e-17,-9.90000e+01
3499.803,1.09925e-16,-9.90000e+01
3503.097,7.95012e-17,-9.90000e+01
3506.390,7.65739e-17,-9.90000e+01
3509.684,8.28374e-17,-9.90000e+01
3512.978,6.86290e-17,-9.90000e+01
3516.272,7.34321e-17,-9.90000e+01
3519.566,7.66948e-17,-9.90000e+01
3522.859,8.53014e-17,-9.90000e+01
3526.153,8.98154e-17,-9.90000e+01
3529.447,9.23941e-17,-9.90000e+01
3532.741,9.44518e-17,-9.90000e+01
3536.034,7.45271e-17,-9.90000e+01
3539.328,9.88381e-17,-9.90000e+01
3542.622,7.90488e-17,-9.90000e+01
3545.916,9.13156e-17,-9.90000e+01
3549.210,7.60528e-17,-9.90000e+01
3552.503,6.07979e-17,-9.90000e+01
3555.797,5.52736e-17,-9.90000e+01
3559.091,9.67244e-17,-9.90000e+01
3562.385,7.32227e-17,-9.90000e+01
3565.678,5.78196e-17,-9.90000e+01
3568.972,1.05152e-16,-9.90000e+01
3572.266,7.67801e-17,-9.90000e+01
3575.560,1.03600e-16,-9.90000e+01
3578.853,6.81842e-17,-9.90000e+01
3582.147,1.03238e-16,-9.90000e+01
3585.441,7.73077e-17,-9.90000e+01
3588.735,7.14661e-17,-9.90000e+01
3592.029,8.52470e-17,-9.90000e+01
3595.322,7.81192e-17,-9.90000e+01
3598.616,7.78519e-17,-9.90000e+01
3601.910,8.67487e-17,-9.90000e+01
3605.204,9.12191e-17,-9.90000e+01
3608.497,8.46427e-17,-9.90000e+01
3611.791,8.58903e-17,-9.90000e+01
3615.085,9.22220e-17,-9.90000e+01
3618.379,7.96024e-17,-9.90000e+01
3621.673,8.56049e-17,-9.90000e+01
3624.966,9.17455e-17,-9.90000e+01
3628.260,8.11010e-17,-9.90000e+01
3631.554,7.70802e-17,-9.90000e+01
3634.848,8.11834e-17,-9.90000e+01
3638.141,8.61056e-17,-9.90000e+01
3641.435,9.28631e-17,-9.90000e+01
3644.729,7.22272e-17,-9.90000e+01
3648.023,7.82420e-17,-9.90000e+01
3651.317,6.66969e-17,-9.90000e+01
3654.610,5.79492e-17,-9.90000e+01
3657.904,7.53124e-17,-9.90000e+01
3661.198,7.23222e-17,-9.90000e+01
3664.492,8.42065e-17,-9.90000e+01
3667.785,8.21124e-17,-9.90000e+01
3671.079,7.26565e-17,-9.90000e+01
3674.373,6.86495e-17,-9.90000e+01
3677.667,7.51704e-17,-9.90000e+01
3680.960,6.77270e-17,-9.90000e+01
3684.254,7.26572e-17,-9.90000e+01
3687.548,7.86335e-17,-9.90000e+01
3690.842,6.59388e-17,-9.90000e+01
3694.136,6.87926e-17,-9.90000e+01
3697.429,6.82596e-17,-9.90000e+01
3700.723,8.51928e-17,-9.90000e+01
3704.017,7.06024e-17,-9.90000e+01
3707.311,7.12440e-17,-9.90000e+01
3710.604,8.30195e-17,-9.90000e+01
3713.898,7.17882e-17,-9.90000e+01
3717.192,7.33152e-17,-9.90000e+01
3720.486,7.67823e-17,-9.90000e+01
3723.780,7.28810e-17,-9.90000e+01
3727.073,7.41962e-17,-9.90000e+01
3730.367,8.31343e-17,-9.90000e+01
3733.661,6.72246e-17,-9.90000e+01
3736.955,7.84046e-17,-9.90000e+01
3740.248,6.85083e-17,-9.90000e+01
3743.542,7.65808e-17,-9.90000e+01
3746.836,7.83839e-17,-9.90000e+01
3750.130,7.71335e-17,-9.90000e+01
