# CREATED_DATE: 2020-04-15T11:05:48.875Z
# MODIFIED_DATE: 2022-09-03T05:50:09.507Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: NT
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ141819.08+385546.1; (14:18:19.20, +38:55:46.42)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020hgw
# RA: 214.57972821206153
# DEC: 38.929527361389404
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-04-17T00:00:00Z
# REDSHIFT: 0.043
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-04-05T11:22:04Z
# NON_DETECT_LIMIT: 19.8234
# MW_EBV: 0.011
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10DYSEblp/58956/1141819151385546100_58956.474_103054920_53_target.jpeg
# POSTAGE_STAMP_REF: 10DYSEblp/58956/1141819151385546100_58956.474_103054920_53_ref.jpeg
# POSTAGE_STAMP_DIFF: 10DYSEblp/58956/1141819151385546100_58956.474_103054920_53_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10DYSEblp/58956/1141819151385546100_58956.474_103054920_53_target.fits
# POSTAGE_STAMP_REF_FITS: 10DYSEblp/58956/1141819151385546100_58956.474_103054920_53_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10DYSEblp/58956/1141819151385546100_58956.474_103054920_53_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020hgw
# REAL_BOGUS_SCORE: 0.914865
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [16, 21, 29, 46, 49, 52]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58954.387  g-ZTF  7035.074  436.775  17.882  0.067  None  P48  ZTF-Cam  None
OBS:      58954.444  r-ZTF  4950.070  340.845  18.263  0.075  None  P48  ZTF-Cam  None
OBS:      58955.404  g-ZTF  7726.339  389.517  17.780  0.055  None  P48  ZTF-Cam  None
OBS:      58955.426  r-ZTF  5696.393  343.640  18.111  0.065  None  P48  ZTF-Cam  None
OBS:      58956.343  r-ZTF  6147.490  312.256  18.028  0.055  None  P48  ZTF-Cam  None
OBS:      58956.369  g-ZTF  8981.241  262.447  17.617  0.032  None  P48  ZTF-Cam  None
OBS:      58961.410  r-ZTF  8236.829  489.629  17.711  0.065  None  P48  ZTF-Cam  None
OBS:      58964.283  r-ZTF  7621.740  336.226  17.795  0.048  None  P48  ZTF-Cam  None
OBS:      58964.345  g-ZTF  9471.340  435.725  17.559  0.050  None  P48  ZTF-Cam  None
OBS:      58967.288  g-ZTF  8478.227  538.060  17.679  0.069  None  P48  ZTF-Cam  None
OBS:      58967.341  r-ZTF  7418.191  435.692  17.824  0.064  None  P48  ZTF-Cam  None
OBS:      58970.307  g-ZTF  7529.567  458.953  17.808  0.066  None  P48  ZTF-Cam  None
OBS:      58970.391  r-ZTF  6807.960  373.709  17.917  0.060  None  P48  ZTF-Cam  None
OBS:      58973.267  g-ZTF  6897.452  422.538  17.903  0.067  None  P48  ZTF-Cam  None
OBS:      58973.304  r-ZTF  6360.298  359.772  17.991  0.061  None  P48  ZTF-Cam  None
OBS:      58975.275  g-ZTF  5989.949  757.135  18.056  0.137  None  P48  ZTF-Cam  None
OBS:      58976.201  g-ZTF  5802.830  493.530  18.091  0.092  None  P48  ZTF-Cam  None
OBS:      58976.298  r-ZTF  6023.769  407.329  18.050  0.073  None  P48  ZTF-Cam  None
OBS:      58979.240  g-ZTF  5307.847  321.645  18.188  0.066  None  P48  ZTF-Cam  None
OBS:      58980.329  r-ZTF  5527.381  347.804  18.144  0.068  None  P48  ZTF-Cam  None
OBS:      58985.299  g-ZTF  4489.982  341.561  18.369  0.083  None  P48  ZTF-Cam  None
OBS:      58991.235  r-ZTF  4362.193  238.748  18.401  0.059  None  P48  ZTF-Cam  None
OBS:      58991.307  g-ZTF  4122.751  275.466  18.462  0.073  None  P48  ZTF-Cam  None
OBS:      58994.244  g-ZTF  3923.404  231.649  18.516  0.064  None  P48  ZTF-Cam  None
OBS:      58997.221  g-ZTF  3458.044  277.883  18.653  0.087  None  P48  ZTF-Cam  None
OBS:      58997.290  r-ZTF  4136.411  253.069  18.458  0.066  None  P48  ZTF-Cam  None
OBS:      59000.246  g-ZTF  3389.587  266.079  18.675  0.085  None  P48  ZTF-Cam  None
OBS:      59000.266  g-ZTF  3311.873  314.126  18.700  0.103  None  P48  ZTF-Cam  None
OBS:      59004.203  g-ZTF  2950.860  353.985  18.825  0.130  None  P48  ZTF-Cam  None
OBS:      59004.273  r-ZTF  4288.015  275.423  18.419  0.070  None  P48  ZTF-Cam  None
OBS:      59009.215  r-ZTF  3705.331  316.791  18.578  0.093  None  P48  ZTF-Cam  None
OBS:      59009.243  g-ZTF  2510.179  303.108  19.001  0.131  None  P48  ZTF-Cam  None
OBS:      59012.206  g-ZTF  2373.920  221.589  19.061  0.101  None  P48  ZTF-Cam  None
OBS:      59012.239  r-ZTF  3402.987  273.356  18.670  0.087  None  P48  ZTF-Cam  None
OBS:      59016.208  g-ZTF  2230.963  190.113  19.129  0.093  None  P48  ZTF-Cam  None
OBS:      59019.220  r-ZTF  2912.364  235.729  18.839  0.088  None  P48  ZTF-Cam  None
OBS:      59019.260  g-ZTF  2161.506  268.118  19.163  0.135  None  P48  ZTF-Cam  None
