# CREATED_DATE: 2020-05-14T14:21:59.393Z
# MODIFIED_DATE: 2022-10-09T06:42:29.709Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237662619189444802; (16:10:51.55, +27:09:29.92)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020jww
# RA: 242.7149451655435
# DEC: 27.16169586088423
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-05-14T00:00:00Z
# REDSHIFT: 0.046
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-05-12T07:07:26Z
# NON_DETECT_LIMIT: 20.5344
# MW_EBV: 0.035
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10EYSEdqw/58983/1161051591270942000_58983.525_104022686_239_target.jpeg
# POSTAGE_STAMP_REF: 10EYSEdqw/58983/1161051591270942000_58983.525_104022686_239_ref.jpeg
# POSTAGE_STAMP_DIFF: 10EYSEdqw/58983/1161051591270942000_58983.525_104022686_239_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10EYSEdqw/58983/1161051591270942000_58983.525_104022686_239_target.fits
# POSTAGE_STAMP_REF_FITS: 10EYSEdqw/58983/1161051591270942000_58983.525_104022686_239_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10EYSEdqw/58983/1161051591270942000_58983.525_104022686_239_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020jww
# REAL_BOGUS_SCORE: 0.999973
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [16, 29, 39, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58984.405  r-ZTF  1701.323  147.671  19.423  0.094  None  P48  ZTF-Cam  None
OBS:      58985.310  g-ZTF  2089.034  159.533  19.200  0.083  None  P48  ZTF-Cam  None
OBS:      58985.380  r-ZTF  1817.042  177.256  19.352  0.106  None  P48  ZTF-Cam  None
OBS:      58986.292  r-ZTF  2001.891  160.132  19.246  0.087  None  P48  ZTF-Cam  None
OBS:      58986.384  g-ZTF  2265.808  155.391  19.112  0.074  None  P48  ZTF-Cam  None
OBS:      58987.333  r-ZTF  2108.553  217.429  19.190  0.112  None  P48  ZTF-Cam  None
OBS:      58987.409  g-ZTF  2207.917  176.491  19.140  0.087  None  P48  ZTF-Cam  None
OBS:      58991.268  r-ZTF  2290.891  159.212  19.100  0.075  None  P48  ZTF-Cam  None
OBS:      58991.315  g-ZTF  2207.952  177.927  19.140  0.087  None  P48  ZTF-Cam  None
OBS:      58992.272  r-ZTF  2208.871  183.073  19.140  0.090  None  P48  ZTF-Cam  None
OBS:      58993.269  g-ZTF  2388.985  206.693  19.054  0.094  None  P48  ZTF-Cam  None
OBS:      58993.299  r-ZTF  2278.297  215.572  19.106  0.103  None  P48  ZTF-Cam  None
OBS:      58994.268  g-ZTF  2254.318  163.670  19.117  0.079  None  P48  ZTF-Cam  None
OBS:      58994.310  r-ZTF  2189.404  171.494  19.149  0.085  None  P48  ZTF-Cam  None
OBS:      58995.258  r-ZTF  2244.041  202.840  19.122  0.098  None  P48  ZTF-Cam  None
OBS:      58996.273  r-ZTF  2340.548  195.020  19.077  0.090  None  P48  ZTF-Cam  None
OBS:      58996.317  g-ZTF  2055.514  137.483  19.218  0.073  None  P48  ZTF-Cam  None
OBS:      58997.295  r-ZTF  2258.139  220.039  19.116  0.106  None  P48  ZTF-Cam  None
OBS:      58998.261  r-ZTF  2135.254  211.157  19.176  0.107  None  P48  ZTF-Cam  None
OBS:      58998.295  r-ZTF  2093.053  202.513  19.198  0.105  None  P48  ZTF-Cam  None
OBS:      58998.352  g-ZTF  1959.395  145.860  19.270  0.081  None  P48  ZTF-Cam  None
OBS:      58999.246  g-ZTF  1860.582  238.773  19.326  0.139  None  P48  ZTF-Cam  None
OBS:      58999.270  g-ZTF  1864.731  191.124  19.323  0.111  None  P48  ZTF-Cam  None
OBS:      58999.296  r-ZTF  2443.176  240.585  19.030  0.107  None  P48  ZTF-Cam  None
OBS:      59000.289  g-ZTF  1951.257  229.503  19.274  0.128  None  P48  ZTF-Cam  None
OBS:      59000.400  g-ZTF  1940.414  227.860  19.280  0.127  None  P48  ZTF-Cam  None
