# CREATED_DATE: 2020-08-20T06:36:35.899Z
# MODIFIED_DATE: 2022-09-29T14:27:44.740Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 03282706-0515157; (03:28:27.11, -05:15:15.37)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020rth
# RA: 52.113556694414385
# DEC: -5.254543585774402
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-08-19T00:00:00Z
# REDSHIFT: 0.0184
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-08-03T11:08:18Z
# NON_DETECT_LIMIT: 18.8269
# MW_EBV: 0.041
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10HYSEjyo/59080/1032827250051516300_59080.606_107181557_21_target.jpeg
# POSTAGE_STAMP_REF: 10HYSEjyo/59080/1032827250051516300_59080.606_107181557_21_ref.jpeg
# POSTAGE_STAMP_DIFF: 10HYSEjyo/59080/1032827250051516300_59080.606_107181557_21_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10HYSEjyo/59080/1032827250051516300_59080.606_107181557_21_target.fits
# POSTAGE_STAMP_REF_FITS: 10HYSEjyo/59080/1032827250051516300_59080.606_107181557_21_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10HYSEjyo/59080/1032827250051516300_59080.606_107181557_21_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.106
# ALT_STATUS: CONFIRMED
# SLUG: 2020rth
# REAL_BOGUS_SCORE: 0.999918
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 33, 52]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59084.428  g-ZTF  13440.390  666.279  17.179  0.054  None  P48  ZTF-Cam  None
OBS:      59088.494  g-ZTF  13091.515  522.127  17.208  0.043  None  P48  ZTF-Cam  None
OBS:      59090.509  r-ZTF  14095.307  432.998  17.127  0.033  None  P48  ZTF-Cam  None
OBS:      59091.417  g-ZTF  12388.163  438.152  17.267  0.038  None  P48  ZTF-Cam  None
OBS:      59092.428  g-ZTF  11590.500  571.386  17.340  0.054  None  P48  ZTF-Cam  None
OBS:      59094.416  r-ZTF  13538.068  564.023  17.171  0.045  None  P48  ZTF-Cam  None
OBS:      59094.440  r-ZTF  13998.083  596.812  17.135  0.046  None  P48  ZTF-Cam  None
OBS:      59094.500  g-ZTF  11169.132  543.805  17.380  0.053  None  P48  ZTF-Cam  None
OBS:      59096.398  r-ZTF  13296.570  593.406  17.191  0.048  None  P48  ZTF-Cam  None
OBS:      59102.458  r-ZTF  12229.837  651.521  17.281  0.058  None  P48  ZTF-Cam  None
OBS:      59106.519  g-ZTF  6749.798  593.898  17.927  0.096  None  P48  ZTF-Cam  None
OBS:      59108.370  g-ZTF  6349.726  504.262  17.993  0.086  None  P48  ZTF-Cam  None
OBS:      59108.462  r-ZTF  11279.295  534.991  17.369  0.051  None  P48  ZTF-Cam  None
OBS:      59111.396  g-ZTF  5691.702  314.049  18.112  0.060  None  P48  ZTF-Cam  None
OBS:      59111.420  r-ZTF  10795.103  394.599  17.417  0.040  None  P48  ZTF-Cam  None
OBS:      59114.352  g-ZTF  4929.833  342.303  18.268  0.075  None  P48  ZTF-Cam  None
OBS:      59114.460  r-ZTF  10240.317  330.800  17.474  0.035  None  P48  ZTF-Cam  None
OBS:      59116.435  r-ZTF  9962.354  329.792  17.504  0.036  None  P48  ZTF-Cam  None
OBS:      59117.382  r-ZTF  10189.193  347.890  17.480  0.037  None  P48  ZTF-Cam  None
OBS:      59118.479  g-ZTF  4413.305  250.570  18.388  0.062  None  P48  ZTF-Cam  None
OBS:      59120.363  g-ZTF  4155.588  353.664  18.453  0.092  None  P48  ZTF-Cam  None
OBS:      59120.440  g-ZTF  4329.191  231.736  18.409  0.058  None  P48  ZTF-Cam  None
OBS:      59121.365  g-ZTF  4434.841  369.333  18.383  0.090  None  P48  ZTF-Cam  None
OBS:      59122.362  g-ZTF  3787.458  456.962  18.554  0.131  None  P48  ZTF-Cam  None
OBS:      59123.355  r-ZTF  9900.140  579.026  17.511  0.064  None  P48  ZTF-Cam  None
OBS:      59123.400  g-ZTF  4240.708  420.088  18.431  0.108  None  P48  ZTF-Cam  None
OBS:      59124.353  r-ZTF  9505.611  391.380  17.555  0.045  None  P48  ZTF-Cam  None
OBS:      59125.397  g-ZTF  4339.310  439.549  18.406  0.110  None  P48  ZTF-Cam  None
OBS:      59125.465  r-ZTF  9736.151  388.149  17.529  0.043  None  P48  ZTF-Cam  None
OBS:      59128.409  r-ZTF  8737.607  543.976  17.647  0.068  None  P48  ZTF-Cam  None
OBS:      59130.405  g-ZTF  3824.720  287.733  18.544  0.082  None  P48  ZTF-Cam  None
OBS:      59130.428  r-ZTF  8824.144  367.150  17.636  0.045  None  P48  ZTF-Cam  None
OBS:      59134.436  r-ZTF  8455.678  400.261  17.682  0.051  None  P48  ZTF-Cam  None
OBS:      59136.406  g-ZTF  3458.865  222.034  18.653  0.070  None  P48  ZTF-Cam  None
OBS:      59138.337  r-ZTF  8135.245  415.726  17.724  0.055  None  P48  ZTF-Cam  None
OBS:      59140.366  r-ZTF  8336.678  371.768  17.698  0.048  None  P48  ZTF-Cam  None
OBS:      59140.413  g-ZTF  3274.645  288.420  18.712  0.096  None  P48  ZTF-Cam  None
OBS:      59142.362  r-ZTF  8252.747  363.499  17.709  0.048  None  P48  ZTF-Cam  None
OBS:      59142.407  g-ZTF  3144.219  200.428  18.756  0.069  None  P48  ZTF-Cam  None
OBS:      59144.396  g-ZTF  2988.400  186.135  18.811  0.068  None  P48  ZTF-Cam  None
OBS:      59144.401  r-ZTF  7699.390  364.646  17.784  0.051  None  P48  ZTF-Cam  None
OBS:      59150.300  r-ZTF  7738.252  433.733  17.778  0.061  None  P48  ZTF-Cam  None
OBS:      59151.319  g-ZTF  3310.780  424.973  18.700  0.139  None  P48  ZTF-Cam  None
OBS:      59151.374  r-ZTF  7099.908  355.504  17.872  0.054  None  P48  ZTF-Cam  None
OBS:      59152.390  r-ZTF  7799.229  461.797  17.770  0.064  None  P48  ZTF-Cam  None
OBS:      59155.280  r-ZTF  7762.583  413.584  17.775  0.058  None  P48  ZTF-Cam  None
OBS:      59155.361  g-ZTF  2878.134  303.409  18.852  0.114  None  P48  ZTF-Cam  None
OBS:      59157.371  g-ZTF  3271.919  300.825  18.713  0.100  None  P48  ZTF-Cam  None
OBS:      59157.422  r-ZTF  7148.053  384.801  17.865  0.058  None  P48  ZTF-Cam  None
OBS:      59158.320  g-ZTF  2632.097  356.836  18.949  0.147  None  P48  ZTF-Cam  None
OBS:      59158.351  r-ZTF  7491.753  374.184  17.814  0.054  None  P48  ZTF-Cam  None
OBS:      59165.300  g-ZTF  2572.025  230.950  18.974  0.097  None  P48  ZTF-Cam  None
OBS:      59165.350  r-ZTF  6749.881  314.456  17.927  0.051  None  P48  ZTF-Cam  None
OBS:      59167.346  r-ZTF  6494.832  273.375  17.969  0.046  None  P48  ZTF-Cam  None
OBS:      59169.277  r-ZTF  6704.654  306.762  17.934  0.050  None  P48  ZTF-Cam  None
OBS:      59169.332  g-ZTF  2311.695  200.779  19.090  0.094  None  P48  ZTF-Cam  None
OBS:      59171.260  g-ZTF  2006.179  228.514  19.244  0.124  None  P48  ZTF-Cam  None
OBS:      59174.339  r-ZTF  5790.050  291.916  18.093  0.055  None  P48  ZTF-Cam  None
OBS:      59176.329  r-ZTF  6047.987  273.029  18.046  0.049  None  P48  ZTF-Cam  None
OBS:      59176.347  g-ZTF  2222.159  194.975  19.133  0.095  None  P48  ZTF-Cam  None
OBS:      59178.319  r-ZTF  5684.777  308.243  18.113  0.059  None  P48  ZTF-Cam  None
OBS:      59185.255  r-ZTF  5115.259  315.741  18.228  0.067  None  P48  ZTF-Cam  None
OBS:      59187.246  r-ZTF  5234.701  375.156  18.203  0.078  None  P48  ZTF-Cam  None
OBS:      59189.237  r-ZTF  4474.690  219.413  18.373  0.053  None  P48  ZTF-Cam  None
OBS:      59194.254  r-ZTF  3301.864  233.510  18.703  0.077  None  P48  ZTF-Cam  None
