# CREATED_DATE: 2020-09-16T19:08:58.317Z
# MODIFIED_DATE: 2022-11-25T14:59:05.107Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: MCG+03-02-013; (00:29:25.86, +17:28:47.32)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020tly
# RA: 7.360828979923278
# DEC: 17.485344565042865
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-09-25T00:00:00Z
# REDSHIFT: 0.058
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-09-15T07:23:55Z
# NON_DETECT_LIMIT: 20.3696
# MW_EBV: 0.071
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10IYSElep/59117/1002926571172907300_59117.376_108349069_178_target.jpeg
# POSTAGE_STAMP_REF: 10IYSElep/59117/1002926571172907300_59117.376_108349069_178_ref.jpeg
# POSTAGE_STAMP_DIFF: 10IYSElep/59117/1002926571172907300_59117.376_108349069_178_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10IYSElep/59117/1002926571172907300_59117.376_108349069_178_target.fits
# POSTAGE_STAMP_REF_FITS: 10IYSElep/59117/1002926571172907300_59117.376_108349069_178_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10IYSElep/59117/1002926571172907300_59117.376_108349069_178_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020tly
# REAL_BOGUS_SCORE: 0.999995
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 30, 33, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59108.390  r-ZTF  926.021  150.167  20.083  0.176  None  P48  ZTF-Cam  None
OBS:      59109.322  g-ZTF  1929.716  210.787  19.286  0.119  None  P48  ZTF-Cam  None
OBS:      59109.410  r-ZTF  1488.321  197.713  19.568  0.144  None  P48  ZTF-Cam  None
OBS:      59110.346  g-ZTF  2337.179  180.898  19.078  0.084  None  P48  ZTF-Cam  None
OBS:      59110.359  r-ZTF  1900.948  172.520  19.303  0.099  None  P48  ZTF-Cam  None
OBS:      59111.367  g-ZTF  2432.615  226.918  19.035  0.101  None  P48  ZTF-Cam  None
OBS:      59113.302  r-ZTF  2344.561  226.736  19.075  0.105  None  P48  ZTF-Cam  None
OBS:      59113.340  r-ZTF  2098.701  138.394  19.195  0.072  None  P48  ZTF-Cam  None
OBS:      59113.390  g-ZTF  2486.742  167.677  19.011  0.073  None  P48  ZTF-Cam  None
OBS:      59114.322  g-ZTF  2443.322  165.617  19.030  0.074  None  P48  ZTF-Cam  None
OBS:      59115.305  r-ZTF  2382.770  170.203  19.057  0.078  None  P48  ZTF-Cam  None
OBS:      59116.265  g-ZTF  2241.224  201.954  19.124  0.098  None  P48  ZTF-Cam  None
OBS:      59116.307  g-ZTF  2214.046  211.520  19.137  0.104  None  P48  ZTF-Cam  None
OBS:      59116.337  r-ZTF  2331.254  149.426  19.081  0.070  None  P48  ZTF-Cam  None
OBS:      59116.362  r-ZTF  2331.950  180.151  19.081  0.084  None  P48  ZTF-Cam  None
OBS:      59117.286  g-ZTF  2289.097  213.460  19.101  0.101  None  P48  ZTF-Cam  None
OBS:      59117.373  r-ZTF  2358.768  185.655  19.068  0.085  None  P48  ZTF-Cam  None
OBS:      59118.262  r-ZTF  2034.519  196.981  19.229  0.105  None  P48  ZTF-Cam  None
OBS:      59119.338  g-ZTF  1977.848  231.771  19.260  0.127  None  P48  ZTF-Cam  None
OBS:      59119.360  g-ZTF  2115.554  203.111  19.186  0.104  None  P48  ZTF-Cam  None
OBS:      59120.284  g-ZTF  2119.803  256.890  19.184  0.132  None  P48  ZTF-Cam  None
OBS:      59121.307  g-ZTF  2022.958  324.852  19.235  0.174  None  P48  ZTF-Cam  None
OBS:      59126.362  r-ZTF  2008.351  287.034  19.243  0.155  None  P48  ZTF-Cam  None
OBS:      59129.269  r-ZTF  1990.414  177.165  19.253  0.097  None  P48  ZTF-Cam  None
OBS:      59129.330  g-ZTF  1310.339  173.345  19.707  0.144  None  P48  ZTF-Cam  None
OBS:      59131.235  r-ZTF  1904.518  205.635  19.301  0.117  None  P48  ZTF-Cam  None
OBS:      59131.317  g-ZTF  1521.202  211.382  19.545  0.151  None  P48  ZTF-Cam  None
OBS:      59134.268  g-ZTF  1177.322  143.138  19.823  0.132  None  P48  ZTF-Cam  None
OBS:      59134.298  r-ZTF  1751.698  196.490  19.391  0.122  None  P48  ZTF-Cam  None
OBS:      59136.300  r-ZTF  1767.118  135.904  19.382  0.084  None  P48  ZTF-Cam  None
OBS:      59136.344  g-ZTF  982.697  142.791  20.019  0.158  None  P48  ZTF-Cam  None
OBS:      59138.233  g-ZTF  922.839  148.426  20.087  0.175  None  P48  ZTF-Cam  None
OBS:      59138.306  r-ZTF  1649.129  203.291  19.457  0.134  None  P48  ZTF-Cam  None
OBS:      59140.249  r-ZTF  1668.795  216.166  19.444  0.141  None  P48  ZTF-Cam  None
OBS:      59140.277  g-ZTF  973.579  127.481  20.029  0.142  None  P48  ZTF-Cam  None
OBS:      59144.214  r-ZTF  1475.767  163.165  19.577  0.120  None  P48  ZTF-Cam  None
OBS:      59144.332  g-ZTF  796.952  121.080  20.246  0.165  None  P48  ZTF-Cam  None
OBS:      59155.264  r-ZTF  1561.060  201.907  19.516  0.140  None  P48  ZTF-Cam  None
OBS:      59157.333  r-ZTF  1381.821  240.169  19.649  0.189  None  P48  ZTF-Cam  None
OBS:      59167.227  r-ZTF  1086.082  187.764  19.910  0.188  None  P48  ZTF-Cam  None
OBS:      59169.191  r-ZTF  1022.276  126.855  19.976  0.135  None  P48  ZTF-Cam  None
OBS:      59173.218  r-ZTF  1066.317  138.552  19.930  0.141  None  P48  ZTF-Cam  None
OBS:      59107.356  g-ZTF  556.622  145.022  20.636  0.283  None  P48  ZTF-Cam  None
OBS:      59108.390  r-ZTF  926.062  150.174  20.083  0.176  None  P48  ZTF-Cam  None
OBS:      59109.322  g-ZTF  1923.092  212.548  19.290  0.120  None  P48  ZTF-Cam  None
OBS:      59021.592  g  -45.500  47.576  nan  -1.135  None  Pan-STARRS1  GPC1  None
OBS:      59021.595  i  -77.423  85.217  nan  -1.195  None  Pan-STARRS1  GPC1  None
OBS:      59029.608  g  -15.063  37.252  nan  -2.685  None  Pan-STARRS1  GPC1  None
OBS:      59029.611  z  -197.059  242.353  nan  -1.335  None  Pan-STARRS1  GPC1  None
OBS:      59032.551  i  -19.338  138.613  nan  -7.782  None  Pan-STARRS1  GPC1  None
OBS:      59032.554  r  -17.291  183.208  nan  -11.504  None  Pan-STARRS1  GPC1  None
OBS:      59036.588  r  -18.982  66.906  nan  -3.827  None  Pan-STARRS1  GPC1  None
OBS:      59036.591  z  76.667  106.573  22.788  1.390  None  Pan-STARRS1  GPC1  None
OBS:      59046.536  g  -73.768  374.712  nan  -5.515  None  Pan-STARRS1  GPC1  None
OBS:      59046.539  r  -41.432  298.263  nan  -7.816  None  Pan-STARRS1  GPC1  None
OBS:      59051.557  g  36.776  92.464  23.586  2.514  None  Pan-STARRS1  GPC1  None
OBS:      59051.560  r  65.790  77.093  22.955  1.172  None  Pan-STARRS1  GPC1  None
OBS:      59055.541  g  3.816  103.869  26.046  27.221  None  Pan-STARRS1  GPC1  None
OBS:      59055.543  r  -47.280  62.708  nan  -1.440  None  Pan-STARRS1  GPC1  None
OBS:      59060.500  r  130.787  77.357  22.209  0.591  None  Pan-STARRS1  GPC1  None
