# CREATED_DATE: 2021-01-17T19:37:40.227Z
# MODIFIED_DATE: 2022-01-03T00:15:48.791Z
# STATUS: Ignore
# OBS_GROUP: ALeRCE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J043118.759-102346.340; (04:31:18.75, -10:23:46.30)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021arg
# RA: 67.8282625
# DEC: -10.3963861111111
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-01-17T04:29:29Z
# REDSHIFT: 0.031
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-01-15T04:34:57Z
# NON_DETECT_LIMIT: 19.8419
# MW_EBV: 0.048
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11AYSEavb/59245/1043118770102346900_59245.259_112549592_46_target.jpeg
# POSTAGE_STAMP_REF: 11AYSEavb/59245/1043118770102346900_59245.259_112549592_46_ref.jpeg
# POSTAGE_STAMP_DIFF: 11AYSEavb/59245/1043118770102346900_59245.259_112549592_46_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11AYSEavb/59245/1043118770102346900_59245.259_112549592_46_target.fits
# POSTAGE_STAMP_REF_FITS: 11AYSEavb/59245/1043118770102346900_59245.259_112549592_46_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11AYSEavb/59245/1043118770102346900_59245.259_112549592_46_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.001
# ALT_STATUS: None
# SLUG: 2021arg
# REAL_BOGUS_SCORE: 0.0452545
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 46, 49]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59231.187  r-ZTF  1384.416  227.981  19.647  0.179  None  P48  ZTF-Cam  None
OBS:      59231.213  g-ZTF  1907.378  290.132  19.299  0.165  None  P48  ZTF-Cam  None
OBS:      59233.192  g-ZTF  2288.683  198.812  19.101  0.094  None  P48  ZTF-Cam  None
OBS:      59233.212  r-ZTF  1886.819  193.859  19.311  0.112  None  P48  ZTF-Cam  None
OBS:      59251.145  g-ZTF  1981.942  179.568  19.257  0.098  None  P48  ZTF-Cam  None
OBS:      59251.190  r-ZTF  2709.612  201.184  18.918  0.081  None  P48  ZTF-Cam  None
OBS:      59253.166  r-ZTF  2520.577  216.496  18.996  0.093  None  P48  ZTF-Cam  None
OBS:      59253.169  g-ZTF  2087.086  212.383  19.201  0.110  None  P48  ZTF-Cam  None
OBS:      59255.149  g-ZTF  1859.938  185.857  19.326  0.108  None  P48  ZTF-Cam  None
OBS:      59255.259  r-ZTF  2244.644  298.694  19.122  0.144  None  P48  ZTF-Cam  None
OBS:      59257.128  r-ZTF  2677.916  217.305  18.931  0.088  None  P48  ZTF-Cam  None
OBS:      59257.171  g-ZTF  1733.046  180.148  19.403  0.113  None  P48  ZTF-Cam  None
OBS:      59260.131  g-ZTF  1410.769  254.014  19.626  0.195  None  P48  ZTF-Cam  None
OBS:      59260.214  r-ZTF  2471.829  467.710  19.017  0.205  None  P48  ZTF-Cam  None
OBS:      59263.171  r-ZTF  2845.271  333.654  18.865  0.127  None  P48  ZTF-Cam  None
OBS:      59265.133  r-ZTF  2485.650  187.775  19.011  0.082  None  P48  ZTF-Cam  None
OBS:      59265.150  g-ZTF  1645.934  210.229  19.459  0.139  None  P48  ZTF-Cam  None
OBS:      59267.149  r-ZTF  2838.038  341.037  18.867  0.130  None  P48  ZTF-Cam  None
OBS:      59269.153  r-ZTF  2293.923  279.566  19.099  0.132  None  P48  ZTF-Cam  None
OBS:      59271.151  r-ZTF  2473.892  258.824  19.017  0.114  None  P48  ZTF-Cam  None
OBS:      59275.138  g-ZTF  1414.194  242.997  19.624  0.187  None  P48  ZTF-Cam  None
