# CREATED_DATE: 2021-04-30T20:47:56.655Z
# MODIFIED_DATE: 2022-07-26T04:28:44.954Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: IC3340; (12:26:32.69, +16:50:41.09)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021krc
# RA: 186.63687037250543
# DEC: 16.84733172987962
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-05-03T00:00:00Z
# REDSHIFT: 0.0445
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-04-21T07:45:33Z
# NON_DETECT_LIMIT: 20.1205
# MW_EBV: 0.024
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11EYSEctf/59337/1122632841165050500_59337.266_114782508_246_target.jpeg
# POSTAGE_STAMP_REF: 11EYSEctf/59337/1122632841165050500_59337.266_114782508_246_ref.jpeg
# POSTAGE_STAMP_DIFF: 11EYSEctf/59337/1122632841165050500_59337.266_114782508_246_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11EYSEctf/59337/1122632841165050500_59337.266_114782508_246_target.fits
# POSTAGE_STAMP_REF_FITS: 11EYSEctf/59337/1122632841165050500_59337.266_114782508_246_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11EYSEctf/59337/1122632841165050500_59337.266_114782508_246_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021krc
# REAL_BOGUS_SCORE: 0.90189
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59278.318  g-ZTF  -288.185  137.307  nan  -0.517  None  P48  ZTF-Cam  None
OBS:      59278.424  r-ZTF  -102.757  187.276  nan  -1.979  None  P48  ZTF-Cam  None
OBS:      59281.292  r-ZTF  -104.762  154.171  nan  -1.598  None  P48  ZTF-Cam  None
OBS:      59291.298  g-ZTF  -14.520  122.261  nan  -9.142  None  P48  ZTF-Cam  None
OBS:      59291.352  r-ZTF  201.811  165.307  21.738  0.890  None  P48  ZTF-Cam  None
OBS:      59293.255  r-ZTF  109.630  164.838  22.400  1.633  None  P48  ZTF-Cam  None
OBS:      59296.358  r-ZTF  -109.484  230.700  nan  -2.288  None  P48  ZTF-Cam  None
OBS:      59298.333  g-ZTF  -9.562  342.634  nan  -38.905  None  P48  ZTF-Cam  None
OBS:      59298.380  r-ZTF  -33.065  586.567  nan  -19.261  None  P48  ZTF-Cam  None
OBS:      59302.257  r-ZTF  -78.329  589.261  nan  -8.168  None  P48  ZTF-Cam  None
OBS:      59304.259  g-ZTF  -101.922  318.706  nan  -3.395  None  P48  ZTF-Cam  None
OBS:      59304.319  r-ZTF  15.980  298.008  24.491  20.252  None  P48  ZTF-Cam  None
OBS:      59307.269  r-ZTF  58.357  149.130  23.085  2.775  None  P48  ZTF-Cam  None
OBS:      59307.298  g-ZTF  -126.186  129.185  nan  -1.112  None  P48  ZTF-Cam  None
OBS:      59309.269  r-ZTF  97.181  147.815  22.531  1.652  None  P48  ZTF-Cam  None
OBS:      59309.308  g-ZTF  94.686  133.450  22.559  1.531  None  P48  ZTF-Cam  None
OBS:      59311.248  g-ZTF  146.542  137.706  22.085  1.021  None  P48  ZTF-Cam  None
OBS:      59311.311  r-ZTF  15.479  140.810  24.526  9.879  None  P48  ZTF-Cam  None
OBS:      59313.258  g-ZTF  -127.894  154.225  nan  -1.309  None  P48  ZTF-Cam  None
OBS:      59313.297  r-ZTF  342.697  253.762  21.163  0.804  None  P48  ZTF-Cam  None
OBS:      59315.235  r-ZTF  114.049  153.501  22.357  1.462  None  P48  ZTF-Cam  None
