# CREATED_DATE: 2021-05-24T21:30:45.646Z
# MODIFIED_DATE: 2022-10-15T12:06:42.003Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1237668367463417143; (16:16:50.38, +12:38:34.84)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021nip
# RA: 244.21003977226673
# DEC: 12.642935685106147
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-05-31T00:00:00Z
# REDSHIFT: 0.033
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-05-24T07:34:11Z
# NON_DETECT_LIMIT: 19.5522
# MW_EBV: 0.045
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11EYSEdpe/59365/1161650401123834600_59365.347_115776030_66_target.jpeg
# POSTAGE_STAMP_REF: 11EYSEdpe/59365/1161650401123834600_59365.347_115776030_66_ref.jpeg
# POSTAGE_STAMP_DIFF: 11EYSEdpe/59365/1161650401123834600_59365.347_115776030_66_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11EYSEdpe/59365/1161650401123834600_59365.347_115776030_66_target.fits
# POSTAGE_STAMP_REF_FITS: 11EYSEdpe/59365/1161650401123834600_59365.347_115776030_66_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11EYSEdpe/59365/1161650401123834600_59365.347_115776030_66_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.0
# ALT_STATUS: CONFIRMED
# SLUG: 2021nip
# REAL_BOGUS_SCORE: 0.999985
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [29, 30, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59358.400  g-ZTF  1762.022  310.290  19.385  0.191  None  P48  ZTF-Cam  None
OBS:      59361.329  g-ZTF  3108.914  338.688  18.768  0.118  None  P48  ZTF-Cam  None
OBS:      59361.375  r-ZTF  2548.830  391.746  18.984  0.167  None  P48  ZTF-Cam  None
OBS:      59363.277  g-ZTF  3361.379  298.955  18.684  0.097  None  P48  ZTF-Cam  None
OBS:      59363.358  r-ZTF  3236.891  229.306  18.725  0.077  None  P48  ZTF-Cam  None
OBS:      59365.333  g-ZTF  3433.523  226.789  18.661  0.072  None  P48  ZTF-Cam  None
OBS:      59365.339  r-ZTF  3152.383  241.740  18.753  0.083  None  P48  ZTF-Cam  None
OBS:      59367.294  g-ZTF  3291.110  239.548  18.707  0.079  None  P48  ZTF-Cam  None
OBS:      59367.339  r-ZTF  3424.523  260.683  18.663  0.083  None  P48  ZTF-Cam  None
OBS:      59369.316  r-ZTF  3353.994  224.766  18.686  0.073  None  P48  ZTF-Cam  None
OBS:      59369.371  g-ZTF  3312.414  275.366  18.700  0.090  None  P48  ZTF-Cam  None
OBS:      59371.319  r-ZTF  3262.391  262.293  18.716  0.087  None  P48  ZTF-Cam  None
OBS:      59371.368  g-ZTF  3052.651  203.634  18.788  0.072  None  P48  ZTF-Cam  None
OBS:      59375.290  g-ZTF  2913.858  234.796  18.839  0.087  None  P48  ZTF-Cam  None
OBS:      59375.381  r-ZTF  3284.958  317.719  18.709  0.105  None  P48  ZTF-Cam  None
OBS:      59377.269  r-ZTF  3340.833  224.616  18.690  0.073  None  P48  ZTF-Cam  None
OBS:      59377.333  g-ZTF  2734.295  268.138  18.908  0.106  None  P48  ZTF-Cam  None
OBS:      59379.296  g-ZTF  2520.789  221.475  18.996  0.095  None  P48  ZTF-Cam  None
OBS:      59379.359  r-ZTF  3222.683  213.832  18.729  0.072  None  P48  ZTF-Cam  None
OBS:      59381.296  g-ZTF  2562.500  335.133  18.978  0.142  None  P48  ZTF-Cam  None
OBS:      59381.360  r-ZTF  3227.714  456.177  18.728  0.153  None  P48  ZTF-Cam  None
