# CREATED_DATE: 2021-08-18T14:15:22.614Z
# MODIFIED_DATE: 2022-10-09T06:28:07.868Z
# STATUS: FollowupFinished
# OBS_GROUP: YSE
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ160330.38+243720.1; (16:03:30.40, +24:37:20.10)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2021whv
# RA: 240.87736921372945
# DEC: 24.6205826446004
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2021-08-18T00:00:00Z
# REDSHIFT: 0.03
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-08-17T07:40:48Z
# NON_DETECT_LIMIT: 19.06
# MW_EBV: 0.063
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 11HYSEgdt/59444/1160330571243713800_59444.263_118495448_273_target.jpeg
# POSTAGE_STAMP_REF: 11HYSEgdt/59444/1160330571243713800_59444.263_118495448_273_ref.jpeg
# POSTAGE_STAMP_DIFF: 11HYSEgdt/59444/1160330571243713800_59444.263_118495448_273_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 11HYSEgdt/59444/1160330571243713800_59444.263_118495448_273_target.fits
# POSTAGE_STAMP_REF_FITS: 11HYSEgdt/59444/1160330571243713800_59444.263_118495448_273_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 11HYSEgdt/59444/1160330571243713800_59444.263_118495448_273_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2021whv
# REAL_BOGUS_SCORE: 0.994096
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59442.254  z  831.764  199.182  20.200  0.260  None  Pan-STARRS1  GPC1  None
OBS:      59343.394  g  80.347  72.937  22.738  0.908  None  Pan-STARRS1  GPC1  None
OBS:      59343.397  i  73.077  113.475  22.840  1.553  None  Pan-STARRS1  GPC1  None
OBS:      59357.370  r  69.682  242.766  22.892  3.484  None  Pan-STARRS1  GPC1  None
OBS:      59357.373  i  -28.293  248.513  nan  -9.537  None  Pan-STARRS1  GPC1  None
OBS:      59358.373  r  62.077  162.075  23.018  2.611  None  Pan-STARRS1  GPC1  None
OBS:      59358.376  z  74.640  129.620  22.818  1.737  None  Pan-STARRS1  GPC1  None
OBS:      59360.384  r  -137.860  366.897  nan  -2.890  None  Pan-STARRS1  GPC1  None
OBS:      59360.387  i  -113.444  253.966  nan  -2.431  None  Pan-STARRS1  GPC1  None
OBS:      59363.486  z  207.198  194.598  21.709  0.939  None  Pan-STARRS1  GPC1  None
OBS:      59363.489  r  35.562  200.956  23.622  5.651  None  Pan-STARRS1  GPC1  None
OBS:      59365.358  i  3.008  63.870  26.305  21.236  None  Pan-STARRS1  GPC1  None
OBS:      59365.361  r  -47.111  88.250  nan  -2.034  None  Pan-STARRS1  GPC1  None
OBS:      59368.368  z  42.496  474.509  23.429  11.166  None  Pan-STARRS1  GPC1  None
OBS:      59368.371  g  98.112  138.840  22.521  1.415  None  Pan-STARRS1  GPC1  None
OBS:      59372.462  g  53.391  74.546  23.181  1.396  None  Pan-STARRS1  GPC1  None
OBS:      59372.465  i  57.203  91.776  23.106  1.604  None  Pan-STARRS1  GPC1  None
OBS:      59375.427  g  -113.890  189.478  nan  -1.806  None  Pan-STARRS1  GPC1  None
OBS:      59379.313  g  53.971  61.530  23.170  1.140  None  Pan-STARRS1  GPC1  None
OBS:      59379.316  i  39.707  57.107  23.503  1.438  None  Pan-STARRS1  GPC1  None
OBS:      59382.288  g  -34.785  55.931  nan  -1.746  None  Pan-STARRS1  GPC1  None
OBS:      59382.291  i  -52.512  66.531  nan  -1.376  None  Pan-STARRS1  GPC1  None
OBS:      59383.284  z  0.312  155.851  28.766  500.253  None  Pan-STARRS1  GPC1  None
OBS:      59383.287  g  -30.358  122.102  nan  -4.367  None  Pan-STARRS1  GPC1  None
OBS:      59384.273  g  -87.000  191.329  nan  -2.388  None  Pan-STARRS1  GPC1  None
OBS:      59384.275  i  -72.602  182.032  nan  -2.722  None  Pan-STARRS1  GPC1  None
