"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-38.752 8.123 0.040 0.730 0.006 42.218 39.789
-37.747 7.898 0.035 0.761 0.006 42.206 39.717
-36.743 7.832 0.033 0.770 0.006 42.202 39.686
-35.738 7.479 0.029 0.837 0.006 42.194 39.610
-34.734 7.374 0.027 0.860 0.006 42.193 39.581
-33.729 6.941 0.023 0.957 0.006 42.180 39.529
-32.725 6.795 0.021 1.002 0.006 42.183 39.522
-31.720 6.661 0.019 1.036 0.006 42.178 39.511
-30.716 6.533 0.018 1.070 0.006 42.172 39.505
-29.711 6.411 0.017 1.105 0.006 42.167 39.504
-28.707 6.292 0.016 1.141 0.006 42.163 39.506
-27.702 6.178 0.015 1.178 0.007 42.159 39.512
-26.698 6.068 0.015 1.216 0.007 42.155 39.520
-25.693 5.976 0.014 1.249 0.007 42.152 39.527
-24.689 5.955 0.014 1.252 0.007 42.147 39.525
-23.684 5.828 0.014 1.305 0.007 42.146 39.543
-22.680 5.776 0.013 1.327 0.007 42.145 39.552
-21.675 5.730 0.013 1.340 0.007 42.140 39.556
-20.671 5.654 0.013 1.371 0.008 42.136 39.568
-19.666 5.532 0.013 1.437 0.008 42.139 39.593
-18.662 5.429 0.012 1.497 0.008 42.142 39.616
-17.657 5.388 0.012 1.519 0.009 42.142 39.627
-16.652 5.345 0.012 1.544 0.009 42.142 39.639
-15.648 5.302 0.012 1.570 0.009 42.142 39.650
-14.643 5.260 0.012 1.596 0.009 42.142 39.662
-13.639 5.218 0.012 1.622 0.010 42.143 39.674
-12.634 5.178 0.012 1.648 0.010 42.143 39.686
-11.630 5.140 0.012 1.674 0.010 42.144 39.697
-10.625 5.111 0.012 1.696 0.010 42.146 39.708
-9.621 5.084 0.012 1.717 0.011 42.147 39.717
-8.616 5.057 0.012 1.739 0.011 42.149 39.727
-7.612 5.030 0.012 1.760 0.011 42.150 39.737
-6.607 5.004 0.012 1.782 0.011 42.152 39.746
-5.603 4.978 0.012 1.804 0.012 42.153 39.755
-4.598 4.952 0.012 1.826 0.012 42.155 39.763
-3.594 4.927 0.012 1.848 0.012 42.156 39.772
-2.589 4.901 0.012 1.870 0.012 42.158 39.780
-1.585 4.877 0.012 1.893 0.013 42.160 39.788
-0.580 4.852 0.012 1.916 0.013 42.161 39.796
0.424 4.829 0.012 1.937 0.013 42.163 39.803
1.429 4.810 0.012 1.952 0.013 42.162 39.808
2.433 4.791 0.012 1.967 0.013 42.162 39.813
3.438 4.773 0.012 1.983 0.014 42.162 39.818
4.442 4.754 0.012 1.998 0.014 42.162 39.823
5.447 4.736 0.012 2.014 0.014 42.162 39.828
6.451 4.717 0.012 2.029 0.014 42.162 39.834
7.456 4.699 0.012 2.045 0.014 42.162 39.839
8.460 4.673 0.012 2.070 0.015 42.163 39.846
9.465 4.640 0.012 2.104 0.015 42.165 39.856
10.469 4.606 0.011 2.139 0.015 42.167 39.865
11.474 4.579 0.011 2.167 0.016 42.168 39.873
12.478 4.557 0.011 2.189 0.016 42.168 39.881
13.483 4.536 0.011 2.210 0.016 42.169 39.888
14.487 4.515 0.011 2.232 0.017 42.169 39.896
15.492 4.494 0.011 2.255 0.017 42.170 39.904
16.496 4.473 0.012 2.278 0.017 42.170 39.912
17.501 4.440 0.011 2.318 0.018 42.173 39.923
18.505 4.402 0.011 2.371 0.018 42.177 39.936
19.510 4.363 0.011 2.425 0.019 42.181 39.949
20.514 4.325 0.011 2.480 0.019 42.186 39.962
21.519 4.288 0.011 2.536 0.020 42.190 39.975
22.524 4.251 0.011 2.594 0.021 42.195 39.988
23.528 4.227 0.011 2.628 0.021 42.196 39.997
24.533 4.218 0.011 2.637 0.021 42.195 40.001
25.537 4.212 0.011 2.639 0.022 42.194 40.004
26.542 4.207 0.011 2.640 0.022 42.192 40.008
27.546 4.202 0.011 2.642 0.022 42.190 40.010
28.551 4.196 0.011 2.643 0.022 42.189 40.013
