"Time (MJD)" LasCumbres/LasCumbres.Bessel_B LasCumbres/LasCumbres.Bessel_B_err LasCumbres/LasCumbres.Bessel_V LasCumbres/LasCumbres.Bessel_V_err LasCumbres/LasCumbres.SDSS_gp LasCumbres/LasCumbres.SDSS_gp_err LasCumbres/LasCumbres.SDSS_ip LasCumbres/LasCumbres.SDSS_ip_err LasCumbres/LasCumbres.SDSS_rp LasCumbres/LasCumbres.SDSS_rp_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-40.000 -16.484 -0.023 -16.743 -0.023 -16.694 -0.023 -16.754 -0.023 -16.694 -0.025 8.222 0.484 0.723 0.073 42.231 40.907
-39.900 -16.481 -0.022 -16.740 -0.022 -16.693 -0.022 -16.754 -0.021 -16.695 -0.023 8.203 0.480 0.726 0.073 42.230 40.901
-39.800 -16.478 -0.021 -16.738 -0.021 -16.693 -0.021 -16.754 -0.020 -16.696 -0.022 8.183 0.475 0.728 0.073 42.229 40.895
-39.700 -16.476 -0.019 -16.736 -0.020 -16.692 -0.019 -16.754 -0.019 -16.697 -0.021 8.163 0.471 0.731 0.073 42.228 40.889
-39.600 -16.473 -0.018 -16.733 -0.019 -16.692 -0.018 -16.754 -0.018 -16.697 -0.019 8.143 0.466 0.734 0.073 42.227 40.883
-39.500 -16.470 -0.017 -16.731 -0.018 -16.692 -0.017 -16.755 -0.017 -16.698 -0.018 8.123 0.462 0.736 0.073 42.226 40.876
-39.400 -16.468 -0.016 -16.728 -0.017 -16.691 -0.016 -16.755 -0.016 -16.699 -0.017 8.104 0.457 0.739 0.073 42.225 40.870
-39.300 -16.465 -0.015 -16.725 -0.016 -16.691 -0.015 -16.755 -0.015 -16.700 -0.016 8.084 0.453 0.742 0.073 42.224 40.863
-39.200 -16.462 -0.014 -16.723 -0.015 -16.690 -0.014 -16.755 -0.014 -16.700 -0.015 8.064 0.449 0.745 0.073 42.223 40.857
-39.100 -16.459 -0.014 -16.720 -0.014 -16.690 -0.013 -16.755 -0.013 -16.701 -0.014 8.044 0.444 0.747 0.073 42.222 40.850
-39.000 -16.457 -0.013 -16.717 -0.013 -16.690 -0.012 -16.755 -0.013 -16.702 -0.014 8.025 0.440 0.750 0.072 42.221 40.843
-38.900 -16.454 -0.012 -16.715 -0.013 -16.689 -0.012 -16.755 -0.012 -16.703 -0.013 8.006 0.436 0.753 0.072 42.220 40.836
-38.800 -16.451 -0.012 -16.712 -0.012 -16.689 -0.011 -16.756 -0.012 -16.704 -0.013 7.987 0.432 0.756 0.072 42.219 40.830
-38.700 -16.448 -0.011 -16.709 -0.012 -16.689 -0.011 -16.756 -0.011 -16.704 -0.012 7.968 0.428 0.758 0.072 42.218 40.823
-38.600 -16.446 -0.011 -16.706 -0.011 -16.688 -0.010 -16.756 -0.011 -16.705 -0.012 7.950 0.425 0.761 0.072 42.217 40.817
-38.500 -16.443 -0.010 -16.704 -0.011 -16.688 -0.010 -16.756 -0.010 -16.706 -0.011 7.932 0.421 0.764 0.072 42.216 40.811
-38.400 -16.440 -0.010 -16.701 -0.011 -16.688 -0.009 -16.757 -0.010 -16.707 -0.011 7.914 0.418 0.767 0.072 42.216 40.805
-38.300 -16.438 -0.010 -16.698 -0.010 -16.687 -0.009 -16.757 -0.010 -16.708 -0.011 7.896 0.415 0.769 0.072 42.215 40.799
-38.200 -16.435 -0.010 -16.695 -0.010 -16.687 -0.009 -16.757 -0.010 -16.709 -0.010 7.878 0.411 0.772 0.072 42.214 40.793
-38.100 -16.432 -0.009 -16.692 -0.010 -16.687 -0.009 -16.758 -0.010 -16.710 -0.010 7.861 0.408 0.775 0.072 42.213 40.788
-38.000 -16.430 -0.009 -16.689 -0.010 -16.686 -0.009 -16.758 -0.009 -16.711 -0.010 7.843 0.405 0.778 0.072 42.213 40.783
-37.900 -16.427 -0.009 -16.687 -0.009 -16.686 -0.009 -16.759 -0.009 -16.712 -0.010 7.826 0.402 0.781 0.072 42.212 40.778
-37.800 -16.425 -0.009 -16.684 -0.009 -16.686 -0.009 -16.759 -0.009 -16.713 -0.010 7.809 0.398 0.783 0.072 42.211 40.773
-37.700 -16.422 -0.009 -16.681 -0.009 -16.685 -0.009 -16.760 -0.009 -16.714 -0.010 7.792 0.395 0.786 0.072 42.211 40.769
-37.600 -16.420 -0.009 -16.678 -0.009 -16.685 -0.009 -16.761 -0.009 -16.716 -0.010 7.774 0.391 0.789 0.072 42.210 40.764
-37.500 -16.417 -0.009 -16.675 -0.009 -16.685 -0.009 -16.761 -0.009 -16.717 -0.010 7.756 0.387 0.792 0.072 42.209 40.758
-37.400 -16.415 -0.009 -16.672 -0.009 -16.684 -0.009 -16.762 -0.009 -16.718 -0.010 7.738 0.383 0.796 0.072 42.209 40.753
-37.300 -16.412 -0.009 -16.669 -0.009 -16.684 -0.009 -16.763 -0.009 -16.720 -0.010 7.720 0.378 0.799 0.072 42.208 40.747
-37.200 -16.410 -0.009 -16.666 -0.009 -16.684 -0.009 -16.764 -0.009 -16.721 -0.010 7.701 0.373 0.802 0.071 42.207 40.741
-37.100 -16.407 -0.009 -16.663 -0.009 -16.684 -0.009 -16.765 -0.009 -16.723 -0.010 7.681 0.368 0.806 0.071 42.207 40.734
-37.000 -16.405 -0.009 -16.659 -0.009 -16.684 -0.009 -16.766 -0.009 -16.725 -0.010 7.661 0.362 0.809 0.071 42.206 40.727
-36.900 -16.402 -0.009 -16.656 -0.009 -16.685 -0.009 -16.767 -0.009 -16.726 -0.010 7.641 0.356 0.813 0.070 42.206 40.720
-36.800 -16.400 -0.009 -16.652 -0.009 -16.685 -0.009 -16.768 -0.009 -16.728 -0.010 7.620 0.350 0.817 0.069 42.205 40.712
-36.700 -16.397 -0.009 -16.649 -0.009 -16.685 -0.010 -16.769 -0.009 -16.730 -0.010 7.599 0.343 0.821 0.069 42.204 40.703
-36.600 -16.395 -0.009 -16.645 -0.009 -16.686 -0.010 -16.770 -0.009 -16.732 -0.010 7.577 0.336 0.825 0.068 42.204 40.694
-36.500 -16.392 -0.009 -16.641 -0.009 -16.687 -0.010 -16.771 -0.009 -16.734 -0.010 7.554 0.328 0.829 0.067 42.203 40.684
-36.400 -16.390 -0.009 -16.637 -0.009 -16.687 -0.010 -16.772 -0.009 -16.736 -0.010 7.532 0.320 0.834 0.066 42.202 40.673
-36.300 -16.388 -0.009 -16.633 -0.009 -16.688 -0.010 -16.774 -0.009 -16.738 -0.010 7.508 0.312 0.838 0.065 42.202 40.663
-36.200 -16.385 -0.010 -16.628 -0.010 -16.689 -0.010 -16.775 -0.009 -16.740 -0.010 7.485 0.304 0.843 0.064 42.201 40.651
-36.100 -16.383 -0.010 -16.624 -0.010 -16.690 -0.010 -16.776 -0.009 -16.742 -0.010 7.461 0.296 0.848 0.063 42.200 40.639
-36.000 -16.380 -0.010 -16.619 -0.010 -16.691 -0.010 -16.777 -0.010 -16.744 -0.010 7.437 0.288 0.852 0.062 42.200 40.627
-35.900 -16.378 -0.010 -16.614 -0.010 -16.692 -0.011 -16.779 -0.010 -16.746 -0.010 7.413 0.279 0.857 0.061 42.199 40.614
-35.800 -16.375 -0.010 -16.609 -0.010 -16.694 -0.011 -16.780 -0.010 -16.748 -0.010 7.388 0.271 0.862 0.060 42.198 40.601
-35.700 -16.373 -0.010 -16.604 -0.011 -16.695 -0.011 -16.781 -0.010 -16.750 -0.011 7.364 0.263 0.868 0.059 42.198 40.589
-35.600 -16.370 -0.010 -16.599 -0.011 -16.696 -0.011 -16.783 -0.010 -16.752 -0.011 7.339 0.255 0.873 0.058 42.197 40.576
-35.500 -16.368 -0.010 -16.593 -0.011 -16.698 -0.011 -16.784 -0.010 -16.754 -0.011 7.315 0.247 0.878 0.057 42.197 40.563
-35.400 -16.365 -0.010 -16.588 -0.011 -16.699 -0.011 -16.786 -0.010 -16.756 -0.011 7.290 0.240 0.883 0.056 42.196 40.551
-35.300 -16.363 -0.011 -16.582 -0.011 -16.701 -0.011 -16.787 -0.010 -16.758 -0.011 7.265 0.234 0.889 0.055 42.195 40.540
-35.200 -16.360 -0.011 -16.577 -0.012 -16.702 -0.011 -16.789 -0.010 -16.760 -0.011 7.241 0.228 0.894 0.054 42.195 40.529
-35.100 -16.357 -0.011 -16.571 -0.012 -16.704 -0.012 -16.790 -0.011 -16.762 -0.011 7.216 0.223 0.900 0.054 42.194 40.520
-35.000 -16.355 -0.011 -16.566 -0.012 -16.705 -0.012 -16.792 -0.011 -16.764 -0.012 7.192 0.218 0.906 0.053 42.194 40.511
-34.900 -16.352 -0.011 -16.560 -0.012 -16.707 -0.012 -16.794 -0.011 -16.766 -0.012 7.167 0.214 0.911 0.053 42.193 40.504
-34.800 -16.349 -0.011 -16.554 -0.013 -16.708 -0.012 -16.796 -0.011 -16.768 -0.012 7.143 0.211 0.917 0.053 42.193 40.498
-34.700 -16.346 -0.012 -16.548 -0.013 -16.710 -0.012 -16.797 -0.011 -16.770 -0.012 7.119 0.208 0.923 0.053 42.193 40.494
-34.600 -16.343 -0.012 -16.543 -0.013 -16.711 -0.012 -16.799 -0.011 -16.772 -0.012 7.095 0.206 0.929 0.053 42.192 40.491
-34.500 -16.340 -0.012 -16.537 -0.013 -16.713 -0.012 -16.801 -0.011 -16.774 -0.012 7.072 0.205 0.934 0.053 42.192 40.490
-34.400 -16.337 -0.012 -16.531 -0.014 -16.714 -0.012 -16.803 -0.011 -16.776 -0.012 7.048 0.204 0.940 0.054 42.191 40.490
-34.300 -16.334 -0.012 -16.526 -0.014 -16.715 -0.012 -16.805 -0.011 -16.778 -0.013 7.025 0.204 0.946 0.054 42.191 40.491
-34.200 -16.331 -0.012 -16.520 -0.014 -16.717 -0.013 -16.807 -0.012 -16.780 -0.013 7.003 0.205 0.952 0.055 42.191 40.494
-34.100 -16.328 -0.013 -16.514 -0.014 -16.718 -0.013 -16.808 -0.012 -16.781 -0.013 6.981 0.206 0.957 0.056 42.190 40.498
-34.000 -16.325 -0.013 -16.509 -0.015 -16.719 -0.013 -16.810 -0.012 -16.783 -0.013 6.959 0.207 0.963 0.057 42.190 40.502
-33.900 -16.322 -0.013 -16.503 -0.015 -16.720 -0.013 -16.812 -0.012 -16.785 -0.013 6.937 0.209 0.968 0.058 42.190 40.508
-33.800 -16.318 -0.013 -16.498 -0.015 -16.722 -0.013 -16.814 -0.012 -16.787 -0.013 6.916 0.211 0.974 0.059 42.189 40.514
-33.700 -16.315 -0.014 -16.493 -0.015 -16.723 -0.013 -16.816 -0.012 -16.788 -0.014 6.896 0.213 0.980 0.060 42.189 40.521
-33.600 -16.312 -0.014 -16.488 -0.016 -16.724 -0.014 -16.817 -0.012 -16.790 -0.014 6.875 0.216 0.985 0.062 42.189 40.528
-33.500 -16.308 -0.014 -16.482 -0.016 -16.725 -0.014 -16.819 -0.013 -16.791 -0.014 6.855 0.219 0.990 0.063 42.189 40.535
-33.400 -16.304 -0.015 -16.478 -0.016 -16.725 -0.014 -16.821 -0.013 -16.793 -0.014 6.836 0.221 0.996 0.065 42.188 40.543
-33.300 -16.301 -0.015 -16.473 -0.017 -16.726 -0.015 -16.822 -0.013 -16.794 -0.015 6.816 0.224 1.001 0.066 42.188 40.550
-33.200 -16.297 -0.015 -16.468 -0.017 -16.727 -0.015 -16.824 -0.014 -16.796 -0.015 6.797 0.227 1.006 0.068 42.187 40.558
-33.100 -16.294 -0.016 -16.463 -0.017 -16.728 -0.015 -16.825 -0.014 -16.797 -0.015 6.778 0.229 1.012 0.069 42.187 40.566
-33.000 -16.290 -0.016 -16.459 -0.018 -16.728 -0.016 -16.826 -0.014 -16.799 -0.016 6.759 0.232 1.017 0.071 42.187 40.573
-32.900 -16.286 -0.017 -16.455 -0.018 -16.729 -0.016 -16.828 -0.015 -16.800 -0.016 6.740 0.234 1.022 0.072 42.186 40.580
-32.800 -16.282 -0.017 -16.450 -0.019 -16.729 -0.017 -16.829 -0.015 -16.801 -0.017 6.722 0.237 1.027 0.074 42.186 40.588
-32.700 -16.278 -0.018 -16.446 -0.019 -16.730 -0.017 -16.830 -0.016 -16.802 -0.017 6.703 0.239 1.032 0.075 42.186 40.595
-32.600 -16.274 -0.019 -16.442 -0.020 -16.730 -0.018 -16.831 -0.017 -16.803 -0.018 6.685 0.242 1.037 0.077 42.185 40.602
-32.500 -16.270 -0.019 -16.439 -0.020 -16.730 -0.019 -16.832 -0.017 -16.804 -0.018 6.668 0.244 1.042 0.078 42.185 40.609
-32.400 -16.266 -0.020 -16.435 -0.021 -16.730 -0.019 -16.833 -0.018 -16.805 -0.019 6.650 0.246 1.047 0.080 42.184 40.615
-32.300 -16.262 -0.020 -16.431 -0.022 -16.730 -0.020 -16.833 -0.019 -16.806 -0.020 6.633 0.248 1.052 0.081 42.184 40.622
-32.200 -16.257 -0.021 -16.428 -0.022 -16.730 -0.020 -16.834 -0.019 -16.807 -0.020 6.616 0.250 1.057 0.083 42.184 40.628
-32.100 -16.253 -0.022 -16.425 -0.023 -16.730 -0.021 -16.835 -0.020 -16.808 -0.021 6.599 0.252 1.062 0.084 42.183 40.635
