"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-4.128 19.956 1.880 0.528 0.045 31458735825854493320539534909107780018241536.000 6486462766566386498026172635725959836729344.000
-3.120 19.103 1.679 0.581 0.048 32024654634284118676903866775008622422261760.000 6025357223390475134200459821088365799800832.000
-2.113 25.094 2.115 0.418 0.029 49280778986240697514544175376302385311776768.000 9879000949946131980422738569722811534802944.000
-1.105 26.722 2.337 0.430 0.030 67336317182336289731907879532245454952595456.000 14234077130534886932964041193542295738122240.000
-0.097 22.137 1.157 0.547 0.024 51110063966306812812706948391754279828848640.000 6157400267176075851970070243578532581081088.000
0.911 16.771 0.577 0.727 0.025 29779661674616689185202434976997276783738880.000 2093647960113091258743609592302913904967680.000
1.918 14.365 0.384 0.871 0.025 23030406937878130344528551755419016746762240.000 1139792661917515497019728010829806958542848.000
2.926 14.268 0.371 0.879 0.025 22825089144681648671891353863781556810678272.000 1093138942890976376150380229938511427403776.000
3.934 14.583 0.385 0.856 0.024 23625152810649390337312260072117277078585344.000 1167048138351180795790509168180574101176320.000
4.941 14.932 0.402 0.832 0.024 24545194069899675272195443707773644571672576.000 1255780258459190070469032534400615428653056.000
5.949 15.281 0.419 0.810 0.023 25485145638406568663426063034668671626641408.000 1349196478398608327882961614926154991403008.000
6.957 15.062 0.400 0.817 0.023 24504045101271489802156648782861244039168000.000 1245813055691371323493442964877443241869312.000
7.965 14.822 0.381 0.826 0.023 23485604683806311022151387524193089635745792.000 1144316968185082471164960146471423836160000.000
8.972 14.570 0.363 0.836 0.022 22451547714521944063859948670493614153924608.000 1047169475051355729812529899534338505048064.000
9.980 14.372 0.349 0.842 0.022 21545629190972093549111318813762475662508032.000 970749989197793285068556799312333843202048.000
10.988 13.940 0.323 0.862 0.022 19971831655406701249771597382104122468073472.000 840282917645695423794867263441025313538048.000
11.995 11.923 0.224 1.004 0.023 14527397096369242931265975602499901859037184.000 429827979181845504955316481974409040494592.000
13.003 10.456 0.164 1.155 0.025 11352814651011715093613591717835563440537600.000 239739093433733873083769464831633543659520.000
