"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-5.492 40.000 12.530 0.105 0.022 43.303 43.219
-4.489 35.245 2.274 0.166 0.007 43.479 42.706
-3.487 32.221 1.791 0.197 0.008 43.476 42.629
-2.484 11.631 0.168 0.547 0.009 42.591 40.980
-1.482 10.701 0.133 0.624 0.010 42.561 40.852
-0.479 10.424 0.122 0.651 0.010 42.552 40.803
0.523 10.432 0.116 0.661 0.009 42.566 40.796
1.526 10.571 0.115 0.643 0.009 42.566 40.791
2.528 10.570 0.109 0.635 0.008 42.555 40.760
3.531 10.783 0.110 0.615 0.008 42.561 40.770
4.533 10.373 0.098 0.640 0.008 42.529 40.686
5.535 9.572 0.080 0.709 0.008 42.478 40.538
6.538 9.437 0.075 0.715 0.008 42.461 40.495
7.540 9.568 0.076 0.698 0.008 42.464 40.502
8.543 9.470 0.073 0.712 0.008 42.464 40.482
9.545 9.243 0.068 0.738 0.008 42.452 40.437
10.548 9.175 0.065 0.748 0.008 42.451 40.420
11.550 8.905 0.060 0.771 0.008 42.426 40.356
12.553 8.644 0.056 0.797 0.008 42.403 40.294
13.555 8.439 0.053 0.820 0.008 42.386 40.246
14.558 8.191 0.049 0.851 0.008 42.366 40.187
15.560 7.971 0.046 0.880 0.008 42.348 40.134
16.563 7.810 0.044 0.907 0.008 42.339 40.099
17.565 7.664 0.042 0.934 0.008 42.332 40.068
18.567 7.525 0.040 0.962 0.009 42.325 40.039
19.570 7.386 0.039 0.989 0.009 42.317 40.009
20.572 7.255 0.037 1.020 0.009 42.313 39.984
21.575 7.221 0.037 1.014 0.009 42.299 39.968
22.577 7.072 0.036 1.034 0.009 42.280 39.925
23.580 6.929 0.034 1.075 0.009 42.278 39.902
24.582 6.903 0.034 1.080 0.009 42.276 39.898
25.585 6.885 0.034 1.079 0.009 42.271 39.892
26.587 6.892 0.034 1.078 0.010 42.271 39.897
27.590 6.890 0.034 1.072 0.010 42.266 39.896
28.592 6.794 0.034 1.095 0.010 42.260 39.877
29.594 6.694 0.033 1.120 0.010 42.254 39.860
30.597 6.571 0.031 1.161 0.010 42.253 39.846
31.599 6.541 0.031 1.162 0.010 42.246 39.837
32.602 6.485 0.031 1.175 0.011 42.240 39.829
33.604 6.496 0.031 1.170 0.011 42.240 39.833
34.607 6.268 0.029 1.237 0.011 42.226 39.801
35.609 6.363 0.030 1.196 0.011 42.223 39.810
36.612 6.345 0.030 1.195 0.011 42.217 39.806
37.614 6.217 0.029 1.236 0.011 42.211 39.794
38.617 6.198 0.029 1.235 0.011 42.205 39.791
39.619 6.179 0.029 1.234 0.012 42.199 39.788
40.622 6.158 0.030 1.233 0.012 42.193 39.786
41.624 6.131 0.030 1.235 0.012 42.187 39.783
42.626 6.094 0.030 1.240 0.012 42.179 39.779
43.629 6.035 0.030 1.254 0.012 42.172 39.776
44.631 5.963 0.029 1.275 0.013 42.165 39.773
45.634 5.914 0.029 1.287 0.013 42.159 39.773
46.636 5.839 0.029 1.310 0.013 42.153 39.774
47.639 5.717 0.028 1.351 0.014 42.143 39.776
48.641 5.714 0.029 1.334 0.014 42.131 39.772
49.644 5.726 0.029 1.310 0.014 42.119 39.768
50.646 5.774 0.031 1.270 0.014 42.107 39.764
51.649 5.623 0.030 1.324 0.015 42.096 39.771
52.651 5.575 0.029 1.312 0.015 42.073 39.763
53.653 5.473 0.029 1.310 0.015 42.040 39.749
54.656 5.294 0.028 1.362 0.016 42.016 39.756
55.658 5.250 0.028 1.350 0.017 41.994 39.752
56.661 5.265 0.029 1.277 0.016 41.951 39.718
57.663 5.199 0.029 1.240 0.016 41.904 39.692
58.666 5.128 0.029 1.203 0.016 41.853 39.665
59.668 5.077 0.029 1.148 0.016 41.795 39.628
60.671 4.997 0.029 1.112 0.016 41.740 39.599
61.673 4.858 0.029 1.117 0.016 41.695 39.591
62.676 4.740 0.029 1.110 0.017 41.646 39.579
63.678 4.651 0.029 1.098 0.017 41.604 39.568
64.681 4.613 0.029 1.100 0.018 41.592 39.574
65.683 4.580 0.029 1.099 0.018 41.578 39.578
66.685 4.550 0.030 1.093 0.019 41.545 39.552
67.688 4.535 0.031 1.079 0.019 41.513 39.522
68.690 4.556 0.032 1.049 0.019 41.484 39.489
69.693 4.574 0.033 1.018 0.019 41.455 39.457
70.695 4.593 0.034 1.000 0.019 41.439 39.437
71.698 4.612 0.035 0.984 0.019 41.426 39.420
72.700 4.631 0.036 0.968 0.020 41.414 39.406
73.703 4.650 0.037 0.952 0.020 41.404 39.394
74.705 4.669 0.038 0.936 0.020 41.394 39.384
75.708 2.500 0.000 2.899 0.013 41.386 39.376
76.710 2.500 0.000 2.884 0.013 41.378 39.370
77.712 2.500 0.000 2.868 0.013 41.371 39.365
78.715 2.500 0.000 2.852 0.013 41.364 39.362
79.717 2.500 0.000 2.837 0.014 41.358 39.360
80.720 2.500 0.000 2.822 0.014 41.352 39.360
81.722 2.500 0.000 2.807 0.014 41.346 39.360
82.725 2.500 0.000 2.793 0.014 41.341 39.361
83.727 2.500 0.000 2.778 0.014 41.335 39.362
84.730 2.500 0.000 2.763 0.015 41.330 39.363
85.732 2.500 0.000 2.749 0.015 41.323 39.355
86.735 2.500 0.000 2.734 0.015 41.318 39.359
87.737 2.500 0.000 2.720 0.015 41.314 39.362
88.740 2.500 0.000 2.705 0.015 41.309 39.365
89.742 2.500 0.000 2.691 0.016 41.304 39.368
90.744 2.500 0.000 2.676 0.016 41.300 39.371
91.747 2.500 0.000 2.662 0.016 41.295 39.374
92.749 2.500 0.000 2.648 0.016 41.290 39.376
93.752 2.500 0.000 2.633 0.016 41.286 39.378
94.754 2.500 0.000 2.619 0.016 41.281 39.380
95.757 2.500 0.000 2.605 0.017 41.276 39.382
96.759 2.500 0.000 2.591 0.017 41.271 39.383
97.762 2.500 0.000 2.577 0.017 41.267 39.385
98.764 2.500 0.000 2.563 0.017 41.262 39.386
99.767 2.500 0.000 2.549 0.017 41.257 39.387
100.769 2.500 0.000 2.535 0.017 41.252 39.388
101.771 2.500 0.000 2.521 0.017 41.248 39.388
102.774 2.500 0.000 2.507 0.018 41.243 39.389
103.776 2.500 0.000 2.493 0.018 41.238 39.389
104.779 2.500 0.000 2.479 0.018 41.233 39.389
105.781 2.500 0.000 2.465 0.018 41.228 39.389
106.784 2.500 0.000 2.451 0.018 41.223 39.389
107.786 2.500 0.000 2.438 0.018 41.219 39.389
108.789 2.500 0.000 2.424 0.018 41.214 39.388
109.791 2.500 0.000 2.410 0.018 41.209 39.388
110.794 2.500 0.000 2.397 0.018 41.204 39.387
111.796 2.500 0.000 2.383 0.018 41.199 39.386
112.799 2.500 0.000 2.370 0.018 41.194 39.385
113.801 2.500 0.000 2.356 0.018 41.189 39.383
114.803 2.500 0.000 2.343 0.018 41.184 39.382
115.806 2.500 0.000 2.330 0.019 41.179 39.380
116.808 2.500 0.000 2.316 0.019 41.174 39.378
117.811 2.500 0.000 2.303 0.019 41.169 39.376
118.813 2.500 0.000 2.290 0.019 41.164 39.374
119.816 2.500 0.000 2.277 0.019 41.159 39.372
120.818 2.500 0.000 2.263 0.019 41.154 39.370
121.821 2.500 0.000 2.250 0.019 41.149 39.367
