"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-6.065 16.590 1.108 0.373 0.026 7497090766732798399986983570615717012176896.000 979296794350742344056759495929160871706624.000
-5.056 14.610 0.669 0.437 0.021 6202707064442541637137501285446837386346496.000 536885403978714367359053430324471919542272.000
-4.047 13.783 0.578 0.476 0.022 5836821974876507568090463391329074534154240.000 442664689628399868669954075365719335239680.000
-3.038 13.288 0.521 0.514 0.023 5865402417287547850531979555323594955292672.000 404392349336360663287313618200256124551168.000
-2.029 12.038 0.411 0.583 0.024 5086055037969443655291747002173630743314432.000 278348706081910873259267946163991788650496.000
-1.021 11.483 0.366 0.624 0.025 4828567434657419580152834421050941647093760.000 234843733821078277311955514252780803981312.000
-0.012 10.784 0.303 0.688 0.025 4559633659698026499334571515521696001949696.000 185502557871767313300468883723719437975552.000
0.997 10.281 0.271 0.737 0.026 4320810297165898941303888378171857540481024.000 154846805539650253759987852692908205408256.000
2.006 9.918 0.250 0.778 0.027 4169383213783354254479927394218894753267712.000 135360119815750047666712548149535958892544.000
3.015 10.094 0.262 0.762 0.027 4291767967527517325116737203513024753696768.000 147209636812726946306610346679474331844608.000
4.024 9.847 0.248 0.794 0.028 4224549468166785164254401830581837643120640.000 135350254933835372849247355462712976998400.000
5.033 9.288 0.217 0.855 0.029 3873859740852961561843435519742516911931392.000 104703766488886554643246582313382368509952.000
6.042 8.617 0.183 0.957 0.032 3596562721692263803317167191776095599853568.000 76098524527757014110564857293901867778048.000
7.051 8.250 0.163 1.022 0.033 3449024074368940353713503551963608236687360.000 61920490285993317297721513210284030820352.000
8.059 8.255 0.162 1.011 0.032 3384264802236996610444885527423396788305920.000 60626770568484134197222778613067337957376.000
9.068 8.297 0.164 0.991 0.031 3314419086023994023818743803068886709960704.000 60320731763813040103164974918283709906944.000
10.077 8.131 0.130 1.029 0.026 3295587064771209676555242274819413022605312.000 51228432693716765909991324849341552656384.000
11.086 8.291 0.138 0.990 0.026 3300207813656014870693510506861224045576192.000 55319436914626674576734924020017648369664.000
12.095 7.983 0.127 1.031 0.027 3075561795770287047252292023151534895267840.000 45754203875448138544098902643913212821504.000
13.104 8.038 0.130 1.013 0.026 3055266545091389862575389669420286624137216.000 46899842474300431457165605357817362907136.000
14.113 8.095 0.133 0.995 0.026 3030216684945594997054874908160548189241344.000 48055995354889338998741344130783684591616.000
15.122 8.187 0.137 0.969 0.026 3007699452303989529653428680245285018927104.000 49669145384935182710640389439701146140672.000
16.131 7.981 0.127 1.007 0.026 2931389254293993951292900874850467030499328.000 43982100506288579719572319603940095164416.000
17.140 7.583 0.110 1.085 0.027 2775195988103867414371236045356539211415552.000 34565250631259587370559670301609093496832.000
18.148 7.236 0.097 1.164 0.027 2646195098861972124197038238900618293936128.000 27958987477471043728446764628909467107328.000
19.157 6.914 0.086 1.248 0.028 2537911742300796917283821106460870429376512.000 23296249040947808819846165139633777672192.000
20.166 6.708 0.079 1.306 0.029 2459281347574633621243743179656764640460800.000 20926341769102873832672224801587644596224.000
21.175 6.794 0.082 1.278 0.028 2478959411531822383356297417490559355846656.000 21774343819974408763571123827442255396864.000
22.184 6.833 0.083 1.264 0.028 2481043452239275652114994766078292363575296.000 22194812218636969944503081238807709745152.000
23.193 6.713 0.080 1.294 0.029 2422296601886701588225429896168768727416832.000 20784825128209354702256429946516145176576.000
24.202 6.604 0.078 1.322 0.029 2369324951971039750139409474134350114062336.000 19640679655295052536045170679722541056000.000
25.211 6.580 0.078 1.324 0.029 2341243332927995574541637355693534387109888.000 19327580411173988135396800336514355560448.000
26.220 6.551 0.077 1.327 0.030 2311139049676577807716853337282820375052288.000 18977456566889248269566662677177854590976.000
27.228 6.511 0.077 1.334 0.030 2278660518461375861713290091345930314842112.000 18557900925129661042976161090515608010752.000
28.237 6.407 0.075 1.365 0.030 2237961584010001197590223824219040903069696.000 17721539696251185958213484314126505213952.000
29.246 6.368 0.074 1.376 0.031 2218448450047690513142787810123484030304256.000 17416098213404740317715137013408306561024.000
30.255 6.322 0.073 1.390 0.031 2198503149763934673663002638278369868775424.000 17097516226938992079446548751359489867776.000
31.264 6.268 0.072 1.407 0.031 2178019448039545173510403063166249476292608.000 16762998085364072997611833569215862800384.000
32.273 6.217 0.071 1.424 0.032 2157639199018559108292249989454513477517312.000 16462789456524805280325580194310902513664.000
33.282 6.163 0.070 1.442 0.032 2137308737546547387394866817892849159241728.000 16179022387132742501406103009416823439360.000
34.291 6.098 0.069 1.464 0.033 2112572364280027928634069035834769485594624.000 15859195495805685046234454584414871486464.000
35.300 6.010 0.067 1.498 0.034 2086176216431088945366966859069605797691392.000 15536753396302254475703913198415335391232.000
36.308 5.907 0.064 1.553 0.034 2091088632522263038251891847376605101948928.000 15538958052290103915561369982741648506880.000
37.317 5.808 0.061 1.608 0.035 2096823996385302624409747439348291534323712.000 15658936358619298531906845792846886207488.000
38.326 5.707 0.059 1.670 0.036 2107198959475507536375632940948299987288064.000 15918921944709661075153164469087472975872.000
39.335 5.620 0.057 1.727 0.037 2119795102714921895608655514603323142438912.000 16253699553828094713235367653162872733696.000
40.344 5.579 0.056 1.759 0.038 2135432031142130701887797463595696147922944.000 16514064171250122928045982519546959888384.000
41.353 5.543 0.056 1.782 0.038 2136143307947789125905570209623291503575040.000 16640065328180096853924106263012216668160.000
42.362 5.521 0.056 1.791 0.039 2124759986912003567097931332378167110270976.000 16633533602159978559920623381773874626560.000
43.371 5.537 0.056 1.782 0.038 2126273981284227909334521826777976740511744.000 16574640219226655735169657173993171451904.000
44.380 5.554 0.056 1.772 0.038 2127681545347492557175252648209315344154624.000 16539069512577914293429345249842119573504.000
45.389 5.562 0.057 1.766 0.038 2125319645593643321561338857992896242515968.000 16522108150343435449913106689734846971904.000
46.397 5.535 0.057 1.776 0.039 2110625065164284551300484614399146483253248.000 16530873032168294732016149261571741188096.000
47.406 5.510 0.057 1.788 0.040 2100380012715393243793323157167337939927040.000 16576457952159323580850147463834900627456.000
48.415 5.485 0.058 1.801 0.040 2091785607611666252512508545943840520929280.000 16652163677754955213714621499878483689472.000
49.424 5.444 0.057 1.831 0.041 2098015971340216433320659224658700123766784.000 16926274349790139728395851286106140049408.000
50.433 5.420 0.058 1.850 0.042 2105029319033870762626812727157654590324736.000 17156754447598904771603469177859493330944.000
51.442 5.417 0.059 1.853 0.043 2106823358018824156084156674977937276010496.000 17255504052645702864988302193132698599424.000
52.451 5.504 0.060 1.780 0.041 2071256922918388594747594226105290382639104.000 16663138654276920085701115142453241839616.000
53.460 5.604 0.062 1.702 0.039 2035227580726141728279361079645376186679296.000 16184030061029737342658778183083902369792.000
54.469 5.705 0.065 1.630 0.038 2004272536892311236997205415876330329735168.000 15910641266143170984853494249376802930688.000
55.477 5.715 0.066 1.624 0.038 2004523812898282437655214519084617358639104.000 16013843064572281832258366729612274171904.000
56.486 5.730 0.067 1.615 0.038 2003661378806709882664518249782400730005504.000 16106550078892040157815534966143539216384.000
57.495 5.731 0.068 1.613 0.039 2000026815719241190849285350016004787273728.000 16187801456891936677808703396783341961216.000
58.504 5.691 0.068 1.627 0.040 1979471752506544516589410977843298946777088.000 16190445243170612069467239046802697093120.000
59.513 5.634 0.067 1.655 0.041 1966038099609596624665934241749652394213376.000 16309026496342766067287083763237040160768.000
60.522 5.579 0.066 1.683 0.042 1954887003758036216732988955939209490726912.000 16444160403191667416656552007351587045376.000
61.531 5.565 0.067 1.689 0.042 1951018554445457792238548732522268251389952.000 16570583288234341320423429294069903261696.000
62.540 5.553 0.067 1.696 0.043 1947310557177133037436064524967882342268928.000 16706873865355836449261890440140905512960.000
63.549 5.530 0.067 1.709 0.043 1946225029939869800666720699760203716886528.000 16900822242723377046090272678365425041408.000
64.557 5.507 0.067 1.722 0.044 1944678083842205103471838799647763205193728.000 17105094408789234787639529905538411266048.000
65.566 5.483 0.068 1.736 0.045 1940203407806656199290973428233530068959232.000 17298693332027876214626609482093763231744.000
66.575 5.457 0.068 1.748 0.046 1930874722533896964365870024921312384778240.000 17471488697662721849420581661989614387200.000
67.584 5.427 0.068 1.763 0.047 1920796852305603515365168493494199589535744.000 17675007098534528902814523237555559727104.000
68.593 5.380 0.068 1.788 0.048 1908504960295655289521151871086223482159104.000 17964024813898453806890541399182684454912.000
69.602 5.337 0.068 1.812 0.050 1897085893125828446633458289955797381152768.000 18266997968787492067621995779470445772800.000
70.611 5.331 0.068 1.811 0.050 1887340765745257642269154322728212578172928.000 18361597234034059510496427111746080079872.000
71.620 5.327 0.068 1.808 0.050 1876048110325290075343188551642195991461888.000 18436049408702809951366069920842198810624.000
72.629 5.327 0.068 1.800 0.050 1860625508266668215087289140536429271580672.000 18457028111625830343314840605412510662656.000
73.638 5.357 0.070 1.763 0.049 1823851632496931594390172847297675229396992.000 18116167327957423287670486831490419130368.000
74.646 5.385 0.071 1.727 0.049 1700112011754103771376443899081595702738944.000 16952645361247296682226680689742558789632.000
75.655 5.401 0.072 1.700 0.049 1599164929945333642631886261441441690550272.000 16042236765601625466752000347553350549504.000
76.664 5.383 0.072 1.703 0.049 1523857831443564403371410929461562966016000.000 15479815896253063300107542854412380667904.000
77.673 5.370 0.072 1.702 0.049 1461321196380778973728209908066236235776000.000 14990566176526315926744265178652958785536.000
78.682 5.360 0.073 1.694 0.050 1399515534602329864511448436256491245142016.000 14476595354416118896042279476681496330240.000
79.691 5.368 0.074 1.672 0.050 1339766237667925148022318765538728197750784.000 13923225991949647754755310229670850461696.000
80.700 5.796 0.105 1.420 0.050 1254324438593528273109761921260667445182464.000 13288249909050907554017197606498042118144.000
81.709 5.863 0.109 1.365 0.049 1187782808647978285885135349385237821915136.000 12766827010348249486028342296058322223104.000
82.718 5.812 0.107 1.372 0.049 1143571656895950527353496696818906800586752.000 12309552599327911649948560359154910232576.000
83.726 2.500 0.000 6.021 0.038 1079113417915220323814609623638797604356096.000 13775132525177582968489020433108385660928.000
84.735 2.500 0.000 5.947 0.038 1040679343553438743252287266481017079201792.000 13394013872133472648532811711690011836416.000
85.744 2.500 0.000 5.875 0.038 1005609110003322984153013052633643269226496.000 13067087440788700467364482521393027612672.000
86.753 2.500 0.000 5.803 0.038 973324295881198636886051296711465490186240.000 12780354001574508062183335970129513021440.000
87.762 2.500 0.000 5.726 0.038 941308480137563407848325774128623212560384.000 12497955441350398528953334169616743661568.000
88.771 2.500 0.000 5.632 0.038 905751827355247031475633942048935203831808.000 12173115913880631440871405559095534551040.000
89.780 2.500 0.000 5.446 0.038 858982777935704401596436128996197413158912.000 17294425211827926930261914586042702233600.000
90.789 2.500 0.000 5.341 0.038 819462608643037705649321627659945293905920.000 15131738101511455712114799488786638045184.000
91.798 2.500 0.000 5.239 0.038 783134039449975526082961415469979188330496.000 13545261961500184764856911635768670158848.000
92.806 2.500 0.000 5.135 0.038 748763465138782389456729791123565418905600.000 12383338458047726976221935675839908675584.000
93.815 2.500 0.000 5.010 0.053 698583267778700857312011547076654673166336.000 14857633700727750350603537799006428069888.000
94.824 2.500 0.000 4.917 0.053 672997383402763523502685425353944415076352.000 14493546810022410809373979371077231443968.000
95.833 2.500 0.000 4.826 0.053 648361967041605932722136572652699135246336.000 14137931543439807545973208616498901286912.000
96.842 2.500 0.000 4.737 0.052 624641501451882707840690600433510162366464.000 13790555178758207324019684281414573883392.000
97.851 2.500 0.000 4.650 0.052 601801750127875039451767020386818327576576.000 13451194065750848886644018137454333657088.000
98.860 2.500 0.000 4.564 0.052 579809717289890556790906765438454775939072.000 13119639644810659793461898283349461434368.000
99.869 2.500 0.000 4.480 0.051 558633612159697447505341455880234125492224.000 12795691216701987495392110758235257962496.000
100.878 2.500 0.000 4.397 0.051 538242811975406480123100545172650361618432.000 12479160116222657666180122425022344069120.000
101.887 2.500 0.000 4.316 0.051 518607825135669480965908574643810146975744.000 12169864321605110626942755486525294641152.000
102.895 2.500 0.000 4.237 0.050 499700255272099411457459884844623633317888.000 11867630947580579476671219951712518275072.000
103.904 2.500 0.000 4.159 0.050 481492764134111818597006160330714133823488.000 11572295232383058410839190555579750809600.000
104.913 2.500 0.000 4.083 0.050 463959036892417711298833134850531810869248.000 11283695825070314793482057945856453115904.000
105.922 2.500 0.000 4.008 0.049 447073746716499111269456845280293819514880.000 11001681652671203536317661422660796547072.000
106.931 2.500 0.000 4.089 0.061 465485447531183210644875029467522192637952.000 13979361473468761896151188803906632155136.000
107.940 2.500 0.000 4.009 0.061 447382497123099836191334002456396052824064.000 13603198475349191061991846029670855213056.000
108.949 2.500 0.000 3.930 0.060 429983579064932780408099919585665041301504.000 13236024865277400800848906446907759394816.000
109.958 2.500 0.000 3.853 0.060 413261313203802393816981984304199041548288.000 12877646970033848953833240120355182346240.000
110.967 2.500 0.000 3.778 0.060 397189384213998920908612370534387456933888.000 12527878305130832285321420840166970359808.000
111.975 2.500 0.000 3.703 0.059 381742500185337410595528501240004272455680.000 12186537985539577943015118019222482976768.000
112.984 2.500 0.000 3.631 0.059 366896352822051418052362302500626084397056.000 11853449705167067274476051065493625241600.000
113.993 2.500 0.000 3.559 0.058 352627579189553468143022315959292853747712.000 11528442273804447406981379438136243781632.000
115.002 2.500 0.000 3.489 0.058 338913724948893249337310908421546396614656.000 11211347319346460528267345596375891968000.000
116.011 2.500 0.000 3.421 0.057 325733209021039531795375229409243829370880.000 10902003691831948119773706875024881745920.000
