"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-5.519 40.000 12.619 0.105 0.023 43.307 43.226
-4.517 35.233 2.290 0.166 0.007 43.482 42.713
-3.514 32.202 1.802 0.198 0.008 43.478 42.635
-2.512 11.596 0.168 0.549 0.009 42.590 40.982
-1.509 10.658 0.133 0.628 0.010 42.559 40.852
-0.507 10.377 0.121 0.655 0.010 42.550 40.802
0.496 10.386 0.116 0.665 0.009 42.564 40.795
1.498 10.514 0.114 0.648 0.009 42.564 40.789
2.501 10.517 0.109 0.640 0.008 42.553 40.759
3.503 10.716 0.110 0.620 0.008 42.558 40.767
4.506 10.347 0.098 0.643 0.008 42.528 40.689
5.508 9.677 0.082 0.702 0.008 42.488 40.566
6.510 9.382 0.075 0.722 0.008 42.459 40.492
7.513 9.522 0.076 0.703 0.008 42.462 40.501
8.515 9.428 0.072 0.717 0.008 42.461 40.481
9.518 9.387 0.071 0.723 0.008 42.461 40.471
10.520 9.134 0.065 0.753 0.008 42.449 40.420
11.523 8.883 0.060 0.775 0.008 42.426 40.359
12.525 8.623 0.056 0.801 0.008 42.402 40.297
13.528 8.418 0.053 0.824 0.008 42.386 40.250
14.530 8.172 0.049 0.855 0.008 42.366 40.191
15.533 7.953 0.046 0.884 0.008 42.347 40.138
16.535 7.787 0.044 0.911 0.008 42.337 40.101
17.538 7.642 0.042 0.938 0.008 42.330 40.070
18.540 7.503 0.040 0.966 0.009 42.324 40.041
19.542 7.365 0.039 0.994 0.009 42.316 40.011
20.545 7.234 0.037 1.024 0.009 42.311 39.986
21.547 7.192 0.037 1.022 0.009 42.299 39.969
22.550 7.053 0.036 1.039 0.009 42.279 39.928
23.552 6.948 0.034 1.065 0.009 42.275 39.907
24.555 6.871 0.034 1.089 0.010 42.275 39.897
25.557 6.853 0.034 1.088 0.010 42.269 39.892
26.560 6.859 0.034 1.085 0.010 42.269 39.895
27.562 6.823 0.034 1.094 0.010 42.266 39.891
28.565 6.782 0.034 1.097 0.010 42.259 39.880
29.567 6.677 0.033 1.124 0.010 42.253 39.861
30.569 6.585 0.032 1.153 0.010 42.251 39.849
31.572 6.516 0.031 1.169 0.010 42.245 39.838
32.574 6.460 0.031 1.182 0.011 42.239 39.828
33.577 6.458 0.031 1.182 0.011 42.239 39.831
34.579 6.462 0.032 1.163 0.011 42.226 39.823
35.582 6.322 0.030 1.210 0.011 42.222 39.807
36.584 6.317 0.030 1.204 0.011 42.216 39.805
37.587 6.301 0.030 1.202 0.011 42.210 39.802
38.589 6.171 0.029 1.245 0.012 42.204 39.790
39.592 6.153 0.029 1.243 0.012 42.198 39.787
40.594 6.132 0.030 1.243 0.012 42.192 39.784
41.597 6.112 0.030 1.242 0.012 42.186 39.782
42.599 6.060 0.030 1.256 0.012 42.181 39.780
43.601 6.017 0.030 1.261 0.012 42.172 39.775
44.604 5.958 0.029 1.276 0.013 42.165 39.772
45.606 5.900 0.029 1.291 0.013 42.158 39.771
46.609 5.846 0.029 1.307 0.013 42.153 39.772
47.611 5.704 0.028 1.358 0.014 42.144 39.774
48.614 5.686 0.028 1.349 0.014 42.132 39.771
49.616 5.683 0.029 1.332 0.014 42.120 39.768
50.619 5.762 0.030 1.276 0.014 42.107 39.761
51.621 5.629 0.030 1.322 0.015 42.097 39.767
52.624 5.565 0.029 1.326 0.015 42.080 39.765
53.626 5.505 0.029 1.305 0.015 42.047 39.748
54.628 5.292 0.028 1.369 0.016 42.020 39.754
55.631 5.255 0.028 1.355 0.017 41.999 39.749
56.633 5.244 0.028 1.304 0.016 41.962 39.726
57.636 5.195 0.029 1.260 0.016 41.916 39.699
58.638 5.122 0.029 1.227 0.016 41.868 39.673
59.641 5.069 0.029 1.174 0.016 41.812 39.638
60.643 5.012 0.029 1.123 0.016 41.753 39.602
61.646 4.877 0.029 1.125 0.016 41.708 39.593
62.648 4.753 0.029 1.122 0.017 41.661 39.582
63.651 4.649 0.029 1.106 0.017 41.610 39.567
64.653 4.603 0.029 1.108 0.018 41.594 39.571
65.656 4.568 0.029 1.108 0.018 41.581 39.576
66.658 4.537 0.030 1.104 0.019 41.566 39.579
67.660 4.511 0.030 1.096 0.019 41.549 39.580
68.663 4.526 0.031 1.068 0.019 41.533 39.573
69.665 4.545 0.032 1.037 0.019 41.514 39.564
70.668 4.564 0.033 1.013 0.019 41.502 39.560
71.670 4.582 0.034 0.997 0.020 41.494 39.561
72.673 4.601 0.035 0.981 0.020 41.487 39.562
73.675 4.620 0.037 0.965 0.020 41.480 39.563
74.678 4.639 0.038 0.949 0.020 41.473 39.564
75.680 2.500 0.000 2.894 0.013 41.368 39.306
76.683 2.500 0.000 2.879 0.013 41.363 39.311
77.685 2.500 0.000 2.863 0.013 41.358 39.316
78.687 2.500 0.000 2.848 0.013 41.354 39.321
79.690 2.500 0.000 2.832 0.013 41.349 39.326
80.692 2.500 0.000 2.817 0.014 41.344 39.331
81.695 2.500 0.000 2.802 0.014 41.340 39.335
82.697 2.500 0.000 2.788 0.014 41.335 39.340
83.700 2.500 0.000 2.773 0.014 41.330 39.344
84.702 2.500 0.000 2.758 0.015 41.326 39.348
85.705 2.500 0.000 2.744 0.015 41.321 39.352
86.707 2.500 0.000 2.729 0.015 41.317 39.355
87.710 2.500 0.000 2.715 0.015 41.312 39.359
88.712 2.500 0.000 2.701 0.015 41.308 39.362
89.714 2.500 0.000 2.686 0.016 41.303 39.365
90.717 2.500 0.000 2.672 0.016 41.298 39.368
91.719 2.500 0.000 2.658 0.016 41.294 39.371
92.722 2.500 0.000 2.643 0.016 41.289 39.373
93.724 2.500 0.000 2.629 0.016 41.284 39.375
94.727 2.500 0.000 2.615 0.016 41.280 39.377
95.729 2.500 0.000 2.601 0.017 41.275 39.379
96.732 2.500 0.000 2.587 0.017 41.270 39.381
97.734 2.500 0.000 2.573 0.017 41.265 39.382
98.737 2.500 0.000 2.559 0.017 41.261 39.384
99.739 2.500 0.000 2.545 0.017 41.256 39.385
100.742 2.500 0.000 2.531 0.017 41.251 39.386
101.744 2.500 0.000 2.517 0.017 41.246 39.386
102.746 2.500 0.000 2.503 0.017 41.242 39.387
103.749 2.500 0.000 2.489 0.018 41.237 39.387
104.751 2.500 0.000 2.476 0.018 41.232 39.388
105.754 2.500 0.000 2.462 0.018 41.227 39.388
106.756 2.500 0.000 2.448 0.018 41.222 39.387
107.759 2.500 0.000 2.435 0.018 41.217 39.387
108.761 2.500 0.000 2.421 0.018 41.213 39.387
109.764 2.500 0.000 2.407 0.018 41.208 39.386
110.766 2.500 0.000 2.394 0.018 41.203 39.385
111.769 2.500 0.000 2.380 0.018 41.198 39.384
112.771 2.500 0.000 2.367 0.018 41.193 39.383
113.773 2.500 0.000 2.354 0.018 41.188 39.382
114.776 2.500 0.000 2.340 0.018 41.183 39.381
115.778 2.500 0.000 2.327 0.018 41.178 39.379
116.781 2.500 0.000 2.314 0.019 41.173 39.378
117.783 2.500 0.000 2.301 0.019 41.168 39.376
118.786 2.500 0.000 2.287 0.019 41.163 39.374
119.788 2.500 0.000 2.274 0.019 41.158 39.372
120.791 2.500 0.000 2.261 0.019 41.153 39.369
121.793 2.500 0.000 2.248 0.019 41.148 39.367
122.796 2.500 0.000 2.235 0.019 41.143 39.364
123.798 2.500 0.000 2.222 0.019 41.138 39.362
124.801 2.500 0.000 2.210 0.019 41.133 39.359
125.803 2.500 0.000 2.197 0.019 41.128 39.356
126.805 2.500 0.000 2.184 0.019 41.123 39.353
127.808 2.500 0.000 2.171 0.019 41.118 39.350
128.810 2.500 0.000 2.159 0.018 41.113 39.346
129.813 2.500 0.000 2.146 0.018 41.108 39.343
130.815 2.500 0.000 2.134 0.018 41.103 39.339
