"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-9.979 12.828 0.337 0.436 0.013 42.564 41.251
-8.972 12.329 0.302 0.457 0.013 42.537 41.181
-7.965 11.872 0.272 0.480 0.013 42.513 41.114
-6.959 11.453 0.246 0.502 0.013 42.491 41.049
-5.952 11.378 0.000 0.610 0.000 42.648 36.655
-4.945 11.707 0.110 0.584 0.008 42.659 40.711
-3.938 12.806 0.146 0.514 0.008 42.704 40.908
-2.932 13.336 0.153 0.486 0.007 42.726 40.959
-1.925 13.562 0.162 0.473 0.007 42.732 40.999
-0.918 12.693 0.138 0.510 0.007 42.682 40.880
0.089 12.228 0.118 0.534 0.007 42.657 40.797
1.096 10.394 0.078 0.664 0.007 42.564 40.507
2.102 9.501 0.065 0.744 0.008 42.507 40.346
3.109 9.262 0.062 0.770 0.008 42.493 40.321
4.116 8.880 0.057 0.820 0.008 42.474 40.264
5.123 8.483 0.052 0.876 0.009 42.452 40.194
6.129 8.130 0.048 0.933 0.009 42.433 40.128
7.136 7.819 0.045 0.991 0.010 42.417 40.066
8.143 7.545 0.042 1.049 0.010 42.405 40.008
9.150 7.302 0.040 1.106 0.011 42.394 39.953
10.157 6.950 0.034 1.213 0.011 42.388 39.868
11.163 6.882 0.034 1.225 0.011 42.380 39.844
12.170 6.714 0.033 1.275 0.012 42.372 39.796
13.177 6.535 0.031 1.339 0.012 42.367 39.746
14.184 6.414 0.030 1.380 0.013 42.361 39.712
15.190 6.374 0.030 1.383 0.013 42.352 39.696
16.197 6.093 0.026 1.494 0.013 42.341 39.644
17.204 5.993 0.025 1.529 0.013 42.332 39.645
18.211 5.816 0.023 1.626 0.014 42.333 39.677
19.218 5.709 0.022 1.669 0.014 42.324 39.693
20.224 5.790 0.023 1.610 0.014 42.317 39.676
21.231 5.738 0.023 1.622 0.014 42.308 39.679
22.238 5.534 0.021 1.738 0.014 42.305 39.720
23.245 5.282 0.019 1.887 0.015 42.296 39.769
24.251 5.391 0.020 1.798 0.015 42.289 39.735
25.258 5.362 0.019 1.802 0.015 42.282 39.733
26.265 5.350 0.019 1.796 0.015 42.275 39.727
27.272 5.334 0.019 1.795 0.015 42.269 39.722
28.279 5.321 0.019 1.789 0.015 42.262 39.716
29.285 5.304 0.019 1.788 0.015 42.256 39.711
30.292 5.443 0.021 1.649 0.014 42.230 39.657
31.299 5.404 0.020 1.678 0.014 42.233 39.665
32.306 5.192 0.018 1.839 0.015 42.243 39.716
33.312 5.283 0.019 1.769 0.014 42.240 39.692
34.319 5.307 0.020 1.733 0.014 42.230 39.677
35.326 5.333 0.020 1.699 0.014 42.221 39.663
36.333 5.334 0.020 1.679 0.014 42.211 39.653
37.340 5.335 0.021 1.658 0.014 42.200 39.644
38.346 5.318 0.021 1.648 0.014 42.190 39.638
