JD-2400000.5 Phase(d) U Uerr B Berr V Verr R Rerr I Ierr Instrument
55179.96 17.96 NaN NaN 17.40 0.07 17.09 0.05 16.72 0.15 NaN Nan FTN-(EM01)
55181.61 19.61 NaN NaN 17.45 0.12 17.09 0.09 16.74 0.05 16.64 0.03 WISE-(PI-CCD)
55182.02 20.02 NaN NaN 17.54 0.08 17.07 0.07 16.72 0.03 NaN NaN FTN-(EM01)
55183.96 21.96 NaN NaN 17.60 0.20 17.05 0.08 16.72 0.09 NaN NaN FTN-(EM01)
55189.83 27.83 18.42 0.18 17.73 0.06 17.11 0.06 16.72 0.07 16.55 0.04 NTT-(EFOSC)
55189.96 27.96 NaN NaN 17.87 0.22 17.16 0.06 16.76 0.04 NaN NaN FTN-(EM01)
55192.00 30.00 NaN NaN 17.92 0.09 17.17 0.16 16.77 0.05 NaN NaN FTN-(EM01)
55192.60 30.60 18.73 0.07 17.94 0.08 17.20 0.07 16.78 0.03 16.70 0.04 LT-(RATCam)
55194.09 32.09 NaN NaN 17.98 0.07 17.17 0.05 16.76 0.04 NaN NaN FTN-(EM01)
55197.55 35.55 NaN NaN 18.05 0.25 17.21 0.06 16.82 0.06 16.59 0.04 LT-(RATCam)
55202.72 40.72 NaN NaN 18.17 0.43 17.28 0.18 16.82 0.18 16.60 0.08 CALTO-(CAFOS)
55203.57 41.57 NaN NaN NaN NaN 17.23 0.05 16.72 0.06 16.53 0.04 WISE-(LAIWO)
55204.63 42.63 19.46 0.36 18.19 0.39 17.19 0.07 16.70 0.08 16.59 0.04 LT-(RATCam)
55208.77 46.77 19.35 0.21 18.21 0.18 17.24 0.13 16.76 0.06 16.51 0.04 LT-(RATCam)
55211.64 49.64 19.42 0.11 18.31 0.04 17.25 0.15 16.72 0.08 16.47 0.03 LT-(RATCam)
55213.66 51.66 19.81 0.31 18.34 0.12 17.25 0.10 NaN NaN NaN NaN LT-(RATCam)
55215.03 53.03 NaN NaN 18.47 0.27 17.33 0.18 16.82 0.10 16.43 0.25 Mt.Ekar1.82m-(AFOSC)
55219.74 57.74 19.89 0.26 18.42 0.03 17.30 0.06 16.77 0.07 16.46 0.04 NTT-(EFOSC)
55224.51 62.51 NaN NaN 18.50 0.27 17.34 0.07 16.78 0.09 16.55 0.07 LT-(RATCam)
55232.45 70.45 NaN NaN NaN NaN 17.42 0.45 16.78 0.10 16.51 0.03 LT-(RATCam)
55233.47 71.47 NaN NaN NaN NaN 17.39 0.12 16.80 0.04 16.52 0.02 LT-(RATCam)
55233.65 71.65 20.10 0.51 18.68 0.14 17.39 0.10 16.86 0.04 16.51 0.05 NOT-(ALFOSC)
55234.49 72.49 NaN NaN NaN NaN 17.37 0.17 16.82 0.10 16.49 0.06 LT-(RATCam)
55236.50 74.50 NaN NaN NaN NaN 17.39 0.12 16.79 0.06 16.55 0.02 LT-(RATCam)
55237.48 75.48 NaN NaN 18.64 0.15 17.42 0.07 16.86 0.03 16.53 0.05 WISE-(PI-CCD)
55238.52 76.52 NaN NaN NaN NaN 17.42 0.04 16.83 0.03 16.53 0.03 LT-(RATCam)
55245.81 83.81 20.49 0.12 18.81 0.15 17.52 0.12 16.90 0.02 16.53 0.04 NTT-(EFOSC)
55246.47 84.47 NaN NaN 18.86 0.28 17.45 0.12 16.90 0.04 16.60 0.04 WISE-(INDEF)
55262.73 100.73 20.80 0.25 18.94 0.04 17.71 0.04 17.10 0.03 16.78 0.04 NTT-(EFOSC)
55268.36 106.36 NaN NaN NaN NaN 17.89 0.05 17.23 0.04 16.96 0.04 LT-(RATCam)
55270.87 108.87 NaN NaN 19.44 0.58 17.96 0.17 17.41 0.20 17.08 0.15 Mt.Ekar1.82m-(AFOSC)
55274.48 112.48 NaN NaN 19.58 0.68 18.07 0.26 17.43 0.11 17.14 0.05 WISE-(PI-CCD)
55276.59 114.59 21.74 0.54 19.97 0.15 18.43 0.16 17.75 0.06 17.36 0.05 NOT-(ALFOSC)
55277.44 115.44 NaN NaN 20.13 0.19 18.51 0.05 17.80 0.03 17.46 0.04 LT-(RATCam)
55278.47 116.47 NaN NaN NaN NaN 18.73 0.05 17.96 0.02 17.60 0.02 LT-(RATCam)
55279.51 117.51 NaN NaN 20.58 0.23 18.96 0.11 18.16 0.04 17.73 0.04 LT-(RATCam)
55280.54 118.54 NaN NaN 20.98 0.39 19.26 0.14 18.40 0.06 17.97 0.04 LT-(RATCam)
55282.38 120.38 NaN NaN 21.45 0.32 20.07 0.06 18.98 0.03 18.51 0.04 LT-(RATCam)
55285.61 123.61 NaN NaN NaN NaN 20.51 0.15 19.14 0.04 18.71 0.04 LT-(RATCam)
55288.41 126.41 NaN NaN 22.54 0.56 20.53 0.11 19.35 0.03 18.70 0.05 NOT-(ALFOSC)
55296.52 134.52 NaN NaN 22.31 0.28 20.61 0.12 19.50 0.08 NaN NaN NOT-(ALFOSC)
55314.48 152.48 NaN NaN 22.64 0.21 20.81 0.04 19.68 0.03 19.02 0.03 NOT-(ALFOSC)
55343.42 181.42 NaN NaN NaN NaN 21.03 0.06 19.90 0.03 19.28 0.04 NOT-(ALFOSC)
55349.43 187.43 NaN NaN 22.82 0.35 NaN NaN NaN NaN NaN NaN NOT-(ALFOSC)

















