Date MJD U Uerr B Berr V Verr R Rerr I Ierr Instrument
2012-01-10 55936.25 13.16 0.07 14.12 0.02 14.22 0.02 13.89 0.04 14.23 0.06 ALFOSC
2012-01-10 55937.00 NaN NaN 13.92 0.02 13.94 0.01 13.87 0.02 13.75 0.02 SBIG
2012-01-11 55937.25 NaN NaN 14.09 0.03 14.03 0.04 13.84 0.03 13.80 0.02 PROMPT
2012-01-12 55938.03 NaN NaN 13.94 0.02 13.91 0.02 13.79 0.03 13.71 0.03 SBIG
2012-01-12 55938.22 NaN NaN 14.14 0.07 13.99 0.02 13.90 0.04 13.78 0.04 PROMPT
2012-01-12 55938.97 NaN NaN 13.93 0.04 13.89 0.03 13.79 0.03 13.71 0.02 SBIG
2012-01-13 55939.25 NaN NaN 14.06 0.03 14.07 0.05 13.74 0.04 13.72 0.04 PROMPT
2012-01-14 55940.03 NaN NaN 13.86 0.02 13.85 0.02 13.66 0.02 13.65 0.02 SBIG
2012-01-14 55940.26 NaN NaN 13.94 0.03 14.01 0.01 13.82 0.02 13.73 0.02 PROMPT
2012-01-14 55940.92 NaN NaN 13.92 0.02 13.84 0.02 13.68 0.03 13.69 0.02 SBIG
2012-01-15 55941.97 NaN NaN 13.96 0.03 13.83 0.02 13.71 0.03 13.68 0.02 SBIG
2012-01-18 55944.05 NaN NaN 13.98 0.04 13.85 0.04 13.67 0.03 13.64 0.03 SBIG
2012-01-21 55947.22 NaN NaN 14.20 0.02 13.96 0.01 13.71 0.05 13.61 0.02 PROMPT
2012-01-21 55947.93 13.85 0.05 14.26 0.02 13.97 0.01 13.75 0.03 13.70 0.07 AFOSC
2012-01-23 55949.96 14.26 0.03 14.39 0.02 14.01 0.05 13.69 0.03 13.47 0.04 AFOSC
2012-01-24 55950.93 14.26 0.02 14.33 0.01 13.91 0.04 13.60 0.02 13.52 0.05 AFOSC
2012-01-25 55951.21 NaN NaN 14.48 0.26 NaN NaN NaN NaN NaN NaN PROMPT
2012-01-25 55951.93 NaN NaN 14.37 0.03 13.87 0.02 13.63 0.04 13.57 0.03 SBIG
2012-01-26 55952.23 NaN NaN NaN NaN 14.05 0.08 13.78 0.14 13.61 0.02 PROMPT
2012-01-27 55953.05 14.56 0.04 14.61 0.05 14.06 0.03 13.56 0.03 13.52 0.04 AFOSC
2012-01-27 55953.88 14.63 0.07 14.65 0.09 14.11 0.03 13.65 0.05 13.55 0.12 AFOSC
2012-01-29 55955.94 15.00 0.03 14.75 0.04 14.11 0.02 13.71 0.02 13.63 0.04 AFOSC
2012-01-30 55956.93 15.38 0.03 14.81 0.02 14.13 0.03 13.79 0.04 13.68 0.06 AFOSC
2012-02-03 55960.93 NaN NaN NaN NaN 14.09 0.04 13.71 0.04 13.67 0.04 SBIG
2012-02-08 55965.15 NaN NaN NaN NaN 14.26 0.10 13.86 0.06 NaN NaN SBIG
2012-02-08 55965.93 NaN NaN 15.02 0.04 14.15 0.03 13.76 0.07 13.61 0.05 SBIG
2012-02-09 55966.19 NaN NaN 15.11 0.04 14.27 0.05 13.82 0.05 13.60 0.04 PROMPT
2012-02-11 55968.08 15.63 0.03 15.20 0.05 14.34 0.01 13.86 0.02 13.62 0.02 CAFOS
2012-02-14 55971.18 NaN NaN 15.19 0.03 14.30 0.03 13.93 0.04 13.67 0.03 PROMPT
2012-02-17 55974.17 NaN NaN 15.34 0.04 14.38 0.02 13.89 0.03 13.60 0.03 PROMPT
2012-02-17 55974.97 16.44 0.04 15.35 0.02 14.29 0.02 13.87 0.05 NaN NaN AFOSC
2012-02-18 55975.97 16.28 0.06 15.50 0.02 14.43 0.03 13.82 0.04 13.66 0.06 AFOSC
2012-02-21 55978.31 NaN NaN NaN NaN 14.38 0.02 13.93 0.04 13.66 0.03 PROMPT
2012-02-23 55980.04 16.45 0.07 15.53 0.03 14.42 0.03 14.00 0.04 13.68 0.05 AFOSC
2012-02-24 55981.20 NaN NaN 15.46 0.03 14.41 0.04 13.96 0.03 13.68 0.03 PROMPT
2012-02-26 55983.01 16.66 0.04 15.50 0.02 14.42 0.02 13.81 0.02 13.80 0.04 AFOSC
2012-02-27 55984.14 NaN NaN 15.53 0.05 14.41 0.02 13.99 0.03 13.68 0.04 PROMPT
2012-02-28 55985.96 16.93 0.06 15.62 0.03 14.50 0.04 13.97 0.02 13.75 0.05 AFOSC
2012-02-29 55986.14 NaN NaN 15.47 0.14 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-01 55987.14 NaN NaN NaN NaN 14.48 0.02 14.03 0.04 13.74 0.03 PROMPT
2012-03-04 55990.12 NaN NaN 15.65 0.03 14.49 0.03 14.02 0.03 13.66 0.02 PROMPT
2012-03-06 55992.13 NaN NaN 15.57 0.17 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-06 55992.89 NaN NaN NaN NaN 14.45 0.03 13.93 0.03 13.76 0.04 SBIG
2012-03-12 55998.07 NaN NaN 15.91 0.02 14.72 0.03 14.09 0.02 13.84 0.04 CAFOS
2012-03-12 55998.11 NaN NaN 15.73 0.05 14.57 0.01 14.11 0.02 13.78 0.02 PROMPT
2012-03-13 55999.16 17.19 0.06 15.72 0.02 14.69 0.04 14.12 0.01 14.04 0.05 EFOSC
2012-03-14 56000.10 NaN NaN 15.78 0.03 14.59 0.03 14.10 0.04 13.83 0.02 PROMPT
2012-03-14 56000.85 NaN NaN 15.65 0.02 14.51 0.02 14.07 0.02 13.78 0.02 SBIG
2012-03-15 56001.79 NaN NaN 15.87 0.02 14.58 0.01 14.20 0.03 13.91 0.02 SBIG
2012-03-16 56002.05 NaN NaN 15.64 0.21 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-16 56002.82 NaN NaN 15.65 0.02 14.52 0.02 14.15 0.02 13.79 0.03 SBIG
2012-03-17 56003.04 NaN NaN NaN NaN 14.71 0.04 14.17 0.03 13.95 0.03 PROMPT
2012-03-17 56003.96 17.23 0.08 15.81 0.03 14.55 0.02 14.07 0.04 NaN NaN AFOSC
2012-03-19 56005.12 NaN NaN 15.83 0.04 14.67 0.03 14.19 0.03 13.92 0.03 PROMPT
2012-03-20 56006.88 NaN NaN 15.73 0.05 14.52 0.02 14.16 0.04 13.76 0.04 SBIG
2012-03-22 56008.11 NaN NaN 15.92 0.03 14.70 0.05 14.19 0.02 13.96 0.02 PROMPT
2012-03-22 56008.83 NaN NaN 15.87 0.03 14.66 0.02 14.24 0.03 14.04 0.03 SBIG
2012-03-24 56010.07 NaN NaN 15.93 0.04 14.71 0.03 14.25 0.03 13.94 0.01 PROMPT
2012-03-26 56012.08 NaN NaN 15.83 0.14 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-26 56012.84 NaN NaN 15.89 0.05 14.69 0.01 14.28 0.02 13.99 0.03 SBIG
2012-03-27 56013.01 NaN NaN NaN NaN 14.90 0.03 14.35 0.03 14.07 0.02 PROMPT
2012-03-27 56013.86 NaN NaN 15.93 0.03 14.71 0.02 14.43 0.07 NaN NaN SBIG
2012-03-28 56014.82 NaN NaN 15.95 0.05 14.77 0.04 14.26 0.05 14.08 0.04 SBIG
2012-03-29 56015.81 NaN NaN 15.90 0.03 14.82 0.02 14.37 0.02 14.10 0.03 SBIG
2012-03-30 56016.05 NaN NaN 16.02 0.03 14.87 0.03 14.36 0.03 14.06 0.02 PROMPT
2012-03-31 56017.94 17.83 0.17 NaN NaN NaN NaN NaN NaN NaN NaN AFOSC
2012-03-31 56017.94 NaN NaN 16.16 0.04 15.03 0.03 14.53 0.01 14.16 0.05 AFOSC
2012-04-03 56020.04 NaN NaN 16.23 0.05 14.96 0.02 14.48 0.03 14.14 0.03 PROMPT
2012-04-09 56026.11 NaN NaN 16.37 0.07 15.17 0.03 14.66 0.03 14.35 0.01 PROMPT
2012-04-12 56029.08 NaN NaN NaN NaN NaN NaN 14.80 0.23 14.49 0.09 PROMPT
2012-04-12 56030.00 NaN NaN 16.53 0.02 15.31 0.01 14.81 0.03 14.57 0.02 ALFOSC
2012-04-14 56032.00 NaN NaN 16.69 0.02 15.39 0.02 14.99 0.02 14.56 0.05 ALFOSC
2012-04-17 56034.11 NaN NaN NaN NaN 15.64 0.03 14.97 0.03 14.72 0.02 PROMPT
2012-04-19 56036.00 NaN NaN 17.13 0.05 15.80 0.05 15.13 0.03 14.90 0.02 PROMPT
2012-04-21 56039.00 NaN NaN 17.62 0.10 16.26 0.05 15.52 0.04 15.18 0.03 PROMPT
2012-04-22 56039.90 NaN NaN NaN NaN 16.34 0.03 15.49 0.04 15.41 0.11 SBIG
2012-04-23 56040.04 NaN NaN 17.87 0.04 16.40 0.03 15.67 0.04 15.26 0.03 CAFOS
2012-04-24 56041.96 NaN NaN 18.32 0.14 16.79 0.05 15.95 0.04 NaN NaN AFOSC
2012-04-25 56042.86 NaN NaN 18.28 0.05 16.77 0.03 16.09 0.03 15.70 0.03 SBIG
2012-04-26 56043.86 NaN NaN 18.64 0.07 17.13 0.04 16.22 0.05 15.89 0.04 SBIG
2012-04-27 56044.82 NaN NaN 18.58 0.09 17.23 0.03 16.34 0.05 15.90 0.05 SBIG
2012-05-01 56048.85 NaN NaN 18.90 0.07 17.63 0.04 16.61 0.04 16.19 0.04 CAFOS
2012-05-15 56062.86 NaN NaN 19.16 0.15 17.72 0.02 16.76 0.03 16.32 0.06 CAFOS
2012-05-29 56077.00 NaN NaN 19.40 0.11 18.02 0.10 17.01 0.10 NaN NaN TRAPPISTCAM
2012-06-19 56097.99 NaN NaN 19.48 0.10 18.03 0.10 17.15 0.11 NaN NaN TRAPPISTCAM
2012-10-20 56220.18 NaN NaN 20.12 0.15 18.99 0.13 NaN NaN NaN NaN AFOSC
2012-10-21 56221.25 NaN NaN 20.31 0.15 19.11 0.14 18.03 0.03 17.83 0.03 LRS
2012-11-09 56240.17 NaN NaN 20.54 0.27 19.37 0.14 18.19 0.09 17.95 0.23 AFOSC
2012-11-22 56253.34 NaN NaN NaN NaN 19.52 0.11 18.41 0.12 NaN NaN TRAPPISTCAM
2012-12-07 56268.13 NaN NaN 20.60 0.23 19.45 0.15 18.65 0.10 18.25 0.14 AFOSC
2012-12-10 56271.15 NaN NaN NaN NaN 19.55 0.14 18.63 0.11 18.45 0.12 AFOSC
2012-12-12 56273.28 NaN NaN NaN NaN NaN NaN 18.67 0.11 NaN NaN TRAPPISTCAM
2013-02-03 56326.25 NaN NaN 20.86 0.15 19.96 0.14 19.09 0.14 19.07 0.11 LRS
2013-02-21 56344.24 NaN NaN NaN NaN 20.07 0.09 19.39 0.10 NaN NaN TRAPPISTCAM
