Date MJD u uerr g gerr r rerr i ierr z zerr Instrument
2012-01-13 55839.25 NaN NaN 14.04 0.10 13.88 0.07 14.12 0.05 14.30 0.05 PROMPT
2012-01-14 55840.27 NaN NaN 14.13 0.07 13.90 0.10 14.17 0.07 14.23 0.05 PROMPT
2012-01-18 55844.21 NaN NaN 14.07 0.07 13.90 0.04 14.06 0.04 14.25 0.10 PROMPT
2012-01-21 55847.23 NaN NaN 14.16 0.08 13.86 0.08 14.01 0.06 14.15 0.08 PROMPT
2012-01-25 55851.22 NaN NaN 14.23 0.22 NaN NaN NaN NaN NaN NaN PROMPT
2012-01-26 55852.24 NaN NaN NaN NaN 13.95 0.05 14.03 0.10 14.16 0.10 PROMPT
2012-01-31 55857.21 NaN NaN 14.45 0.07 14.09 0.06 14.13 0.08 14.01 0.07 PROMPT
2012-02-09 55866.20 NaN NaN 14.86 0.03 14.02 0.04 14.22 0.06 14.01 0.06 PROMPT
2012-02-14 55871.18 NaN NaN 14.78 0.06 14.06 0.03 14.11 0.07 14.14 0.09 PROMPT
2012-02-17 55874.18 NaN NaN 14.82 0.07 14.07 0.04 14.15 0.06 14.03 0.04 PROMPT
2012-02-21 55878.32 NaN NaN NaN NaN 14.14 0.04 14.18 0.07 14.14 0.07 PROMPT
2012-02-24 55881.17 NaN NaN NaN NaN 14.20 0.06 14.15 0.06 14.13 0.07 PROMPT
2012-02-27 55884.15 NaN NaN 14.95 0.07 14.14 0.06 14.26 0.10 13.99 0.08 PROMPT
2012-02-29 55886.14 NaN NaN 14.96 0.27 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-01 55887.14 NaN NaN NaN NaN 14.26 0.05 14.21 0.04 14.19 0.06 PROMPT
2012-03-04 55890.13 NaN NaN 15.06 0.05 14.11 0.05 14.24 0.05 14.05 0.06 PROMPT
2012-03-12 55898.12 NaN NaN 15.17 0.06 14.27 0.04 14.36 0.07 14.12 0.06 PROMPT
2012-03-14 56000.11 NaN NaN 15.17 0.10 14.27 0.04 14.32 0.07 14.13 0.06 PROMPT
2012-03-16 56002.07 NaN NaN 15.06 0.28 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-17 56003.05 NaN NaN NaN NaN 14.40 0.05 14.44 0.06 14.24 0.11 PROMPT
2012-03-19 56005.12 NaN NaN 15.22 0.08 14.35 0.03 14.36 0.04 14.25 0.05 PROMPT
2012-03-22 56008.12 NaN NaN 15.29 0.09 14.39 0.06 14.41 0.04 14.30 0.05 PROMPT
2012-03-24 56010.08 NaN NaN 15.30 0.09 14.42 0.04 14.50 0.05 14.34 0.10 PROMPT
2012-03-26 56012.10 NaN NaN 15.26 0.27 NaN NaN NaN NaN NaN NaN PROMPT
2012-03-27 56013.04 NaN NaN NaN NaN 14.57 0.06 14.58 0.08 14.48 0.07 PROMPT
2012-03-30 56016.07 NaN NaN 15.42 0.08 14.56 0.05 14.63 0.07 14.51 0.06 PROMPT
2012-04-03 56020.06 NaN NaN 15.53 0.09 14.61 0.05 14.74 0.10 14.53 0.09 PROMPT
2012-04-09 56026.13 NaN NaN 15.61 0.06 14.82 0.05 14.96 0.08 14.64 0.13 PROMPT
2012-04-12 56029.11 NaN NaN NaN NaN 14.97 0.04 15.07 0.04 14.79 0.11 PROMPT
2012-04-15 56032.13 NaN NaN NaN NaN 15.10 0.07 15.16 0.07 14.94 0.09 PROMPT
2012-04-17 56034.15 NaN NaN NaN NaN 15.19 0.06 15.28 0.05 15.05 0.10 PROMPT
2012–04-19 56036.04 NaN NaN 16.45 0.07 15.34 0.04 15.46 0.08 15.21 0.08 PROMPT
2012-04-22 56039.04 NaN NaN 16.89 0.09 15.72 0.09 15.79 0.05 15.42 0.22 PROMPT
