UTDate JD Phase U Uerr B Berr V Verr R Rerr I Ierr Telescope
2013-Jul-31 6504.28 7.28 NaN NaN 12.62 02 12.58 03 12.66 04 12.572 03 LJT
2013-Aug-2 6506.38 9.38 NaN NaN 12.58 02 12.49 04 12.44 08 12.310 06 LJT
2013-Aug-3 6507.32 10.32 NaN NaN 12.54 03 12.48 12 12.28 09 12.211 08 LJT
2013-Aug-13 6517.31 20.31 NaN NaN 13.05 04 12.52 04 12.31 09 12.203 09 LJT
2013-Aug-17 6521.24 24.24 NaN NaN 13.33 05 12.61 05 12.45 07 12.183 09 LJT
2013-Sep-12 6537.01 40.01 15.53 03 14.55 01 13.22 06 12.88 07 12.381 06 LJT
2013-Sep-29 6564.14 67.14 16.40 08 14.91 09 13.57 07 13.20 06 12.599 07 LJT
2013-Oct-8 6573.25 76.25 16.55 07 15.14 05 13.74 05 13.33 05 13.124 07 TNT
2013-Oct-10 6575.25 78.25 16.50 05 15.23 04 13.81 03 13.28 04 13.015 03 TNT
2013-Oct-11 6576.25 79.25 16.79 05 15.32 05 13.81 03 13.35 05 13.053 06 TNT
2013-Oct-14 6579.25 82.25 16.85 05 15.39 04 13.91 04 13.40 05 13.088 06 TNT
2013-Oct-20 6585.25 88.25 16.71 15 15.56 05 14.05 04 13.60 05 13.246 02 TNT
2013-Oct-21 6586.25 89.25 16.83 18 15.67 07 14.09 05 13.66 04 13.407 04 TNT
2013-Oct-23 6588.25 91.25 NaN NaN 15.69 05 14.19 03 13.59 03 13.328 02 TNT
2013-Oct-24 6589.25 92.25 NaN NaN 15.77 04 14.27 03 13.71 03 13.303 04 TNT
2013-Nov-5 6601.25 104.25 18.20 13 17.47 04 16.02 03 15.15 04 14.797 03 TNT
2013-Nov-7 6603.00 106.00 18.43 10 17.57 03 16.20 03 15.36 03 14.969 03 TNT
2013-Nov-10 6606.00 109.00 NaN NaN 17.76 05 16.39 02 15.42 03 15.093 04 TNT
2013-Nov-11 6607.25 110.25 18.44 15 17.79 04 16.40 03 15.43 04 15.049 04 TNT
2013-Nov-12 6608.00 111.00 NaN NaN 17.62 08 16.45 04 15.52 06 15.157 04 TNT
2013-Nov-13 6609.25 112.25 NaN NaN NaN NaN 16.55 08 15.45 06 NaN NaN TNT
2013-Nov-17 6613.00 116.00 NaN NaN NaN NaN 16.60 08 15.60 05 15.26 05 TNT
2013-Nov-18 6614.25 117.25 NaN NaN 17.65 16 16.60 05 15.58 05 15.23 04 TNT
2013-Nov-20 6616.00 119.00 NaN NaN 17.93 08 16.61 04 15.64 06 15.20 03 TNT
2013-Nov-21 6617.00 120.00 18.84 15 17.92 06 16.58 02 15.66 02 15.26 04 TNT
2013-Nov-22 6618.00 121.00 NaN NaN 17.93 05 16.58 04 15.57 03 15.25 02 TNT
2013-Nov-23 6619.00 122.00 18.87 11 17.97 05 16.64 03 15.69 04 15.32 03 TNT
2013-Nov-25 6621.00 124.00 18.83 11 18.00 05 16.64 03 15.69 04 15.38 03 TNT
2013-Dec-3 6629.00 132.00 18.81 10 18.06 05 16.72 06 15.76 03 15.47 03 TNT
2013-Dec-5 6631.00 134.00 NaN NaN 18.11 05 16.81 04 15.79 04 15.64 04 TNT
2013-Dec-6 6632.00 135.00 NaN NaN 18.12 04 16.81 04 15.78 02 15.58 04 TNT
2013-Dec-7 6633.00 136.00 NaN NaN NaN NaN 16.79 04 15.79 04 NaN NaN TNT
2013-Dec-8 6634.00 137.00 NaN NaN 18.00 05 16.90 03 15.86 03 15.57 03 TNT
2013-Dec-15 6641.00 144.00 NaN NaN 18.22 14 17.01 06 15.97 05 15.66 02 TNT
2013-Dec-17 6643.00 146.00 NaN NaN 18.17 17 17.07 06 15.91 04 15.67 02 TNT
2013-Dec-19 6645.00 148.00 NaN NaN 18.54 13 17.04 04 15.98 03 15.71 02 TNT
2013-Dec-20 6646.00 149.00 NaN NaN 18.46 11 17.16 04 16.04 03 15.69 03 TNT
2013-Dec-21 6647.00 150.00 NaN NaN 18.25 07 17.12 04 16.09 04 15.79 03 TNT
2013-Dec-22 6648.00 151.00 NaN NaN 18.38 05 17.10 03 16.15 04 15.83 02 TNT
2013-Dec-23 6649.00 152.00 NaN NaN 18.34 06 17.03 05 16.13 06 15.78 03 TNT
2013-Dec-25 6651.00 154.00 NaN NaN 18.44 07 17.13 03 16.12 04 15.89 04 TNT
2013-Dec-26 6652.00 155.00 NaN NaN 18.34 07 17.11 03 16.08 03 15.81 03 TNT
2013-Dec-31 6657.00 160.00 NaN NaN 18.41 06 17.20 05 16.23 04 15.97 03 TNT
2014-Jan-1 6658.00 161.00 NaN NaN 18.35 06 17.22 06 16.24 04 16.01 04 TNT
2014-Jan-2 6659.00 162.00 NaN NaN 18.42 12 17.23 07 16.23 07 16.01 05 TNT
2014-Jan-3 6660.00 163.00 NaN NaN 18.61 07 17.26 04 16.23 05 16.01 04 TNT
2014-Jan-4 6661.00 164.00 NaN NaN 18.41 13 17.21 06 16.19 05 16.03 05 TNT
2014-Jan-5 6662.00 165.00 NaN NaN 18.55 06 17.32 04 16.32 03 16.05 02 TNT
