#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-06T21:50:19 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-06T21:50:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=100&-order=I&-out.src=J/MNRAS/394/2266/table2&-source=J/MNRAS/394/2266/table2&-out=Date&-out=JD&-out=l_Umag&-out=Umag&-out=e_Umag&-out=l_Bmag&-out=Bmag&-out=e_Bmag&-out=l_Vmag&-out=Vmag&-out=e_Vmag&-out=l_Rmag&-out=Rmag&-out=e_Rmag&-out=l_Imag&-out=Imag&-out=e_Imag&-out=zmag&-out=e_zmag&-out=Inst&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73942266
#Name: J/MNRAS/394/2266
#Title: SN 2005cs one-year photometry (Pastorello+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/mnras/394/2266	    IVOID of underlying data collection
#INFO	creator=Pastorello A.	    First author or institution
#INFO	cites=bibcode:2009MNRAS.394.2266P	    Article or Data origin sources
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/394/2266	    Dataset landing page
#INFO	publication_date=2017-06-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_394_2266_table2:
#Name: J/MNRAS/394/2266/table2
#Title: *UBVRIz magnitudes of SN 2005cs
#Column	Date	(A10)	Observation date	[ucd=time.epoch;obs]
#Column	JD	(F10.2)	Julian date	[ucd=time.epoch]
#Column	l_Umag	(A1)	Limit flag on Umag	[ucd=meta.code.error]
#Column	Umag	(F6.3)	? U magnitude	[ucd=phot.mag;em.opt.U]
#Column	e_Umag	(F6.3)	? rms uncertainty on Umag	[ucd=stat.error;phot.mag;em.opt.U]
#Column	l_Bmag	(A1)	Limit flag on Bmag	[ucd=meta.code.error]
#Column	Bmag	(F6.3)	? B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? rms uncertainty on Bmag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	l_Vmag	(A1)	Limit flag on Vmag	[ucd=meta.code.error]
#Column	Vmag	(F6.3)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	l_Rmag	(A1)	Limit flag on Rmag	[ucd=meta.code.error]
#Column	Rmag	(F6.3)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F6.3)	? rms uncertainty on Rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	l_Imag	(A1)	Limit flag on Imag	[ucd=meta.code.error]
#Column	Imag	(F6.3)	? I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F6.3)	? rms uncertainty on Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? z magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_zmag	(F6.3)	? rms uncertainty on zmag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Inst	(I1)	[1/8] Instrument code (1)	[ucd=meta.code;instr]
Date	JD	l_Umag	Umag	e_Umag	l_Bmag	Bmag	e_Bmag	l_Vmag	Vmag	e_Vmag	l_Rmag	Rmag	e_Rmag	l_Imag	Imag	e_Imag	zmag	e_zmag	Inst
2005-06-30	2453552.36	 	13.460	 0.008	 	14.393	 0.009	 	14.496	 0.011	 	14.459	 0.016	 	14.455	 0.016	      	      	2
2005-07-01	2453553.35	 	13.448	 0.012	 	14.410	 0.023	 	14.531	 0.026	 	14.435	 0.018	 	14.369	 0.028	      	      	3
2005-07-02	2453554.46	 	13.573	 0.014	 	14.470	 0.020	 	14.541	 0.010	 	14.460	 0.017	 	14.336	 0.012	      	      	3
2005-07-03	2453555.49	 	      	      	 	14.488	 0.015	 	14.541	 0.008	 	14.380	 0.009	 	      	      	      	      	1
2005-07-05	2453557.42	 	      	      	 	14.553	 0.026	 	14.549	 0.027	 	14.396	 0.024	 	14.333	 0.056	      	      	3
2005-07-05	2453557.44	 	      	      	 	      	      	 	14.497	 0.016	 	14.375	 0.008	 	      	      	      	      	1
2005-07-06	2453557.84	 	13.997	 0.018	 	14.580	 0.029	 	14.578	 0.019	 	14.350	 0.018	 	14.462	 0.012	      	      	4
2005-07-07	2453559.40	 	      	      	 	14.624	 0.024	 	14.575	 0.083	 	14.393	 0.080	 	14.359	 0.105	      	      	5
2005-07-10	2453562.43	 	      	      	 	14.829	 0.012	 	      	      	 	      	      	 	      	      	      	      	6
2005-07-11	2453563.38	 	14.735	 0.008	 	14.904	 0.006	 	14.603	 0.007	 	14.355	 0.008	 	14.229	 0.008	      	      	3
2005-07-11	2453563.42	 	14.750	 0.011	 	14.911	 0.010	 	14.575	 0.009	 	14.355	 0.011	 	14.251	 0.013	      	      	7
2005-07-13	2453565.38	 	15.292	 0.030	 	15.046	 0.020	 	14.652	 0.013	 	14.360	 0.014	 	14.287	 0.018	14.215	 0.020	6
2005-07-13	2453565.45	 	      	      	 	15.056	 0.014	 	14.648	 0.011	 	14.368	 0.021	 	      	      	      	      	1
2005-07-14	2453566.36	 	15.263	 0.012	 	15.115	 0.010	 	14.684	 0.010	 	14.389	 0.018	 	14.229	 0.013	      	      	3
2005-07-14	2453566.40	 	      	      	 	15.092	 0.025	 	14.666	 0.027	 	14.380	 0.016	 	14.282	 0.025	      	      	5
2005-07-17	2453569.42	 	15.994	 0.034	 	15.345	 0.017	 	14.723	 0.019	 	14.382	 0.016	 	14.273	 0.022	14.192	 0.021	6
2005-07-19	2453571.40	 	      	      	 	15.374	 0.025	 	14.724	 0.020	 	14.454	 0.019	 	14.258	 0.028	      	      	5
2005-07-20	2453572.40	 	      	      	 	15.389	 0.037	 	14.723	 0.027	 	14.447	 0.020	 	14.282	 0.019	      	      	5
2005-07-25	2453577.40	 	      	      	 	15.489	 0.078	 	14.746	 0.039	 	14.327	 0.059	 	14.239	 0.045	      	      	5
2005-07-27	2453579.40	 	      	      	 	15.605	 0.046	 	14.754	 0.037	 	14.394	 0.030	 	14.167	 0.025	      	      	5
2005-07-31	2453583.39	 	16.741	 0.065	 	15.758	 0.022	 	14.750	 0.015	 	14.334	 0.014	 	14.118	 0.013	      	      	7
2005-07-31	2453583.47	 	16.746	 0.077	 	15.768	 0.037	 	14.755	 0.012	 	14.325	 0.012	 	14.164	 0.012	13.999	 0.011	6
2005-08-02	2453585.38	 	      	      	 	15.772	 0.075	 	14.753	 0.064	 	14.327	 0.038	 	14.099	 0.026	      	      	8
2005-08-02	2453585.40	 	      	      	 	15.798	 0.009	 	14.764	 0.008	 	14.328	 0.006	 	14.129	 0.008	      	      	6
2005-08-03	2453586.43	 	16.940	 0.048	 	15.839	 0.014	 	14.750	 0.012	 	14.271	 0.010	 	14.089	 0.010	13.956	 0.010	6
2005-08-05	2453588.38	 	      	      	 	15.850	 0.017	 	14.769	 0.010	 	14.267	 0.006	 	14.096	 0.007	      	      	6
