#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-12T23:52:25 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-12T23:52:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=50&-order=I&-source= J/MNRAS/433/1871/table3a&-out=Obs.Date&-out=JD&-out=Phase&-out=Umag&-out=e_Umag&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Rcmag&-out=e_Rcmag&-out=Icmag&-out=e_Icmag&-out=Tel&-out=See&-out=gmag&-out=e_gmag&-out=rmag&-out=e_rmag&-out=imag&-out=e_imag&-out=zmag&-out=e_zmag&-out.src=J/MNRAS/433/1871/table3a,J/MNRAS/433/1871/table3b&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74331871
#Name: J/MNRAS/433/1871
#Title: UBVRI griz light curves of SN 2012aw (Bose+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/mnras/433/1871	    IVOID of underlying data collection
#INFO	creator=Bose S.	    First author or institution
#INFO	cites=bibcode:2013MNRAS.433.1871B	    Article or Data origin sources
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/433/1871	    Dataset landing page
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_433_1871_table3a:
#Name: J/MNRAS/433/1871/table3a
#Title: Photometric evolution of SN 2012aw, UBVRI
#Column	Obs.Date	(A13)	Observation date (YYYY-MM-DD.dd)	[ucd=time.epoch;obs]
#Column	JD	(F6.2)	[6/272] Julian date (JD-2456000)	[ucd=time.epoch]
#Column	Phase	(I3)	[4/269] Phase, with reference to the explosion epoch JD=2456002.59	[ucd=time.epoch]
#Column	Umag	(F6.3)	? Johnson U magnitude	[ucd=phot.mag;em.opt.U]
#Column	e_Umag	(F6.3)	? 1{sigma} rms error on Umag	[ucd=stat.error;phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? 1{sigma} rms error on Bmag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? 1{sigma} rms error on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rcmag	(F6.3)	? Cousins R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rcmag	(F6.3)	? 1{sigma} rms error on Rcmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	Icmag	(F6.3)	? Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F6.3)	? 1{sigma} rms error on Icmag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Tel	(a5)	Telescope (G1)	[ucd=meta.id;instr.tel]
#Column	See	(F4.1)	FWHM of the median stellar PSF at V-band frame	[ucd=instr.det.psf;stat.median]
Obs.Date;JD;Phase;Umag;e_Umag;Bmag;e_Bmag;Vmag;e_Vmag;Rcmag;e_Rcmag;Icmag;e_Icmag;Tel;See
2012-03-19.82;  6.32;  4;12.671; 0.042;13.504; 0.021;13.574; 0.017;13.463; 0.018;13.433; 0.025;ST   ; 2.6
2012-03-20.80;  7.30;  5;12.582; 0.042;13.492; 0.021;13.478; 0.017;13.372; 0.018;13.325; 0.025;ST   ; 2.3
2012-03-21.81;  8.31;  6;12.517; 0.042;13.457; 0.021;13.420; 0.012;13.300; 0.018;13.258; 0.018;ST   ; 2.0
2012-03-22.76;  9.26;  7;12.599; 0.042;13.415; 0.021;13.380; 0.017;13.262; 0.018;13.239; 0.025;ST   ; 2.0
2012-03-24.84; 11.34;  9;12.652; 0.042;13.394; 0.021;13.340; 0.017;13.175; 0.018;13.132; 0.025;ST   ; 1.9
2012-03-25.78; 12.28; 10;12.676; 0.043;13.411; 0.021;13.328; 0.017;13.192; 0.014;13.130; 0.025;ST   ; 2.3
2012-04-01.63; 19.13; 17;13.010; 0.042;13.567; 0.021;13.318; 0.017;13.089; 0.018;12.990; 0.025;ST   ; 2.2
2012-04-07.63; 25.13; 23;13.627; 0.043;13.756; 0.021;13.325; 0.017;13.073; 0.018;12.923; 0.025;ST   ; 2.2
2012-04-09.74; 27.24; 25;13.909; 0.042;13.875; 0.021;13.351; 0.017;13.086; 0.018;12.950; 0.025;ST   ; 2.3
2012-04-12.71; 30.21; 28;14.199; 0.042;14.000; 0.021;13.366; 0.017;13.111; 0.018;12.940; 0.025;ST   ; 2.4
2012-04-19.65; 37.15; 35;14.788; 0.043;14.228; 0.021;13.439; 0.017;13.140; 0.018;12.918; 0.025;ST   ; 2.5
2012-04-21.61; 39.11; 37;14.905; 0.043;14.284; 0.021;13.468; 0.017;13.151; 0.018;12.895; 0.018;ST   ; 2.9
2012-04-22.82; 40.32; 38;   NaN;   NaN;   NaN;   NaN;13.493; 0.017;13.135; 0.018;12.899; 0.052;ST   ; 2.7
2012-04-25.75; 43.25; 41;15.189; 0.044;14.392; 0.021;13.463; 0.017;13.124; 0.018;12.851; 0.025;ST   ; 2.1
2012-04-29.70; 47.20; 45;15.377; 0.050;14.466; 0.021;13.487; 0.017;13.126; 0.018;12.836; 0.025;ST   ; 2.8
2012-05-01.61; 49.11; 47;15.455; 0.057;14.491; 0.025;13.725; 0.024;13.115; 0.023;12.887; 0.035;ST   ; 2.9
2012-05-04.63; 52.13; 50;15.552; 0.089;   NaN;   NaN;13.439; 0.018;13.115; 0.018;12.776; 0.055;ST   ; 2.1
2012-05-06.62; 54.12; 52;15.725; 0.041;14.574; 0.021;13.471; 0.017;13.116; 0.018;12.790; 0.052;ST   ; 2.4
2012-05-08.61; 56.11; 54;   NaN;   NaN;   NaN;   NaN;13.526; 0.018;13.113; 0.019;12.812; 0.026;ST   ; 2.7
2012-05-09.61; 57.11; 55;15.802; 0.067;14.688; 0.024;13.494; 0.017;13.088; 0.018;12.775; 0.025;ST   ; 2.9
2012-05-11.65; 59.15; 57;   NaN;   NaN;14.518; 0.022;13.534; 0.017;13.085; 0.018;   NaN;   NaN;DFOT ; 3.1
2012-05-13.68; 61.18; 59;16.049; 0.059;14.697; 0.021;13.539; 0.017;13.097; 0.018;12.804; 0.025;ST   ; 2.6
2012-05-14.69; 62.19; 60;16.133; 0.068;14.711; 0.022;13.566; 0.017;13.139; 0.018;12.797; 0.025;ST   ; 2.6
2012-05-17.64; 65.14; 63;16.239; 0.049;14.771; 0.021;13.556; 0.017;13.102; 0.018;12.774; 0.025;ST   ; 2.8
