"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-5.519 40.000 12.619 0.105 0.023 20255670093059272401651865671131846653509632.000 16842306173459916733903199513529301235400704.000
-4.517 35.233 2.290 0.166 0.007 30333429099449356119887870542440411089076224.000 5159721969969094909063302631251781659656192.000
-3.514 32.202 1.802 0.198 0.008 30063259063292249926634744409534783121522688.000 4311859490926065993627207715787839891308544.000
-2.512 11.596 0.168 0.549 0.009 3887092243045100054663853354682770933153792.000 95888414042566323272253643904939250941952.000
-1.509 10.658 0.133 0.628 0.010 3623752948758180357882774591367676466036736.000 71139073318505182384715287540234729816064.000
-0.507 10.377 0.121 0.655 0.010 3547631144830724079728395426401034524688384.000 63344171765872723297900837871381433548800.000
0.496 10.386 0.116 0.665 0.009 3668191466395639624053563198085933947682816.000 62409956794080998969719939893980940992512.000
1.498 10.514 0.114 0.648 0.009 3660192066436578128980376231874686892376064.000 61502820236958859386709635571551018418176.000
2.501 10.517 0.109 0.640 0.008 3571728008897189979068925382497541594021888.000 57439306329059533100630285324217340657664.000
3.503 10.716 0.110 0.620 0.008 3615531519369585265882352089791044815683584.000 58441864156227994075047918817131787976704.000
4.506 10.347 0.098 0.643 0.008 3376516766570966795603438560509068964790272.000 48858951322885986299264259304878340308992.000
5.508 9.677 0.082 0.702 0.008 3075469332587225496843443391485172288323584.000 36812709997038722402529198776393983328256.000
6.510 9.382 0.075 0.722 0.008 2875836588541627561900229422978813128605696.000 31047757263713123622482632717830230900736.000
7.513 9.522 0.076 0.703 0.008 2895304644246719753324979357110112899563520.000 31716312354762746207777685892514822750208.000
8.515 9.428 0.072 0.717 0.008 2892524371177767774492610530494015850151936.000 30290378049023792468400378033204294057984.000
9.518 9.387 0.071 0.723 0.008 2893804883980381790525819127514241005780992.000 29608898224401197473249317941214221172736.000
10.520 9.134 0.065 0.753 0.008 2811379578765963175614298601301984868827136.000 26279481083028236739941536638131240960000.000
11.523 8.883 0.060 0.775 0.008 2665885010875092651423516966948901889245184.000 22870518239392374050184691490009515032576.000
12.525 8.623 0.056 0.801 0.008 2526124723465135623544928764283051130748928.000 19828762531489429495517592024480166707200.000
13.528 8.418 0.053 0.824 0.008 2429661953659985022767789618808055452925952.000 17763364474522995525384926843011933929472.000
14.530 8.172 0.049 0.855 0.008 2320827083055346769272812537777221298814976.000 15521689503880187829635918256508936126464.000
15.533 7.953 0.046 0.884 0.008 2224722485025016984890927924868951612325888.000 13725402057230914418016289124152512610304.000
16.535 7.787 0.044 0.911 0.008 2174536227588520285740300000326365225156608.000 12614828582100041629529663912025369083904.000
17.538 7.642 0.042 0.938 0.008 2139420806924702801877226093866710483337216.000 11742560151829529658023536201124831821824.000
18.540 7.503 0.040 0.966 0.009 2107337041045654730626262818919263663816704.000 10980260023371268679821895557212345991168.000
19.542 7.365 0.039 0.994 0.009 2069918980215565206210597890770662431129600.000 10255262922805315691569919747901467131904.000
20.545 7.234 0.037 1.024 0.009 2046329821299719806424320188828214821388288.000 9673185803558315927331025778590764498944.000
21.547 7.192 0.037 1.022 0.009 1989427923394699455553455829152543813926912.000 9306352616496834008200019681551316942848.000
22.550 7.053 0.036 1.039 0.009 1902246351068217004385159029765089968259072.000 8471025422711679207854992726726532923392.000
23.552 6.948 0.034 1.065 0.009 1881993363484961702739340462438452861861888.000 8080379199777560404266005429932362039296.000
24.555 6.871 0.034 1.089 0.010 1881965091011229230223907680816191527452672.000 7893659659844278062080695940305664344064.000
25.557 6.853 0.034 1.088 0.010 1859683019118874783224304103710194894110720.000 7795631972954462544685200152613816893440.000
26.560 6.859 0.034 1.085 0.010 1857580230800347129114517144239438104100864.000 7852731675931171437889943963905357250560.000
27.562 6.823 0.034 1.094 0.010 1846552552696999459235529105335914309091328.000 7776649192219350251086777323513194741760.000
28.565 6.782 0.034 1.097 0.010 1815305467523142515475593606314154537254912.000 7580312163325902021403299517162256859136.000
29.567 6.677 0.033 1.124 0.010 1789761189762894745712850738071621997690880.000 7264895585113361779786486761558305144832.000
30.569 6.585 0.032 1.153 0.010 1781095858501472433749251320557470610358272.000 7064587920485051659321908295974697041920.000
31.572 6.516 0.031 1.169 0.010 1757092698808333489137072410217430862790656.000 6879748605247218518149109875497953656832.000
32.574 6.460 0.031 1.182 0.011 1733270868471820548045777754847620297129984.000 6731315073192949155154082735782228918272.000
33.577 6.458 0.031 1.182 0.011 1732487087091535272203682303827626638180352.000 6780167762995571258375285556514671034368.000
34.579 6.462 0.032 1.163 0.011 1681033154592065084734119620254786402648064.000 6647994425994247191125311591402344284160.000
35.582 6.322 0.030 1.210 0.011 1665917087429842945364058759498299393179648.000 6416739206314103789071766528549667733504.000
36.584 6.317 0.030 1.204 0.011 1644907980664927842959949440429284829167616.000 6385662973915257400911132944160140558336.000
37.587 6.301 0.030 1.202 0.011 1623121967809500438472083659488506402570240.000 6338470897174970509941345498602884038656.000
38.589 6.171 0.029 1.245 0.012 1600956704235136435097017192331710522458112.000 6167490857250871918917605296748231655424.000
39.592 6.153 0.029 1.243 0.012 1578688368764001207121991141254446511554560.000 6127783535957987515057781560370461147136.000
40.594 6.132 0.030 1.243 0.012 1555779958171024099294461062236267125669888.000 6087576404508197993659915661933254017024.000
41.597 6.112 0.030 1.242 0.012 1532975463220238938506927392458264062984192.000 6052350385458613407180231239293451894784.000
42.599 6.060 0.030 1.256 0.012 1516303297483082198973349636378879254855680.000 6026169297677452823234169754743717494784.000
43.601 6.017 0.030 1.261 0.012 1484945497360529156459410593080910962229248.000 5954075349721170149155444314098358026240.000
44.604 5.958 0.029 1.276 0.013 1461321838656500432252616347413141105147904.000 5918124442072773582126512906680666161152.000
45.606 5.900 0.029 1.291 0.013 1440135007946226105520206385238022541017088.000 5907711483419100077400767681591762747392.000
46.609 5.846 0.029 1.307 0.013 1420954621884127237452271678491551221153792.000 5921551354843265140019250262481712447488.000
47.611 5.704 0.028 1.358 0.014 1392078388223855882301340475033594810597376.000 5949183573759290239289024832924150661120.000
48.614 5.686 0.028 1.349 0.014 1355152081922373416360151678370151644790784.000 5908352210490940175361420928364478201856.000
49.616 5.683 0.029 1.332 0.014 1318022945961776273798344928972009522593792.000 5861844081821385819632328897300271202304.000
50.619 5.762 0.030 1.276 0.014 1278789033723998011245169201994808730583040.000 5769890950985797069328244256199439024128.000
51.621 5.629 0.030 1.322 0.015 1251444245077378997990407142090455067394048.000 5850171339911925240202746028398150156288.000
52.624 5.565 0.029 1.326 0.015 1201096838412481843998230809882714263519232.000 5816694793381752766443539747108709990400.000
53.626 5.505 0.029 1.305 0.015 1114371867392514423722745537214170747895808.000 5591631063190684738129370819310552875008.000
54.628 5.292 0.028 1.369 0.016 1047706138474382451182269886947758557888512.000 5675786278663113916460958811283284557824.000
55.631 5.255 0.028 1.355 0.017 997332730774810344353735900894002734432256.000 5615258919685158694030873204608175439872.000
56.633 5.244 0.028 1.304 0.016 916508778552728033714782006001427617415168.000 5321450838137231891555090799733220835328.000
57.636 5.195 0.029 1.260 0.016 824020102820825629420941606116003510484992.000 4995673191856824456482777896249922158592.000
58.638 5.122 0.029 1.227 0.016 737670824973452258385932547735408244424704.000 4713796315014387914703903497011232505856.000
59.641 5.069 0.029 1.174 0.016 648174922901406012980730790524850234458112.000 4348175864369664302281382329942647242752.000
60.643 5.012 0.029 1.123 0.016 566738600151124138894283980967857186930688.000 4003831720772602867636767325632658931712.000
61.646 4.877 0.029 1.125 0.016 510301246555893087268361886040380720283648.000 3915301167570395857969205252498760138752.000
62.648 4.753 0.029 1.122 0.017 457886819455030201895641317797859606659072.000 3822827311836103214058844771967022661632.000
63.651 4.649 0.029 1.106 0.017 407310643532433922492468777953563290632192.000 3689614848818339299987086397927627685888.000
64.653 4.603 0.029 1.108 0.018 392600044760895800700259664295258826473472.000 3725153778753261406467348200328146190336.000
65.656 4.568 0.029 1.108 0.018 380915812281040037254236858404301491404800.000 3766497393245816554757504632323879993344.000
66.658 4.537 0.030 1.104 0.019 354154202754527825786040102356588469157888.000 3550573943096033116151653045872736862208.000
67.660 4.511 0.030 1.096 0.019 328586004752043600602055310477933976485888.000 3334141160665464395850852395269471862784.000
68.663 4.526 0.031 1.068 0.019 307106049340018834477403428394923846533120.000 3094657096630953774489433155031902715904.000
