"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-9.979 12.828 0.337 0.436 0.013 3665098063570052296786849172869489700634624.000 178370837284777354756875280666249983426560.000
-8.972 12.329 0.302 0.457 0.013 3445472522764006414964782536254814175625216.000 151615781395403465937482873665469416472576.000
-7.965 11.872 0.272 0.480 0.013 3257261025721589476151708485965367702716416.000 129882306394123679107606893156804641947648.000
-6.959 11.453 0.246 0.502 0.013 3095071364545027425890133562212159909265408.000 112054909561870869752774828855560884977664.000
-5.952 11.378 0.000 0.610 0.000 4446372824445225724518841297212536363417600.000 4522260209661365976745095171206545408.000
-4.945 11.707 0.110 0.584 0.008 4557156103772309397291279438813522129059840.000 51412008505462389241486534617742335541248.000
-3.938 12.806 0.146 0.514 0.008 5063464054934190946565354904976459500093440.000 80823722575322880790292752968897529905152.000
-2.932 13.336 0.153 0.486 0.007 5320008954023081355612745347042747330068480.000 90959930054844468931173881569845497036800.000
-1.925 13.562 0.162 0.473 0.007 5399265989191456653707415802377634700066816.000 99769518164134890708303624792264167915520.000
-0.918 12.693 0.138 0.510 0.007 4809298672429938976161494285767284791181312.000 75928521878754713957161022752023472242688.000
0.089 12.228 0.118 0.534 0.007 4544514921980378726863547274229657630670848.000 62617479114266291723878456783337955524608.000
1.096 10.394 0.078 0.664 0.007 3664708287884003258613039929564811759714304.000 32102978902635817848483888702495098142720.000
2.102 9.501 0.065 0.744 0.008 3212956057531584734531108276213431285055488.000 22200038307254290956329807933982568873984.000
3.109 9.262 0.062 0.770 0.008 3110017949831983407749495041632464145481728.000 20931890114915083961233713516745089613824.000
4.116 8.880 0.057 0.820 0.008 2979281999776699150774161663398118072254464.000 18374915685519547818510702405078636036096.000
5.123 8.483 0.052 0.876 0.009 2829162154919228875290460391197464089067520.000 15632288802857061730114151003774926192640.000
6.129 8.130 0.048 0.933 0.009 2708281064808163878762281983314846852055040.000 13424670993702530608199320147679953027072.000
7.136 7.819 0.045 0.991 0.010 2613612054824608943209202993148025871794176.000 11645487463000094041847438672324431183872.000
8.143 7.545 0.042 1.049 0.010 2538833741767777998772881411409711923724288.000 10191266968085765922963554687279794487296.000
9.150 7.302 0.040 1.106 0.011 2479068620394742014355173157662470214516736.000 8973675788959482942259632151390903599104.000
10.157 6.950 0.034 1.213 0.011 2443696667058687959341971206520450142175232.000 7370765364374920538535332867442068160512.000
11.163 6.882 0.034 1.225 0.011 2397328884048099866916138986064339433160704.000 6983587244728494656480383285047173578752.000
12.170 6.714 0.033 1.275 0.012 2355722462988467814392075627408774997737472.000 6248001441848141733309282582065049501696.000
13.177 6.535 0.031 1.339 0.012 2328089076960498594078522013351988026146816.000 5574026898267177791131077122785040924672.000
14.184 6.414 0.030 1.380 0.013 2295412462903464442865403378870103396319232.000 5157050982006854128524272711164818882560.000
15.190 6.374 0.030 1.383 0.013 2249693324845527752029745421826175134597120.000 4963661964275192737531475029657498157056.000
16.197 6.093 0.026 1.494 0.013 2191886163238069921737524027290184411250688.000 4404854051345858679091350726106025033728.000
17.204 5.993 0.025 1.529 0.013 2148592907271007793213018800019581872111616.000 4419022944167115604474362590554306379776.000
18.211 5.816 0.023 1.626 0.014 2154859888219139911785680749874167410589696.000 4756720631609877903047285933873400119296.000
19.218 5.709 0.022 1.669 0.014 2108393023024231120109726425072838933217280.000 4933495589567193464531184384873661988864.000
20.224 5.790 0.023 1.610 0.014 2075986689948209051826700601343535799599104.000 4737208223788140177802824211176582283264.000
21.231 5.738 0.023 1.622 0.014 2030982034183351956912134419949662412734464.000 4778184249569385306571300603586368503808.000
22.238 5.534 0.021 1.738 0.014 2019932691946303141805493061326888065040384.000 5246142980671504478342725381796747280384.000
