"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-47.006 4.709 0.027 0.835 0.013 41.388 39.300
-46.002 4.565 0.024 0.926 0.013 41.424 39.345
-44.997 4.731 0.025 0.837 0.012 41.398 39.279
-43.993 4.627 0.023 0.884 0.012 41.407 39.288
-42.989 4.730 0.023 0.849 0.011 41.410 39.260
-41.984 4.839 0.024 0.815 0.010 41.414 39.233
-40.980 4.953 0.025 0.782 0.010 41.418 39.206
-39.975 5.073 0.025 0.750 0.009 41.424 39.179
-38.971 5.188 0.026 0.722 0.009 41.429 39.155
-37.967 5.019 0.024 0.767 0.009 41.425 39.181
-36.962 4.863 0.022 0.814 0.009 41.422 39.207
-35.958 4.742 0.020 0.862 0.010 41.428 39.230
-34.954 4.630 0.019 0.908 0.010 41.431 39.249
-33.949 4.696 0.019 0.828 0.009 41.375 39.178
-32.945 4.676 0.019 0.839 0.009 41.380 39.184
-31.940 4.657 0.018 0.850 0.009 41.384 39.191
-30.936 4.638 0.018 0.861 0.009 41.388 39.198
-29.932 4.619 0.017 0.873 0.009 41.393 39.206
-28.927 4.600 0.017 0.884 0.009 41.397 39.213
-27.923 4.581 0.017 0.896 0.009 41.402 39.222
-26.919 4.563 0.016 0.908 0.009 41.406 39.230
-25.914 4.545 0.016 0.920 0.009 41.410 39.238
-24.910 4.526 0.016 0.932 0.009 41.415 39.246
-23.906 4.508 0.016 0.944 0.009 41.419 39.255
-22.901 4.491 0.016 0.957 0.010 41.424 39.263
-21.897 4.473 0.015 0.969 0.010 41.428 39.271
-20.892 4.456 0.015 0.982 0.010 41.433 39.279
-19.888 4.438 0.015 0.995 0.010 41.437 39.287
-18.884 4.421 0.015 1.008 0.010 41.442 39.295
-17.879 4.404 0.014 1.021 0.010 41.446 39.303
-16.875 4.388 0.014 1.034 0.010 41.451 39.310
-15.871 4.371 0.014 1.048 0.010 41.456 39.318
-14.866 4.355 0.014 1.061 0.010 41.460 39.325
-13.862 4.339 0.014 1.075 0.010 41.465 39.332
-12.858 4.323 0.014 1.088 0.011 41.470 39.339
-11.853 4.308 0.014 1.102 0.011 41.474 39.346
-10.849 4.292 0.013 1.116 0.011 41.479 39.352
-9.844 4.278 0.013 1.130 0.011 41.484 39.359
-8.840 4.258 0.013 1.146 0.011 41.488 39.366
-7.836 4.215 0.013 1.176 0.011 41.492 39.376
-6.831 4.172 0.013 1.206 0.012 41.497 39.386
-5.827 4.131 0.012 1.236 0.012 41.501 39.396
-4.823 4.090 0.012 1.268 0.012 41.506 39.406
-3.818 4.050 0.012 1.300 0.012 41.510 39.416
-2.814 4.011 0.012 1.333 0.013 41.515 39.425
-1.809 3.973 0.011 1.366 0.013 41.520 39.434
-0.805 3.935 0.011 1.401 0.013 41.525 39.443
0.199 3.898 0.011 1.436 0.014 41.531 39.452
1.204 3.902 0.011 1.424 0.014 41.525 39.444
2.208 3.907 0.011 1.413 0.013 41.520 39.436
3.212 3.911 0.011 1.401 0.013 41.515 39.427
4.217 3.915 0.011 1.390 0.013 41.510 39.418
5.221 3.919 0.011 1.378 0.013 41.504 39.408
6.225 3.923 0.011 1.367 0.013 41.499 39.398
7.230 3.928 0.011 1.356 0.012 41.494 39.388
8.234 3.932 0.011 1.345 0.012 41.489 39.377
9.239 3.936 0.011 1.334 0.012 41.483 39.366
10.243 3.940 0.010 1.323 0.012 41.478 39.355
11.247 3.944 0.010 1.313 0.011 41.473 39.343
12.252 3.948 0.010 1.302 0.011 41.468 39.330
13.256 3.952 0.010 1.292 0.011 41.463 39.317
14.260 3.955 0.010 1.282 0.011 41.457 39.304
15.265 3.959 0.010 1.272 0.010 41.452 39.290
16.269 3.963 0.010 1.262 0.010 41.447 39.275
17.273 3.966 0.009 1.253 0.010 41.442 39.260
18.278 3.970 0.009 1.243 0.009 41.437 39.245
19.282 3.973 0.009 1.234 0.009 41.432 39.230
20.287 3.976 0.009 1.225 0.009 41.427 39.214
21.291 3.979 0.008 1.216 0.009 41.421 39.197
22.295 3.982 0.008 1.207 0.008 41.416 39.181
23.300 3.985 0.008 1.198 0.008 41.411 39.164
24.304 3.988 0.008 1.189 0.008 41.406 39.147
25.308 3.990 0.008 1.180 0.007 41.401 39.131
26.313 3.993 0.007 1.172 0.007 41.396 39.114
27.317 3.996 0.007 1.163 0.007 41.390 39.098
28.322 3.999 0.007 1.154 0.007 41.385 39.083
29.326 3.997 0.007 1.147 0.006 41.379 39.068
30.330 3.950 0.006 1.154 0.006 41.364 39.050
31.335 3.904 0.006 1.161 0.006 41.348 39.034
32.339 3.879 0.006 1.158 0.006 41.335 39.020
33.343 3.915 0.006 1.127 0.006 41.328 39.014
34.348 3.900 0.006 1.120 0.006 41.316 39.003
35.352 3.826 0.006 1.115 0.006 41.278 38.965
36.356 3.923 0.007 1.028 0.006 41.251 38.939
37.361 3.918 0.007 1.053 0.006 41.270 38.963
38.365 3.826 0.007 1.102 0.006 41.268 38.978
39.370 3.739 0.006 1.152 0.007 41.267 38.994
40.374 3.658 0.006 1.202 0.007 41.266 39.010
41.378 3.580 0.006 1.254 0.008 41.265 39.027
42.383 3.506 0.006 1.306 0.008 41.264 39.045
43.387 3.456 0.006 1.337 0.009 41.260 39.057
44.391 3.465 0.006 1.304 0.009 41.242 39.051
45.396 3.473 0.007 1.273 0.009 41.225 39.045
46.400 3.480 0.007 1.242 0.009 41.208 39.039
47.404 3.488 0.007 1.213 0.009 41.191 39.033
48.409 3.495 0.008 1.185 0.009 41.174 39.027
49.413 3.502 0.008 1.158 0.009 41.157 39.020
50.418 3.508 0.008 1.131 0.009 41.140 39.014
51.422 3.515 0.009 1.106 0.009 41.124 39.007
52.426 3.521 0.009 1.081 0.009 41.107 39.000
53.431 3.527 0.009 1.057 0.009 41.091 38.993
54.435 3.533 0.010 1.034 0.009 41.074 38.986
55.439 3.538 0.010 1.012 0.009 41.058 38.978
56.444 3.544 0.010 0.990 0.010 41.042 38.970
57.448 3.549 0.011 0.969 0.010 41.026 38.962
58.453 3.554 0.011 0.948 0.010 41.010 38.954
59.457 3.558 0.011 0.929 0.010 40.993 38.946
60.461 3.563 0.011 0.909 0.010 40.978 38.937
61.466 3.567 0.012 0.891 0.010 40.962 38.929
62.470 3.571 0.012 0.873 0.010 40.946 38.920
63.474 3.575 0.012 0.855 0.010 40.930 38.912
64.479 3.579 0.013 0.838 0.010 40.915 38.903
65.483 3.583 0.013 0.822 0.010 40.899 38.895
66.487 3.586 0.013 0.806 0.010 40.883 38.886
67.492 3.589 0.014 0.790 0.010 40.868 38.878
68.496 3.595 0.014 0.760 0.010 40.837 38.862
69.501 3.598 0.015 0.746 0.010 40.822 38.854
70.505 3.600 0.015 0.732 0.010 40.807 38.847
71.509 3.603 0.015 0.718 0.010 40.792 38.840
72.514 3.606 0.016 0.710 0.010 40.784 38.839
73.518 3.611 0.016 0.705 0.010 40.779 38.843
74.522 3.615 0.016 0.700 0.010 40.775 38.846
75.527 3.619 0.017 0.694 0.010 40.770 38.849
76.531 3.623 0.017 0.689 0.010 40.766 38.853
77.535 3.627 0.017 0.684 0.010 40.762 38.857
78.540 3.631 0.018 0.679 0.011 40.757 38.860
79.544 3.635 0.018 0.675 0.011 40.753 38.864
80.549 3.639 0.019 0.670 0.011 40.749 38.868
81.553 3.643 0.019 0.665 0.011 40.744 38.872
82.557 3.647 0.019 0.661 0.011 40.740 38.875
83.562 3.651 0.020 0.656 0.011 40.736 38.879
84.566 3.654 0.020 0.651 0.011 40.732 38.882
85.570 3.658 0.020 0.647 0.011 40.728 38.886
86.575 3.662 0.021 0.642 0.012 40.723 38.889
87.579 3.666 0.021 0.638 0.012 40.719 38.892
88.584 3.670 0.021 0.634 0.012 40.715 38.895
89.588 3.673 0.022 0.629 0.012 40.711 38.898
90.592 3.677 0.022 0.625 0.012 40.707 38.901
91.597 3.681 0.022 0.621 0.012 40.702 38.903
92.601 3.685 0.023 0.616 0.012 40.698 38.905
93.605 3.689 0.023 0.612 0.012 40.694 38.908
94.610 3.692 0.023 0.608 0.012 40.690 38.910
95.614 3.696 0.024 0.604 0.012 40.686 38.911
96.618 3.700 0.024 0.600 0.012 40.681 38.913
97.623 3.704 0.024 0.596 0.013 40.677 38.914
98.627 3.708 0.025 0.591 0.013 40.673 38.916
99.632 3.711 0.025 0.587 0.013 40.669 38.917
100.636 3.715 0.025 0.583 0.013 40.665 38.917
101.640 3.719 0.026 0.579 0.013 40.660 38.918
102.645 3.723 0.026 0.575 0.013 40.656 38.919
103.649 3.727 0.026 0.571 0.013 40.652 38.919
104.653 3.731 0.027 0.567 0.013 40.648 38.919
105.658 3.735 0.027 0.563 0.013 40.644 38.919
106.662 3.739 0.027 0.559 0.013 40.639 38.919
107.667 3.743 0.027 0.556 0.013 40.635 38.918
108.671 3.747 0.028 0.552 0.013 40.631 38.918
109.675 3.751 0.028 0.548 0.013 40.627 38.917
110.680 3.755 0.028 0.544 0.013 40.622 38.916
111.684 3.759 0.028 0.540 0.013 40.618 38.915
112.688 3.763 0.029 0.536 0.013 40.614 38.914
113.693 3.767 0.029 0.533 0.013 40.610 38.912
114.697 3.771 0.029 0.529 0.013 40.605 38.911
115.701 3.775 0.029 0.525 0.013 40.601 38.909
116.706 3.779 0.030 0.521 0.013 40.597 38.907
117.710 3.783 0.030 0.518 0.013 40.592 38.905
118.715 3.787 0.030 0.514 0.013 40.588 38.903
119.719 3.792 0.030 0.510 0.013 40.584 38.901
120.723 3.796 0.030 0.507 0.013 40.579 38.898
121.728 3.800 0.030 0.503 0.013 40.575 38.896
122.732 3.804 0.031 0.499 0.013 40.571 38.893
123.736 3.808 0.031 0.496 0.013 40.567 38.891
124.741 3.813 0.031 0.492 0.013 40.562 38.888
125.745 3.817 0.031 0.489 0.013 40.558 38.885
126.749 3.821 0.031 0.485 0.013 40.554 38.882
127.754 3.825 0.031 0.482 0.013 40.549 38.878
128.758 3.830 0.031 0.478 0.012 40.545 38.875
129.763 3.834 0.032 0.475 0.012 40.541 38.872
130.767 3.838 0.032 0.471 0.012 40.536 38.868
131.771 3.842 0.032 0.468 0.012 40.532 38.865
132.776 3.847 0.032 0.465 0.012 40.527 38.861
133.780 3.851 0.032 0.461 0.012 40.523 38.857
134.784 3.855 0.032 0.458 0.012 40.519 38.853
135.789 3.860 0.032 0.455 0.012 40.514 38.850
136.793 3.864 0.032 0.451 0.012 40.510 38.846
137.798 3.868 0.032 0.448 0.012 40.506 38.842
138.802 3.872 0.032 0.445 0.012 40.501 38.838
