"Time (MJD)" "Bol. Lum" "Bol. Err"
-47.006 41.388 39.3
-46.002 41.424 39.345
-44.997 41.398 39.279
-43.993 41.407 39.288
-42.989 41.41 39.26
-41.984 41.414 39.233
-40.98 41.418 39.206
-39.975 41.424 39.179
-38.971 41.429 39.155
-37.967 41.425 39.181
-36.962 41.422 39.207
-35.958 41.428 39.23
-34.954 41.431 39.249
-33.949 41.375 39.178
-32.945 41.38 39.184
-31.94 41.384 39.191
-30.936 41.388 39.198
-29.932 41.393 39.206
-28.927 41.397 39.213
-27.923 41.402 39.222
-26.919 41.406 39.23
-25.914 41.41 39.238
-24.91 41.415 39.246
-23.906 41.419 39.255
-22.901 41.424 39.263
-21.897 41.428 39.271
-20.892 41.433 39.279
-19.888 41.437 39.287
-18.884 41.442 39.295
-17.879 41.446 39.303
-16.875 41.451 39.31
-15.871 41.456 39.318
-14.866 41.46 39.325
-13.862 41.465 39.332
-12.858 41.47 39.339
-11.853 41.474 39.346
-10.849 41.479 39.352
-9.844 41.484 39.359
-8.84 41.488 39.366
-7.836 41.492 39.376
-6.831 41.497 39.386
-5.827 41.501 39.396
-4.823 41.506 39.406
-3.818 41.51 39.416
-2.814 41.515 39.425
-1.809 41.52 39.434
-0.805 41.525 39.443
0.199 41.531 39.452
1.204 41.525 39.444
2.208 41.52 39.436
3.212 41.515 39.427
4.217 41.51 39.418
5.221 41.504 39.408
6.225 41.499 39.398
7.23 41.494 39.388
8.234 41.489 39.377
9.239 41.483 39.366
10.243 41.478 39.355
11.247 41.473 39.343
12.252 41.468 39.33
13.256 41.463 39.317
14.26 41.457 39.304
15.265 41.452 39.29
16.269 41.447 39.275
17.273 41.442 39.26
18.278 41.437 39.245
19.282 41.432 39.23
20.287 41.427 39.214
21.291 41.421 39.197
22.295 41.416 39.181
23.3 41.411 39.164
24.304 41.406 39.147
25.308 41.401 39.131
26.313 41.396 39.114
27.317 41.39 39.098
28.322 41.385 39.083
29.326 41.379 39.068
30.33 41.364 39.05
31.335 41.348 39.034
32.339 41.335 39.02
33.343 41.328 39.014
34.348 41.316 39.003
35.352 41.278 38.965
36.356 41.251 38.939
37.361 41.27 38.963
38.365 41.268 38.978
39.37 41.267 38.994
40.374 41.266 39.01
41.378 41.265 39.027
42.383 41.264 39.045
43.387 41.26 39.057
44.391 41.242 39.051
45.396 41.225 39.045
46.4 41.208 39.039
47.404 41.191 39.033
48.409 41.174 39.027
49.413 41.157 39.02
50.418 41.14 39.014
51.422 41.124 39.007
52.426 41.107 39.0
53.431 41.091 38.993
54.435 41.074 38.986
55.439 41.058 38.978
56.444 41.042 38.97
57.448 41.026 38.962
58.453 41.01 38.954
59.457 40.993 38.946
60.461 40.978 38.937
61.466 40.962 38.929
62.47 40.946 38.92
63.474 40.93 38.912
64.479 40.915 38.903
65.483 40.899 38.895
66.487 40.883 38.886
67.492 40.868 38.878
68.496 40.837 38.862
69.501 40.822 38.854
70.505 40.807 38.847
71.509 40.792 38.84
72.514 40.784 38.839
73.518 40.779 38.843
74.522 40.775 38.846
75.527 40.77 38.849
76.531 40.766 38.853
77.535 40.762 38.857
78.54 40.757 38.86
79.544 40.753 38.864
80.549 40.749 38.868
81.553 40.744 38.872
82.557 40.74 38.875
83.562 40.736 38.879
84.566 40.732 38.882
85.57 40.728 38.886
86.575 40.723 38.889
87.579 40.719 38.892
88.584 40.715 38.895
89.588 40.711 38.898
90.592 40.707 38.901
91.597 40.702 38.903
92.601 40.698 38.905
93.605 40.694 38.908
94.61 40.69 38.91
95.614 40.686 38.911
96.618 40.681 38.913
97.623 40.677 38.914
98.627 40.673 38.916
99.632 40.669 38.917
100.636 40.665 38.917
101.64 40.66 38.918
102.645 40.656 38.919
103.649 40.652 38.919
104.653 40.648 38.919
105.658 40.644 38.919
106.662 40.639 38.919
107.667 40.635 38.918
108.671 40.631 38.918
109.675 40.627 38.917
110.68 40.622 38.916
111.684 40.618 38.915
112.688 40.614 38.914
113.693 40.61 38.912
114.697 40.605 38.911
115.701 40.601 38.909
116.706 40.597 38.907
117.71 40.592 38.905
118.715 40.588 38.903
119.719 40.584 38.901
120.723 40.579 38.898
121.728 40.575 38.896
122.732 40.571 38.893
123.736 40.567 38.891
124.741 40.562 38.888
125.745 40.558 38.885
126.749 40.554 38.882
127.754 40.549 38.878
128.758 40.545 38.875
129.763 40.541 38.872
130.767 40.536 38.868
131.771 40.532 38.865
132.776 40.527 38.861
133.78 40.523 38.857
134.784 40.519 38.853
135.789 40.514 38.85
136.793 40.51 38.846
137.798 40.506 38.842
138.802 40.501 38.838
139.806 40.497 38.834
140.811 40.493 38.83
141.815 40.488 38.826
142.819 40.484 38.822
143.824 40.48 38.818
144.828 40.476 38.814
145.832 40.471 38.81
146.837 40.467 38.806
147.841 40.463 38.802
148.846 40.458 38.798
149.85 40.454 38.795
150.854 40.45 38.791
151.859 40.446 38.787
152.863 40.442 38.784
153.867 40.437 38.781
154.872 40.433 38.778
155.876 40.429 38.775
156.88 40.425 38.772
157.885 40.421 38.769
158.889 40.416 38.766
159.894 40.412 38.764
160.898 40.395 38.773
161.902 40.39 38.772
162.907 40.384 38.772
163.911 40.379 38.772
164.915 40.374 38.772
165.92 40.368 38.772
166.924 40.362 38.773
167.929 40.357 38.773
168.933 40.351 38.774
169.937 40.345 38.775
170.942 40.339 38.776
171.946 40.334 38.777
172.95 40.328 38.778
173.955 40.321 38.78
174.959 40.315 38.781
175.963 40.309 38.783
176.968 40.303 38.785
177.972 40.296 38.787
178.977 40.29 38.789
