"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-48.968 4.721 0.005 0.243 0.001 40.321 37.751
-47.966 4.674 0.004 0.248 0.001 40.322 37.708
-46.963 4.628 0.004 0.254 0.001 40.323 37.679
-45.961 4.592 0.003 0.259 0.001 40.326 37.660
-44.959 4.554 0.003 0.264 0.001 40.328 37.655
-43.956 4.510 0.003 0.270 0.001 40.331 37.660
-42.954 4.456 0.003 0.277 0.001 40.335 37.675
-41.951 4.402 0.003 0.286 0.001 40.339 37.693
-40.949 4.347 0.003 0.295 0.001 40.344 37.712
-39.947 4.293 0.003 0.304 0.001 40.349 37.731
-38.944 4.242 0.003 0.313 0.001 40.354 37.750
-37.942 4.236 0.003 0.315 0.001 40.357 37.760
-36.940 4.204 0.003 0.322 0.001 40.362 37.777
-35.937 4.176 0.003 0.327 0.001 40.365 37.794
-34.935 4.146 0.003 0.331 0.001 40.364 37.807
-33.933 4.117 0.003 0.336 0.001 40.363 37.819
-32.930 4.102 0.004 0.338 0.001 40.364 37.832
-31.928 4.084 0.004 0.342 0.001 40.365 37.844
-30.926 4.066 0.004 0.346 0.001 40.367 37.853
-29.923 4.046 0.004 0.350 0.001 40.369 37.860
-28.921 4.026 0.004 0.354 0.001 40.371 37.864
-27.918 4.006 0.004 0.359 0.001 40.374 37.864
-26.916 3.985 0.004 0.364 0.001 40.377 37.862
-25.914 3.963 0.003 0.370 0.001 40.380 37.856
-24.911 3.942 0.003 0.375 0.001 40.384 37.847
-23.909 3.920 0.003 0.381 0.001 40.389 37.835
-22.907 3.899 0.003 0.388 0.001 40.393 37.821
-21.904 3.877 0.003 0.394 0.001 40.399 37.805
-20.902 3.855 0.003 0.402 0.001 40.404 37.790
-19.900 3.833 0.003 0.409 0.001 40.410 37.778
-18.897 3.835 0.002 0.406 0.001 40.405 37.765
-17.895 3.716 0.002 0.464 0.001 40.466 37.839
-16.892 3.701 0.002 0.467 0.001 40.464 37.839
-15.890 3.684 0.002 0.470 0.001 40.463 37.841
-14.888 3.666 0.002 0.475 0.001 40.463 37.844
-13.885 3.646 0.002 0.480 0.001 40.463 37.843
-12.883 3.625 0.002 0.487 0.001 40.465 37.839
-11.881 3.604 0.002 0.494 0.001 40.466 37.829
-10.878 3.584 0.002 0.500 0.001 40.468 37.808
-9.876 3.607 0.002 0.490 0.001 40.463 37.766
-8.874 5.049 0.003 0.237 0.000 40.416 37.510
-7.871 4.899 0.002 0.267 0.000 40.465 37.522
-6.869 4.765 0.002 0.297 0.000 40.509 37.544
-5.867 3.506 0.001 0.536 0.001 40.490 37.679
-4.864 4.010 0.002 0.406 0.001 40.483 37.670
-3.862 4.653 0.002 0.309 0.001 40.503 37.712
-2.859 5.394 0.004 0.216 0.000 40.451 37.694
-1.857 6.586 0.008 0.142 0.000 40.433 37.659
-0.855 8.264 0.015 0.097 0.000 40.493 37.678
0.148 11.723 0.038 0.060 0.000 40.678 38.245
1.150 12.213 0.048 0.056 0.000 40.700 38.364
2.152 12.783 0.060 0.053 0.000 40.727 38.488
3.155 13.447 0.075 0.050 0.000 40.759 38.618
4.157 14.222 0.094 0.046 0.000 40.797 38.756
5.159 15.135 0.119 0.043 0.000 40.841 38.903
6.162 16.219 0.153 0.040 0.000 40.894 39.063
7.164 17.522 0.199 0.037 0.000 40.956 39.237
8.166 19.115 0.264 0.034 0.001 41.029 39.427
9.169 21.047 0.359 0.031 0.001 41.115 39.632
10.171 20.592 0.368 0.031 0.001 41.088 39.621
11.174 20.153 0.378 0.031 0.001 41.062 39.610
12.176 19.731 0.388 0.032 0.001 41.036 39.600
13.178 19.327 0.398 0.032 0.001 41.011 39.590
14.181 18.941 0.407 0.033 0.001 40.986 39.580
15.183 18.573 0.417 0.033 0.001 40.962 39.571
16.185 18.222 0.426 0.033 0.001 40.939 39.561
17.188 17.888 0.435 0.034 0.001 40.916 39.551
18.190 17.569 0.444 0.034 0.001 40.894 39.542
19.192 17.266 0.453 0.034 0.001 40.872 39.532
20.195 17.089 0.468 0.034 0.001 40.856 39.533
21.197 16.700 0.469 0.035 0.001 40.830 39.513
22.199 16.536 0.484 0.035 0.001 40.815 39.513
23.202 16.185 0.484 0.036 0.001 40.791 39.493
24.204 16.032 0.498 0.036 0.001 40.776 39.492
25.207 15.715 0.498 0.036 0.001 40.753 39.474
26.209 15.572 0.511 0.036 0.001 40.738 39.472
27.211 15.284 0.511 0.037 0.002 40.717 39.454
28.214 15.091 0.518 0.037 0.002 40.700 39.445
29.216 14.957 0.529 0.037 0.002 40.686 39.441
30.218 14.701 0.529 0.037 0.002 40.666 39.424
31.221 14.530 0.535 0.038 0.002 40.650 39.415
32.223 14.358 0.540 0.038 0.002 40.634 39.405
33.225 14.191 0.546 0.038 0.002 40.619 39.394
34.228 14.031 0.550 0.038 0.002 40.603 39.384
35.230 13.876 0.555 0.038 0.002 40.588 39.374
36.233 13.726 0.560 0.038 0.002 40.573 39.364
37.235 13.582 0.564 0.039 0.002 40.558 39.354
38.237 13.442 0.568 0.039 0.002 40.544 39.344
39.240 13.307 0.572 0.039 0.002 40.530 39.333
40.242 13.176 0.576 0.039 0.002 40.516 39.323
41.244 13.050 0.579 0.039 0.002 40.502 39.313
42.247 12.927 0.583 0.039 0.002 40.489 39.303
43.249 12.807 0.586 0.039 0.002 40.475 39.292
44.251 12.692 0.589 0.040 0.002 40.462 39.282
45.254 12.579 0.592 0.040 0.003 40.449 39.272
46.256 12.470 0.595 0.040 0.003 40.436 39.261
47.258 12.364 0.598 0.040 0.003 40.424 39.251
48.261 12.260 0.601 0.040 0.003 40.411 39.241
49.263 12.160 0.603 0.040 0.003 40.399 39.230
50.266 12.062 0.605 0.040 0.003 40.386 39.220
51.268 11.966 0.608 0.040 0.003 40.374 39.210
52.270 11.873 0.610 0.040 0.003 40.362 39.199
53.273 11.782 0.612 0.040 0.003 40.351 39.189
54.275 11.693 0.613 0.040 0.003 40.339 39.179
55.277 11.607 0.615 0.041 0.003 40.327 39.168
56.280 11.522 0.617 0.041 0.003 40.316 39.158
57.282 11.440 0.618 0.041 0.003 40.304 39.147
