"Time (MJD)" "Bol. Lum" "Bol. Err"
-48.968 40.321 37.751
-47.966 40.322 37.708
-46.963 40.323 37.679
-45.961 40.326 37.66
-44.959 40.328 37.655
-43.956 40.331 37.66
-42.954 40.335 37.675
-41.951 40.339 37.693
-40.949 40.344 37.712
-39.947 40.349 37.731
-38.944 40.354 37.75
-37.942 40.357 37.76
-36.94 40.362 37.777
-35.937 40.365 37.794
-34.935 40.364 37.807
-33.933 40.363 37.819
-32.93 40.364 37.832
-31.928 40.365 37.844
-30.926 40.367 37.853
-29.923 40.369 37.86
-28.921 40.371 37.864
-27.918 40.374 37.864
-26.916 40.377 37.862
-25.914 40.38 37.856
-24.911 40.384 37.847
-23.909 40.389 37.835
-22.907 40.393 37.821
-21.904 40.399 37.805
-20.902 40.404 37.79
-19.9 40.41 37.778
-18.897 40.405 37.765
-17.895 40.466 37.839
-16.892 40.464 37.839
-15.89 40.463 37.841
-14.888 40.463 37.844
-13.885 40.463 37.843
-12.883 40.465 37.839
-11.881 40.466 37.829
-10.878 40.468 37.808
-9.876 40.463 37.766
-8.874 40.416 37.51
-7.871 40.465 37.522
-6.869 40.509 37.544
-5.867 40.49 37.679
-4.864 40.483 37.67
-3.862 40.503 37.712
-2.859 40.451 37.694
-1.857 40.433 37.659
-0.855 40.493 37.678
0.148 40.678 38.245
1.15 40.7 38.364
2.152 40.727 38.488
3.155 40.759 38.618
4.157 40.797 38.756
5.159 40.841 38.903
6.162 40.894 39.063
7.164 40.956 39.237
8.166 41.029 39.427
9.169 41.115 39.632
10.171 41.088 39.621
11.174 41.062 39.61
12.176 41.036 39.6
13.178 41.011 39.59
14.181 40.986 39.58
15.183 40.962 39.571
16.185 40.939 39.561
17.188 40.916 39.551
18.19 40.894 39.542
19.192 40.872 39.532
20.195 40.856 39.533
21.197 40.83 39.513
22.199 40.815 39.513
23.202 40.791 39.493
24.204 40.776 39.492
25.207 40.753 39.474
26.209 40.738 39.472
27.211 40.717 39.454
28.214 40.7 39.445
29.216 40.686 39.441
30.218 40.666 39.424
31.221 40.65 39.415
32.223 40.634 39.405
33.225 40.619 39.394
34.228 40.603 39.384
35.23 40.588 39.374
36.233 40.573 39.364
37.235 40.558 39.354
38.237 40.544 39.344
39.24 40.53 39.333
40.242 40.516 39.323
41.244 40.502 39.313
42.247 40.489 39.303
43.249 40.475 39.292
44.251 40.462 39.282
45.254 40.449 39.272
46.256 40.436 39.261
47.258 40.424 39.251
48.261 40.411 39.241
49.263 40.399 39.23
50.266 40.386 39.22
51.268 40.374 39.21
52.27 40.362 39.199
53.273 40.351 39.189
54.275 40.339 39.179
55.277 40.327 39.168
56.28 40.316 39.158
57.282 40.304 39.147
58.284 40.293 39.137
59.287 40.282 39.126
60.289 40.271 39.116
61.291 40.26 39.106
62.294 40.249 39.095
63.296 40.238 39.085
64.299 40.227 39.074
65.301 40.217 39.064
66.303 40.206 39.053
67.306 40.196 39.043
68.308 40.185 39.032
69.31 40.175 39.022
70.313 40.165 39.011
71.315 40.154 39.001
72.317 40.144 38.99
73.32 40.134 38.98
74.322 40.124 38.969
75.324 40.114 38.959
76.327 40.104 38.949
77.329 40.095 38.938
78.332 40.085 38.928
79.334 40.075 38.917
80.336 40.065 38.907
81.339 40.056 38.896
82.341 40.046 38.886
83.343 40.037 38.876
84.346 40.027 38.865
85.348 40.018 38.855
86.35 40.008 38.845
87.353 39.999 38.834
88.355 39.99 38.824
89.358 39.981 38.814
90.36 39.971 38.803
91.362 39.962 38.793
92.365 39.953 38.783
93.367 39.944 38.773
94.369 39.935 38.763
95.372 39.926 38.752
96.374 39.917 38.742
97.376 39.908 38.732
98.379 39.899 38.722
99.381 39.89 38.712
100.383 39.882 38.702
101.386 39.873 38.692
102.388 39.864 38.682
103.391 39.855 38.672
104.393 39.846 38.662
105.395 39.838 38.652
106.398 39.829 38.643
107.4 39.821 38.633
108.402 39.812 38.623
109.405 39.803 38.613
110.407 39.795 38.604
111.409 39.786 38.594
112.412 39.778 38.584
113.414 39.769 38.575
114.416 39.761 38.565
115.419 39.753 38.556
116.421 39.744 38.547
117.424 39.736 38.537
118.426 39.728 38.528
119.428 39.719 38.519
120.431 39.711 38.509
121.433 39.703 38.5
122.435 39.694 38.491
123.438 39.686 38.482
124.44 39.678 38.473
125.442 39.67 38.464
126.445 39.662 38.455
127.447 39.654 38.446
128.449 39.645 38.437
129.452 39.637 38.428
130.454 39.629 38.419
131.457 39.621 38.41
132.459 39.613 38.402
133.461 39.605 38.393
134.464 39.597 38.384
135.466 39.589 38.376
136.468 39.581 38.367
137.471 39.573 38.359
138.473 39.565 38.35
139.475 39.558 38.342
140.478 39.55 38.333
141.48 39.542 38.325
142.483 39.534 38.316
143.485 39.526 38.308
144.487 39.518 38.3
145.49 39.51 38.292
146.492 39.503 38.283
147.494 39.495 38.275
148.497 39.487 38.267
149.499 39.479 38.259
150.501 39.472 38.251
151.504 39.464 38.243
152.506 39.456 38.234
153.508 39.449 38.226
154.511 39.441 38.218
155.513 39.433 38.21
156.516 39.426 38.202
157.518 39.418 38.194
158.52 39.41 38.186
159.523 39.403 38.179
160.525 39.395 38.171
161.527 39.388 38.163
162.53 39.38 38.155
163.532 39.372 38.147
164.534 39.357 38.131
165.537 39.35 38.123
166.539 39.342 38.115
167.541 39.335 38.107
168.544 39.327 38.1
169.546 39.32 38.092
170.549 39.313 38.084
171.551 39.305 38.076
172.553 39.298 38.068
173.556 39.29 38.06
174.558 39.283 38.052
175.56 39.276 38.044
176.563 39.268 38.036
177.565 39.261 38.028
178.567 39.253 38.02
179.57 39.246 38.012
180.572 39.239 38.004
181.574 39.231 37.996
182.577 39.224 37.988
183.579 39.217 37.98
184.582 39.21 37.972
185.584 39.202 37.964
186.586 39.195 37.956
187.589 39.188 37.948
188.591 39.18 37.94
189.593 39.173 37.932
190.596 39.166 37.923
191.598 39.159 37.915
192.6 39.152 37.907
193.603 39.144 37.898
194.605 39.137 37.89
195.608 39.13 37.882
196.61 39.123 37.873
197.612 39.116 37.865
198.615 39.109 37.856
199.617 39.102 37.848
200.619 39.094 37.839
201.622 39.087 37.831
202.624 39.08 37.822
203.626 39.073 37.813
204.629 39.066 37.804
205.631 39.059 37.796
206.633 39.052 37.787
207.636 39.045 37.778
208.638 39.038 37.769
209.641 39.031 37.76
210.643 39.024 37.751
211.645 39.017 37.741
212.648 39.01 37.732
213.65 39.003 37.723
214.652 38.996 37.714
215.655 38.989 37.704
216.657 38.982 37.695
217.659 38.975 37.685
218.662 38.968 37.676
219.664 38.961 37.666
220.666 38.954 37.656
221.669 38.947 37.647
222.671 38.941 37.637
223.674 38.934 37.627
224.676 38.927 37.617
225.678 38.92 37.607
226.681 38.913 37.596
227.683 38.906 37.586
228.685 38.899 37.576
229.688 38.893 37.565
230.69 38.886 37.555
231.692 38.879 37.544
232.695 38.872 37.534
233.697 38.866 37.523
234.699 38.859 37.512
235.702 38.852 37.501
236.704 38.845 37.49
237.707 38.839 37.478
238.709 38.832 37.467
239.711 38.825 37.456
240.714 38.819 37.444
241.716 38.812 37.432
242.718 38.805 37.421
243.721 38.799 37.409
244.723 38.792 37.397
245.725 38.786 37.384
246.728 38.779 37.372
247.73 38.773 37.36
248.733 38.766 37.347
249.735 38.76 37.334
250.737 38.753 37.321
251.74 38.747 37.308
252.742 38.74 37.295
253.744 38.734 37.282
254.747 38.727 37.268
255.749 38.721 37.254
256.751 38.715 37.24
257.754 38.708 37.226
258.756 38.702 37.212
259.758 38.696 37.197
260.761 38.689 37.183
261.763 38.683 37.168
262.766 38.677 37.152
263.768 38.671 37.137
264.77 38.665 37.121
265.773 38.659 37.105
266.775 38.653 37.089
267.777 38.646 37.072
268.78 38.64 37.056
269.782 38.635 37.038
270.784 38.629 37.021
271.787 38.623 37.003
272.789 38.617 36.985
273.791 38.611 36.967
274.794 38.605 36.948
275.796 38.6 36.929
276.799 38.594 36.909
277.801 38.588 36.889
278.803 38.583 36.868
279.806 38.577 36.847
280.808 38.572 36.826
281.81 38.567 36.804
282.813 38.561 36.782
283.815 38.556 36.759
284.817 38.551 36.735
285.82 38.546 36.712
286.822 38.541 36.687
287.824 38.536 36.663
288.827 38.531 36.638
289.829 38.525 36.612
290.832 38.52 36.587
291.834 38.515 36.561
292.836 38.51 36.536
293.839 38.505 36.511
294.841 38.5 36.487
295.843 38.499 36.464
296.846 38.493 36.44
297.848 38.487 36.416
298.85 38.481 36.394
299.853 38.475 36.372
300.855 38.469 36.351
301.858 38.463 36.33
302.86 38.457 36.31
303.862 38.45 36.289
304.865 38.444 36.269
305.867 38.438 36.248
306.869 38.431 36.228
307.872 38.425 36.207
308.874 38.418 36.186
309.876 38.405 36.165
310.879 38.392 36.144
311.881 38.387 36.124
312.883 38.382 36.104
313.886 38.377 36.086
314.888 38.371 36.068
315.891 38.365 36.052
316.893 38.342 36.031
317.895 38.129 35.945
318.898 38.128 35.931
319.9 38.323 35.983
320.902 38.359 35.932
321.905 38.41 35.926
322.907 38.39 35.919
323.909 38.371 35.914
324.912 38.353 35.91
325.914 38.334 35.907
326.916 38.317 35.904
327.919 38.299 35.901
328.921 38.282 35.898
329.924 38.266 35.895
330.926 38.25 35.891
331.928 38.234 35.887
332.931 38.218 35.883
333.933 38.202 35.878
334.935 38.188 35.873
335.938 38.18 35.863
336.94 38.169 35.853
337.942 38.172 35.833
338.945 38.175 35.814
339.947 38.179 35.797
340.949 38.184 35.782
341.952 38.19 35.771
342.954 38.198 35.766
343.957 38.206 35.769
344.959 38.216 35.783
345.961 38.221 35.797
346.964 38.054 35.705
347.966 37.936 35.763
348.968 38.127 35.842
349.971 38.024 35.824
350.973 37.883 35.811
351.975 38.16 36.209
352.978 38.168 36.215
353.98 38.177 36.223
354.983 38.188 36.233
355.985 38.2 36.244
356.987 38.214 36.257
357.99 38.229 36.271
358.992 38.245 36.286
359.994 38.262 36.302
360.997 38.281 36.321
361.999 38.299 36.365
363.001 38.297 36.362
364.004 38.255 36.335
365.006 38.236 36.322
366.008 38.218 36.308
367.011 38.199 36.294
368.013 38.18 36.28
369.016 38.162 36.265
370.018 38.143 36.25
371.02 38.125 36.235
372.023 38.107 36.219
373.025 38.089 36.203
374.027 38.071 36.186
375.03 38.053 36.17
376.032 38.026 36.181
