"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-48.877 4.861 0.016 0.771 0.006 41.373 39.056
-47.872 4.789 0.014 0.801 0.006 41.381 39.031
-46.868 4.721 0.012 0.832 0.006 41.390 39.006
-45.864 4.655 0.011 0.865 0.005 41.398 38.979
-44.860 4.729 0.008 0.823 0.003 41.382 38.791
-43.856 4.709 0.007 0.832 0.003 41.385 38.761
-42.851 4.666 0.007 0.852 0.003 41.389 38.738
-41.847 4.598 0.006 0.892 0.003 41.404 38.730
-40.843 4.586 0.006 0.898 0.003 41.406 38.708
-39.839 4.575 0.005 0.903 0.003 41.406 38.690
-38.834 4.533 0.005 0.923 0.003 41.408 38.681
-37.830 4.494 0.005 0.947 0.003 41.416 38.683
-36.826 4.456 0.005 0.971 0.003 41.423 38.687
-35.822 4.422 0.005 0.994 0.003 41.430 38.692
-34.818 4.389 0.005 1.018 0.003 41.438 38.700
-33.813 4.387 0.005 1.017 0.003 41.437 38.695
-32.809 4.380 0.005 1.025 0.003 41.440 38.697
-31.805 4.372 0.005 1.032 0.003 41.442 38.699
-30.801 4.363 0.005 1.038 0.003 41.445 38.702
-29.797 4.355 0.005 1.045 0.003 41.447 38.706
-28.792 4.346 0.005 1.053 0.003 41.450 38.711
-27.788 4.345 0.005 1.056 0.003 41.452 38.717
-26.784 4.333 0.005 1.064 0.003 41.454 38.724
-25.780 4.322 0.005 1.072 0.003 41.456 38.733
-24.775 4.310 0.005 1.081 0.003 41.459 38.742
-23.771 4.298 0.005 1.090 0.003 41.461 38.751
-22.767 4.263 0.005 1.117 0.003 41.468 38.768
-21.763 4.233 0.005 1.146 0.003 41.478 38.786
-20.759 4.238 0.005 1.145 0.003 41.479 38.793
-19.754 4.242 0.005 1.144 0.004 41.480 38.801
-18.750 4.246 0.005 1.144 0.004 41.482 38.810
-17.746 4.262 0.005 1.122 0.004 41.471 38.811
-16.742 4.239 0.005 1.148 0.004 41.482 38.834
-15.737 4.217 0.005 1.173 0.004 41.492 38.857
-14.733 4.213 0.005 1.179 0.004 41.494 38.870
-13.729 4.200 0.005 1.188 0.004 41.495 38.886
-12.725 4.173 0.006 1.205 0.004 41.497 38.905
-11.721 4.157 0.006 1.217 0.005 41.499 38.924
-10.716 4.142 0.006 1.227 0.005 41.500 38.943
-9.712 4.147 0.006 1.221 0.005 41.497 38.955
-8.708 4.149 0.006 1.218 0.005 41.496 38.968
-7.704 4.135 0.006 1.228 0.005 41.497 38.987
-6.699 4.122 0.007 1.238 0.006 41.499 39.006
-5.695 4.109 0.007 1.249 0.006 41.501 39.025
-4.691 4.096 0.007 1.260 0.006 41.503 39.044
-3.687 4.082 0.007 1.271 0.006 41.504 39.063
-2.683 4.069 0.007 1.282 0.007 41.507 39.082
-1.678 4.055 0.008 1.294 0.007 41.509 39.102
-0.674 4.042 0.008 1.306 0.007 41.511 39.121
0.330 4.034 0.008 1.311 0.007 41.511 39.136
1.334 4.050 0.008 1.285 0.007 41.500 39.138
2.339 4.067 0.009 1.259 0.007 41.490 39.139
3.343 4.083 0.009 1.233 0.008 41.479 39.140
4.347 4.100 0.009 1.208 0.008 41.468 39.140
5.351 4.117 0.009 1.183 0.008 41.457 39.140
6.355 4.135 0.010 1.158 0.008 41.446 39.140
7.360 4.152 0.010 1.134 0.008 41.435 39.139
8.364 4.169 0.010 1.111 0.008 41.424 39.138
9.368 4.187 0.010 1.087 0.008 41.413 39.137
10.372 4.205 0.011 1.065 0.008 41.402 39.134
11.376 4.223 0.011 1.043 0.008 41.392 39.132
12.381 4.241 0.011 1.021 0.008 41.381 39.129
13.385 4.259 0.011 1.001 0.008 41.370 39.125
14.389 4.277 0.012 0.980 0.007 41.360 39.121
15.393 4.296 0.012 0.961 0.007 41.350 39.116
16.398 4.315 0.012 0.942 0.007 41.340 39.111
