"Time (MJD)" "Bol. Lum" "Bol. Err"
-48.877 41.373 39.056
-47.872 41.381 39.031
-46.868 41.39 39.006
-45.864 41.398 38.979
-44.86 41.382 38.791
-43.856 41.385 38.761
-42.851 41.389 38.738
-41.847 41.404 38.73
-40.843 41.406 38.708
-39.839 41.406 38.69
-38.834 41.408 38.681
-37.83 41.416 38.683
-36.826 41.423 38.687
-35.822 41.43 38.692
-34.818 41.438 38.7
-33.813 41.437 38.695
-32.809 41.44 38.697
-31.805 41.442 38.699
-30.801 41.445 38.702
-29.797 41.447 38.706
-28.792 41.45 38.711
-27.788 41.452 38.717
-26.784 41.454 38.724
-25.78 41.456 38.733
-24.775 41.459 38.742
-23.771 41.461 38.751
-22.767 41.468 38.768
-21.763 41.478 38.786
-20.759 41.479 38.793
-19.754 41.48 38.801
-18.75 41.482 38.81
-17.746 41.471 38.811
-16.742 41.482 38.834
-15.737 41.492 38.857
-14.733 41.494 38.87
-13.729 41.495 38.886
-12.725 41.497 38.905
-11.721 41.499 38.924
-10.716 41.5 38.943
-9.712 41.497 38.955
-8.708 41.496 38.968
-7.704 41.497 38.987
-6.699 41.499 39.006
-5.695 41.501 39.025
-4.691 41.503 39.044
-3.687 41.504 39.063
-2.683 41.507 39.082
-1.678 41.509 39.102
-0.674 41.511 39.121
0.33 41.511 39.136
1.334 41.5 39.138
2.339 41.49 39.139
3.343 41.479 39.14
4.347 41.468 39.14
5.351 41.457 39.14
6.355 41.446 39.14
7.36 41.435 39.139
8.364 41.424 39.138
9.368 41.413 39.137
10.372 41.402 39.134
11.376 41.392 39.132
12.381 41.381 39.129
13.385 41.37 39.125
14.389 41.36 39.121
15.393 41.35 39.116
16.398 41.34 39.111
17.402 41.331 39.105
18.406 41.322 39.099
19.41 41.313 39.092
20.414 41.305 39.085
21.419 41.297 39.077
22.423 41.29 39.069
23.427 41.284 39.06
24.431 41.278 39.051
25.436 41.272 39.041
26.44 41.267 39.031
27.444 41.263 39.021
28.448 41.258 39.011
29.452 41.253 39.001
30.457 41.248 38.991
31.461 41.243 38.981
32.465 41.236 38.971
33.469 41.226 38.959
34.474 41.213 38.949
35.478 41.195 38.947
36.482 41.177 38.946
37.486 41.157 38.944
38.49 41.137 38.943
39.495 41.116 38.942
40.499 41.095 38.94
41.503 41.074 38.939
42.507 41.053 38.937
43.512 41.031 38.935
44.516 41.011 38.951
45.52 40.973 38.931
46.524 40.913 38.906
47.528 40.84 38.888
48.533 40.766 38.882
49.537 40.704 38.892
50.541 40.66 38.912
51.545 40.66 38.922
52.549 40.656 38.92
53.554 40.653 38.917
54.558 40.647 38.917
55.562 40.647 38.933
56.566 40.464 38.694
57.571 40.647 38.943
58.575 40.686 38.994
59.579 40.677 38.99
60.583 40.666 38.986
61.587 40.656 38.981
62.592 40.647 38.977
63.596 40.637 38.973
64.6 40.628 38.968
65.604 40.619 38.964
66.609 40.61 38.96
67.613 40.602 38.955
68.617 40.595 38.951
69.621 40.588 38.947
70.625 40.578 38.942
71.63 40.574 38.94
72.634 40.571 38.939
73.638 40.569 38.938
74.642 40.567 38.938
75.647 40.566 38.938
76.651 40.565 38.939
77.655 40.565 38.94
78.659 40.566 38.936
79.663 40.588 38.954
80.668 40.594 38.957
81.672 40.586 38.952
82.676 40.645 39.113
83.68 40.629 39.098
84.684 40.614 39.083
85.689 40.598 39.069
86.693 40.583 39.055
87.697 40.583 39.061
88.701 40.584 39.067
89.706 40.584 39.073
90.71 40.577 39.068
91.714 40.57 39.063
92.718 40.562 39.057
93.722 40.555 39.052
94.727 40.547 39.046
95.731 40.54 39.041
96.735 40.533 39.036
97.739 40.535 39.042
98.744 40.537 39.049
99.748 40.541 39.056
100.752 40.544 39.064
101.756 40.547 39.072
102.76 40.55 39.08
103.765 40.542 39.073
104.769 40.533 39.066
105.773 40.524 39.06
106.777 40.515 39.053
107.782 40.51 39.049
108.786 40.504 39.045
109.79 40.498 39.041
110.794 40.493 39.038
111.798 40.487 39.034
112.803 40.482 39.03
113.807 40.476 39.026
114.811 40.471 39.022
115.815 40.465 39.018
116.82 40.46 39.014
117.824 40.454 39.01
118.828 40.449 39.006
119.832 40.444 39.002
120.836 40.438 38.998
121.841 40.433 38.993
122.845 40.429 38.991
123.849 40.425 38.989
124.853 40.421 38.987
125.857 40.417 38.985
126.862 40.413 38.982
127.866 40.409 38.98
128.87 40.405 38.977
129.874 40.401 38.974
130.879 40.397 38.972
131.883 40.393 38.969
132.887 40.389 38.966
133.891 40.385 38.964
134.895 40.381 38.961
135.9 40.377 38.958
136.904 40.373 38.956
137.908 40.369 38.953
138.912 40.365 38.951
139.917 40.361 38.949
140.921 40.357 38.946
141.925 40.369 38.969
142.929 40.347 38.948
143.933 40.325 38.927
144.938 40.304 38.906
145.942 40.283 38.887
146.946 40.278 38.884
147.95 40.273 38.881
148.955 40.268 38.878
149.959 40.264 38.876
150.963 40.259 38.873
151.967 40.254 38.871
152.971 40.25 38.869
153.976 40.245 38.868
154.98 40.241 38.866
155.984 40.236 38.865
156.988 40.232 38.864
157.993 40.228 38.864
158.997 40.227 38.866
160.001 40.226 38.869
161.005 40.225 38.872
162.009 40.224 38.876
163.014 40.223 38.879
164.018 40.222 38.883
165.022 40.221 38.886
166.026 40.22 38.89
167.03 40.22 38.894
168.035 40.219 38.898
169.039 40.219 38.903
170.043 40.218 38.907
171.047 40.218 38.912
172.052 40.218 38.916
173.056 40.218 38.921
174.06 40.218 38.926
175.064 40.218 38.931
176.068 40.218 38.936
177.073 40.218 38.941
178.077 40.218 38.946
179.081 40.218 38.952
180.085 40.218 38.957
181.09 40.218 38.963
182.094 40.218 38.969
183.098 40.218 38.974
184.102 40.217 38.98
185.106 40.217 38.986
186.111 40.16 38.985
187.115 40.157 38.989
188.119 40.15 38.99
189.123 40.142 38.99
