"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-34.909 5.882 0.122 0.545 0.025 41.404 39.496
-33.900 5.754 0.115 0.571 0.025 41.407 39.528
-32.891 5.947 0.072 0.524 0.013 41.388 39.309
-31.883 5.904 0.070 0.532 0.013 41.388 39.308
-30.874 5.861 0.069 0.539 0.013 41.388 39.308
-29.865 5.776 0.066 0.554 0.013 41.386 39.307
-28.856 5.693 0.064 0.568 0.013 41.383 39.308
-27.847 5.612 0.061 0.583 0.014 41.381 39.311
-26.838 5.533 0.059 0.599 0.014 41.379 39.316
-25.829 5.457 0.057 0.615 0.014 41.378 39.322
-24.820 5.388 0.042 0.633 0.011 41.382 39.241
-23.811 5.347 0.041 0.643 0.011 41.382 39.245
-22.802 5.319 0.032 0.645 0.009 41.375 39.170
-21.793 5.263 0.031 0.660 0.009 41.377 39.175
-20.784 5.208 0.030 0.676 0.009 41.379 39.180
-19.775 5.197 0.033 0.675 0.010 41.375 39.218
-18.766 5.139 0.032 0.693 0.010 41.377 39.221
-17.757 5.088 0.031 0.709 0.010 41.380 39.224
-16.748 5.054 0.030 0.719 0.010 41.381 39.224
-15.739 5.021 0.029 0.730 0.010 41.382 39.224
-14.730 4.989 0.028 0.740 0.010 41.384 39.225
-13.721 4.957 0.027 0.751 0.010 41.385 39.225
-12.712 4.925 0.027 0.762 0.010 41.386 39.225
-11.703 4.895 0.026 0.773 0.010 41.388 39.225
-10.694 4.867 0.025 0.782 0.010 41.388 39.225
-9.685 4.825 0.025 0.798 0.010 41.391 39.228
-8.676 4.784 0.024 0.814 0.010 41.393 39.232
-7.667 4.743 0.024 0.831 0.010 41.396 39.236
-6.658 4.703 0.023 0.848 0.010 41.399 39.240
-5.649 4.665 0.022 0.865 0.010 41.402 39.244
-4.640 4.627 0.022 0.882 0.010 41.405 39.248
-3.631 4.613 0.023 0.890 0.011 41.407 39.254
-2.622 4.592 0.023 0.898 0.011 41.407 39.253
-1.613 4.571 0.022 0.906 0.011 41.407 39.252
-0.604 4.546 0.022 0.916 0.011 41.407 39.252
0.405 4.527 0.022 0.924 0.011 41.407 39.249
1.414 4.502 0.021 0.934 0.011 41.407 39.249
2.422 4.461 0.020 0.952 0.011 41.408 39.252
3.431 4.436 0.020 0.963 0.011 41.408 39.252
4.440 4.414 0.020 0.972 0.011 41.408 39.252
