"Time (MJD)" "Bol. Lum" "Bol. Err"
-34.909 41.404 39.496
-33.9 41.407 39.528
-32.891 41.388 39.309
-31.883 41.388 39.308
-30.874 41.388 39.308
-29.865 41.386 39.307
-28.856 41.383 39.308
-27.847 41.381 39.311
-26.838 41.379 39.316
-25.829 41.378 39.322
-24.82 41.382 39.241
-23.811 41.382 39.245
-22.802 41.375 39.17
-21.793 41.377 39.175
-20.784 41.379 39.18
-19.775 41.375 39.218
-18.766 41.377 39.221
-17.757 41.38 39.224
-16.748 41.381 39.224
-15.739 41.382 39.224
-14.73 41.384 39.225
-13.721 41.385 39.225
-12.712 41.386 39.225
-11.703 41.388 39.225
-10.694 41.388 39.225
-9.685 41.391 39.228
-8.676 41.393 39.232
-7.667 41.396 39.236
-6.658 41.399 39.24
-5.649 41.402 39.244
-4.64 41.405 39.248
-3.631 41.407 39.254
-2.622 41.407 39.253
-1.613 41.407 39.252
-0.604 41.407 39.252
0.405 41.407 39.249
1.414 41.407 39.249
2.422 41.408 39.252
3.431 41.408 39.252
4.44 41.408 39.252
5.449 41.407 39.251
6.458 41.407 39.25
7.467 41.406 39.249
8.476 41.405 39.248
9.485 41.405 39.248
10.494 41.407 39.251
11.503 41.409 39.254
12.512 41.411 39.258
13.521 41.413 39.261
14.53 41.415 39.265
15.539 41.417 39.269
16.548 41.419 39.274
17.557 41.42 39.276
18.566 41.419 39.267
19.575 41.422 39.273
20.584 41.416 39.265
21.593 41.413 39.262
22.602 41.415 39.268
23.611 41.415 39.271
24.62 41.411 39.268
25.629 41.407 39.265
26.638 41.403 39.262
27.647 41.399 39.26
28.656 41.395 39.257
29.665 41.391 39.254
30.674 41.387 39.251
31.683 41.381 39.248
32.692 41.374 39.242
33.701 41.368 39.235
34.71 41.361 39.229
35.718 41.355 39.223
36.727 41.348 39.217
37.736 41.341 39.211
38.745 41.335 39.205
39.754 41.328 39.199
40.763 41.321 39.193
41.772 41.315 39.187
42.781 41.308 39.181
43.79 41.301 39.175
44.799 41.294 39.169
45.808 41.288 39.164
46.817 41.281 39.158
47.826 41.258 39.193
48.835 41.252 39.19
49.844 41.245 39.185
50.853 41.239 39.18
51.862 41.232 39.175
52.871 41.225 39.17
53.88 41.212 39.161
54.889 41.196 39.15
55.898 41.181 39.144
56.907 41.164 39.134
57.916 41.148 39.124
58.925 41.131 39.115
59.934 41.115 39.153
60.943 41.095 39.14
61.952 41.073 39.125
62.961 41.032 39.099
63.97 40.987 39.08
64.979 40.912 39.033
65.988 40.835 38.994
66.997 40.76 38.97
68.006 40.723 38.956
69.014 40.71 38.955
70.023 40.695 38.949
71.032 40.639 39.036
72.041 40.561 38.979
73.05 40.544 38.965
74.059 40.539 38.957
75.068 40.534 38.95
76.077 40.529 38.943
77.086 40.524 38.936
78.095 40.519 38.929
79.104 40.515 38.922
80.113 40.51 38.916
81.122 40.505 38.909
82.131 40.501 38.902
83.14 40.497 38.896
84.149 40.493 38.89
85.158 40.489 38.884
86.167 40.486 38.878
87.176 40.482 38.872
88.185 40.478 38.867
89.194 40.475 38.862
90.203 40.471 38.857
91.212 40.468 38.853
92.221 40.464 38.849
93.23 40.461 38.845
94.239 40.458 38.842
95.248 40.455 38.839
96.257 40.452 38.837
97.266 40.45 38.835
98.275 40.447 38.834
99.284 40.426 38.829
100.293 40.423 38.827
101.302 40.419 38.826
102.31 40.415 38.825
103.319 40.412 38.825
104.328 40.408 38.824
105.337 40.405 38.824
106.346 40.401 38.825
107.355 40.397 38.825
108.364 40.394 38.826
109.373 40.39 38.827
110.382 40.386 38.829
111.391 40.382 38.83
112.4 40.379 38.832
113.409 40.375 38.834
114.418 40.371 38.836
115.427 40.367 38.838
116.436 40.364 38.841
117.445 40.36 38.844
118.454 40.356 38.847
119.463 40.352 38.85
120.472 40.348 38.853
121.481 40.345 38.856
122.49 40.341 38.86
123.499 40.337 38.863
124.508 40.333 38.867
125.517 40.329 38.871
126.526 40.325 38.875
127.535 40.322 38.879
