"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
0.000 8.891 0.052 0.462 0.004 41.978 39.804
1.006 7.483 0.034 0.667 0.005 41.997 39.577
2.013 7.459 0.032 0.673 0.005 41.999 39.545
3.019 7.149 0.030 0.726 0.006 41.991 39.475
4.025 7.825 0.035 0.630 0.005 42.025 39.603
5.031 7.790 0.031 0.671 0.005 42.073 39.604
6.038 7.706 0.029 0.683 0.004 42.068 39.566
7.044 7.569 0.027 0.704 0.004 42.064 39.527
8.050 7.425 0.025 0.726 0.004 42.058 39.488
9.056 7.174 0.023 0.762 0.005 42.040 39.427
10.062 6.942 0.021 0.799 0.005 42.024 39.381
11.069 6.745 0.020 0.832 0.005 42.009 39.350
12.075 6.673 0.019 0.837 0.005 41.995 39.332
13.081 6.250 0.016 0.955 0.005 41.997 39.339
14.088 6.067 0.015 1.029 0.006 42.009 39.366
15.094 6.236 0.016 0.990 0.005 42.023 39.370
16.100 6.203 0.016 0.945 0.005 41.974 39.327
17.106 5.595 0.013 1.181 0.006 41.989 39.401
18.113 5.612 0.013 1.150 0.006 41.971 39.384
19.119 5.611 0.012 1.138 0.006 41.961 39.376
20.125 5.586 0.012 1.131 0.006 41.948 39.367
21.131 5.515 0.011 1.147 0.006 41.938 39.364
22.138 5.471 0.011 1.169 0.006 41.941 39.374
23.144 5.427 0.011 1.192 0.006 41.944 39.385
24.150 5.384 0.011 1.215 0.006 41.946 39.394
25.156 5.344 0.011 1.232 0.006 41.946 39.401
26.163 5.297 0.011 1.247 0.006 41.941 39.405
27.169 5.253 0.011 1.260 0.006 41.935 39.408
28.175 5.209 0.011 1.272 0.007 41.929 39.411
29.181 5.160 0.011 1.298 0.007 41.930 39.420
30.188 4.983 0.010 1.395 0.007 41.932 39.447
31.194 4.929 0.010 1.414 0.008 41.925 39.449
32.200 4.899 0.010 1.420 0.008 41.918 39.447
33.206 4.905 0.010 1.412 0.007 41.915 39.440
34.213 4.911 0.010 1.403 0.007 41.912 39.433
35.219 4.893 0.010 1.410 0.007 41.910 39.430
36.225 4.773 0.009 1.494 0.008 41.917 39.452
37.231 4.661 0.009 1.582 0.008 41.925 39.474
38.238 4.573 0.008 1.659 0.008 41.934 39.490
39.244 4.544 0.008 1.680 0.008 41.933 39.490
40.250 4.469 0.008 1.722 0.009 41.926 39.495
41.256 4.470 0.008 1.716 0.009 41.923 39.490
42.263 4.473 0.008 1.707 0.009 41.920 39.483
43.269 4.478 0.008 1.686 0.009 41.911 39.473
44.275 4.492 0.008 1.665 0.008 41.906 39.463
45.281 4.519 0.008 1.651 0.008 41.909 39.458
46.288 4.531 0.008 1.630 0.008 41.902 39.442
47.294 4.504 0.008 1.650 0.008 41.902 39.441
48.300 4.418 0.008 1.730 0.008 41.910 39.460
49.306 4.385 0.007 1.739 0.008 41.901 39.451
50.313 4.470 0.008 1.654 0.008 41.891 39.425
51.319 4.440 0.008 1.676 0.008 41.891 39.426
52.325 4.379 0.007 1.741 0.008 41.900 39.441
53.331 4.317 0.007 1.809 0.009 41.909 39.455
54.338 4.286 0.007 1.848 0.009 41.915 39.461
55.344 4.343 0.007 1.788 0.008 41.909 39.440
56.350 4.384 0.007 1.744 0.008 41.904 39.421
57.356 4.360 0.007 1.751 0.008 41.898 39.413
58.363 4.324 0.007 1.763 0.008 41.889 39.407
59.369 4.286 0.007 1.777 0.008 41.881 39.401
60.375 4.251 0.007 1.789 0.008 41.872 39.394
61.381 4.208 0.006 1.811 0.008 41.865 39.390
62.388 4.381 0.007 1.643 0.007 41.850 39.346
63.394 4.527 0.007 1.458 0.006 41.804 39.258
64.400 4.405 0.007 1.626 0.007 41.851 39.321
65.406 4.425 0.007 1.578 0.007 41.833 39.295
66.413 4.546 0.007 1.485 0.006 41.827 39.272
67.419 4.526 0.007 1.464 0.006 41.807 39.249
68.425 4.448 0.007 1.534 0.006 41.817 39.264
69.431 4.423 0.007 1.547 0.006 41.815 39.268
70.438 4.417 0.007 1.591 0.007 41.837 39.291
71.444 4.400 0.007 1.583 0.007 41.826 39.279
72.450 4.448 0.007 1.478 0.006 41.785 39.227
73.456 4.455 0.007 1.465 0.006 41.780 39.221
74.463 4.405 0.007 1.508 0.006 41.786 39.238
75.469 4.473 0.007 1.446 0.006 41.776 39.219
76.475 4.504 0.007 1.413 0.006 41.768 39.207
77.481 4.523 0.007 1.345 0.006 41.732 39.172
