"Time (MJD)" "Bol. Lum" "Bol. Err"
0.0 41.978 39.804
1.006 41.997 39.577
2.013 41.999 39.545
3.019 41.991 39.475
4.025 42.025 39.603
5.031 42.073 39.604
6.038 42.068 39.566
7.044 42.064 39.527
8.05 42.058 39.488
9.056 42.04 39.427
10.062 42.024 39.381
11.069 42.009 39.35
12.075 41.995 39.332
13.081 41.997 39.339
14.088 42.009 39.366
15.094 42.023 39.37
16.1 41.974 39.327
17.106 41.989 39.401
18.113 41.971 39.384
19.119 41.961 39.376
20.125 41.948 39.367
21.131 41.938 39.364
22.138 41.941 39.374
23.144 41.944 39.385
24.15 41.946 39.394
25.156 41.946 39.401
26.163 41.941 39.405
27.169 41.935 39.408
28.175 41.929 39.411
29.181 41.93 39.42
30.188 41.932 39.447
31.194 41.925 39.449
32.2 41.918 39.447
33.206 41.915 39.44
34.213 41.912 39.433
35.219 41.91 39.43
36.225 41.917 39.452
37.231 41.925 39.474
38.238 41.934 39.49
39.244 41.933 39.49
40.25 41.926 39.495
41.256 41.923 39.49
42.263 41.92 39.483
43.269 41.911 39.473
44.275 41.906 39.463
45.281 41.909 39.458
46.288 41.902 39.442
47.294 41.902 39.441
48.3 41.91 39.46
49.306 41.901 39.451
50.313 41.891 39.425
51.319 41.891 39.426
52.325 41.9 39.441
53.331 41.909 39.455
54.338 41.915 39.461
55.344 41.909 39.44
56.35 41.904 39.421
57.356 41.898 39.413
58.363 41.889 39.407
59.369 41.881 39.401
60.375 41.872 39.394
61.381 41.865 39.39
62.388 41.85 39.346
63.394 41.804 39.258
64.4 41.851 39.321
65.406 41.833 39.295
66.413 41.827 39.272
67.419 41.807 39.249
68.425 41.817 39.264
69.431 41.815 39.268
70.438 41.837 39.291
71.444 41.826 39.279
72.45 41.785 39.227
73.456 41.78 39.221
74.463 41.786 39.238
75.469 41.776 39.219
76.475 41.768 39.207
77.481 41.732 39.172
78.488 41.739 39.178
79.494 41.732 39.173
80.5 41.613 39.504
81.506 41.693 39.179
82.513 41.699 39.191
83.519 41.697 39.195
84.525 41.683 39.185
85.531 41.669 39.176
86.538 41.655 39.168
87.544 41.641 39.16
88.55 41.627 39.153
89.556 41.612 39.145
90.563 41.593 39.134
91.569 41.574 39.123
92.575 41.553 39.108
93.581 41.537 39.103
94.588 41.528 39.118
95.594 41.514 39.126
96.6 41.494 39.124
97.606 41.468 39.115
98.613 41.432 39.092
99.619 41.395 39.074
100.625 41.357 39.061
101.631 41.32 39.049
102.638 41.292 39.067
103.644 41.276 39.097
104.65 41.222 39.066
105.656 41.154 39.002
106.663 41.09 38.959
107.669 41.054 38.955
108.675 41.027 38.951
109.681 41.0 38.943
110.688 40.973 38.935
111.694 40.945 38.927
112.7 40.934 38.932
113.706 40.931 38.944
114.713 40.928 38.955
115.719 40.926 38.966
116.725 40.923 38.977
117.731 40.92 38.988
118.738 40.917 38.998
119.744 40.914 39.009
120.75 40.912 39.019
121.756 40.909 39.029
122.763 40.906 39.039
123.769 40.903 39.049
124.775 40.9 39.059
125.781 40.897 39.068
126.788 41.011 39.496
127.794 41.004 39.502
128.8 40.996 39.507
129.806 40.989 39.512
130.812 40.982 39.517
131.819 40.974 39.522
132.825 40.967 39.527
133.831 40.959 39.532
134.838 40.952 39.536
135.844 40.944 39.541
136.85 40.937 39.545
137.856 40.929 39.549
138.863 40.922 39.553
139.869 40.914 39.557
140.875 40.909 39.562
141.881 40.906 39.567
142.888 40.902 39.573
143.894 40.899 39.578
144.9 40.896 39.583
145.906 40.892 39.588
146.913 40.889 39.593
147.919 40.886 39.598
148.925 40.883 39.603
149.931 40.879 39.608
150.938 40.876 39.612
151.944 40.873 39.617
152.95 40.87 39.622
153.956 40.867 39.626
154.963 40.863 39.63
155.969 40.86 39.635
156.975 40.857 39.639
157.981 40.854 39.643
158.988 40.851 39.647
159.994 40.848 39.651
161.0 40.844 39.655
