"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-45.918 6.666 0.049 0.984 0.014 42.134 39.875
-44.914 6.561 0.045 1.013 0.013 42.132 39.842
-43.910 6.459 0.041 1.042 0.013 42.129 39.812
-42.905 6.360 0.038 1.072 0.013 42.127 39.785
-41.901 6.263 0.035 1.104 0.013 42.126 39.763
-40.897 6.168 0.032 1.136 0.012 42.124 39.743
-39.893 6.076 0.029 1.170 0.012 42.124 39.727
-38.889 5.975 0.027 1.201 0.012 42.117 39.709
-37.884 5.876 0.025 1.233 0.011 42.111 39.694
-36.880 5.792 0.023 1.264 0.011 42.108 39.683
-35.876 5.710 0.022 1.297 0.011 42.105 39.673
-34.872 5.631 0.020 1.329 0.011 42.102 39.666
-33.867 5.564 0.019 1.359 0.011 42.100 39.659
-32.863 5.499 0.018 1.388 0.011 42.099 39.654
-31.859 5.436 0.017 1.418 0.011 42.097 39.650
-30.855 5.374 0.017 1.448 0.011 42.096 39.647
-29.850 5.314 0.016 1.479 0.011 42.095 39.645
-28.846 5.256 0.015 1.510 0.011 42.094 39.645
-27.842 5.199 0.015 1.542 0.011 42.093 39.645
-26.838 5.139 0.014 1.578 0.011 42.093 39.648
-25.833 5.081 0.014 1.615 0.011 42.093 39.651
-24.829 5.028 0.013 1.651 0.011 42.094 39.656
-23.825 4.974 0.013 1.696 0.011 42.098 39.663
-22.821 4.921 0.012 1.743 0.011 42.104 39.672
-21.816 4.868 0.012 1.792 0.011 42.109 39.682
-20.812 4.837 0.012 1.818 0.012 42.110 39.685
-19.808 4.806 0.012 1.844 0.012 42.111 39.689
-18.804 4.775 0.011 1.870 0.012 42.112 39.692
-17.800 4.745 0.011 1.896 0.012 42.114 39.696
-16.795 4.704 0.011 1.905 0.012 42.102 39.695
-15.791 4.655 0.011 1.920 0.012 42.091 39.696
-14.787 4.643 0.011 1.966 0.012 42.107 39.707
