"Time (MJD)" "Bol. Lum" "Bol. Err"
-45.918 42.134 39.875
-44.914 42.132 39.842
-43.91 42.129 39.812
-42.905 42.127 39.785
-41.901 42.126 39.763
-40.897 42.124 39.743
-39.893 42.124 39.727
-38.889 42.117 39.709
-37.884 42.111 39.694
-36.88 42.108 39.683
-35.876 42.105 39.673
-34.872 42.102 39.666
-33.867 42.1 39.659
-32.863 42.099 39.654
-31.859 42.097 39.65
-30.855 42.096 39.647
-29.85 42.095 39.645
-28.846 42.094 39.645
-27.842 42.093 39.645
-26.838 42.093 39.648
-25.833 42.093 39.651
-24.829 42.094 39.656
-23.825 42.098 39.663
-22.821 42.104 39.672
-21.816 42.109 39.682
-20.812 42.11 39.685
-19.808 42.111 39.689
-18.804 42.112 39.692
-17.8 42.114 39.696
-16.795 42.102 39.695
-15.791 42.091 39.696
-14.787 42.107 39.707
-13.783 42.122 39.719
-12.778 42.135 39.731
-11.774 42.134 39.732
-10.77 42.132 39.733
-9.766 42.131 39.737
-8.761 42.133 39.745
-7.757 42.149 39.768
-6.753 42.14 39.75
-5.749 42.132 39.734
-4.744 42.136 39.748
-3.74 42.14 39.762
-2.736 42.132 39.759
-1.732 42.139 39.771
-0.727 42.145 39.782
0.277 42.151 39.793
1.281 42.151 39.794
2.285 42.151 39.796
3.289 42.151 39.798
4.294 42.151 39.8
5.298 42.151 39.802
6.302 42.151 39.804
7.306 42.151 39.804
8.311 42.144 39.793
9.315 42.138 39.783
10.319 42.154 39.821
11.323 42.129 39.778
12.328 42.139 39.804
13.332 42.15 39.828
14.336 42.15 39.834
15.34 42.151 39.84
16.345 42.152 39.847
17.349 42.152 39.854
18.353 42.153 39.861
19.357 42.154 39.869
20.361 42.154 39.876
21.366 42.151 39.879
22.37 42.148 39.882
23.374 42.146 39.887
24.378 42.15 39.901
25.383 42.152 39.911
26.387 42.138 39.899
27.391 42.125 39.887
28.395 42.112 39.875
29.4 42.1 39.864
30.404 42.089 39.856
31.408 42.087 39.871
32.412 42.085 39.885
33.417 42.083 39.901
34.421 42.081 39.916
35.425 42.079 39.931
36.429 42.077 39.947
37.434 42.076 39.963
38.438 42.072 39.977
39.442 42.073 39.994
40.446 42.084 40.017
41.45 42.09 40.035
42.455 42.081 40.039
43.459 42.072 40.044
44.463 42.062 40.048
45.467 42.053 40.051
46.472 42.044 40.055
47.476 42.035 40.059
48.48 42.025 40.062
49.484 42.016 40.065
50.489 42.007 40.068
51.493 41.998 40.07
52.497 41.989 40.073
