"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-44.890 14.966 0.210 0.298 0.005 42.502 40.919
-43.883 9.275 0.077 0.549 0.007 42.202 40.211
-42.876 9.044 0.071 0.565 0.007 42.182 40.147
-41.869 8.084 0.050 0.678 0.007 42.145 39.968
-40.862 8.055 0.048 0.681 0.006 42.144 39.946
-39.854 7.237 0.034 0.814 0.007 42.112 39.725
-38.847 7.475 0.033 0.766 0.006 42.116 39.746
-37.840 7.245 0.030 0.804 0.006 42.103 39.684
-36.833 7.004 0.027 0.848 0.006 42.091 39.624
-35.825 6.775 0.024 0.895 0.006 42.080 39.574
-34.818 6.558 0.021 0.944 0.006 42.070 39.535
-33.811 6.356 0.019 0.996 0.006 42.062 39.506
-32.804 6.320 0.019 1.002 0.006 42.058 39.493
-31.796 6.269 0.018 1.012 0.006 42.052 39.479
-30.789 6.203 0.018 1.025 0.006 42.045 39.465
-29.782 6.113 0.017 1.053 0.006 42.043 39.456
-28.775 6.030 0.016 1.079 0.006 42.040 39.448
-27.768 5.935 0.015 1.111 0.006 42.038 39.441
-26.760 5.790 0.014 1.163 0.006 42.035 39.437
-25.753 5.664 0.013 1.214 0.006 42.034 39.435
-24.746 5.648 0.013 1.223 0.006 42.036 39.432
-23.739 5.630 0.012 1.233 0.006 42.037 39.428
-22.731 5.582 0.012 1.256 0.006 42.038 39.426
-21.724 5.480 0.012 1.301 0.006 42.037 39.426
-20.717 5.379 0.011 1.348 0.006 42.035 39.427
-19.710 5.289 0.011 1.390 0.007 42.032 39.427
-18.702 5.259 0.011 1.401 0.006 42.029 39.419
-17.695 5.212 0.010 1.416 0.006 42.023 39.411
-16.688 5.163 0.010 1.445 0.007 42.024 39.410
-15.681 5.143 0.010 1.458 0.007 42.025 39.408
-14.673 5.122 0.010 1.472 0.007 42.027 39.405
-13.666 5.102 0.010 1.486 0.007 42.028 39.402
-12.659 5.084 0.010 1.499 0.007 42.029 39.400
-11.652 5.071 0.010 1.511 0.007 42.032 39.399
-10.645 5.046 0.010 1.530 0.007 42.034 39.399
-9.637 5.014 0.009 1.552 0.007 42.035 39.400
-8.630 4.985 0.009 1.571 0.007 42.036 39.399
