"Time (MJD)" "Bol. Lum" "Bol. Err"
-44.89 42.502 40.919
-43.883 42.202 40.211
-42.876 42.182 40.147
-41.869 42.145 39.968
-40.862 42.144 39.946
-39.854 42.112 39.725
-38.847 42.116 39.746
-37.84 42.103 39.684
-36.833 42.091 39.624
-35.825 42.08 39.574
-34.818 42.07 39.535
-33.811 42.062 39.506
-32.804 42.058 39.493
-31.796 42.052 39.479
-30.789 42.045 39.465
-29.782 42.043 39.456
-28.775 42.04 39.448
-27.768 42.038 39.441
-26.76 42.035 39.437
-25.753 42.034 39.435
-24.746 42.036 39.432
-23.739 42.037 39.428
-22.731 42.038 39.426
-21.724 42.037 39.426
-20.717 42.035 39.427
-19.71 42.032 39.427
-18.702 42.029 39.419
-17.695 42.023 39.411
-16.688 42.024 39.41
-15.681 42.025 39.408
-14.673 42.027 39.405
-13.666 42.028 39.402
-12.659 42.029 39.4
-11.652 42.032 39.399
-10.645 42.034 39.399
-9.637 42.035 39.4
-8.63 42.036 39.399
-7.623 42.036 39.397
-6.616 42.037 39.395
-5.608 42.037 39.394
-4.601 42.036 39.394
-3.594 42.041 39.4
-2.587 42.045 39.405
-1.579 42.044 39.405
-0.572 42.043 39.404
0.435 42.041 39.402
1.442 42.037 39.396
2.449 42.033 39.391
3.457 42.021 39.381
4.464 42.019 39.383
5.471 42.018 39.385
6.478 42.021 39.388
7.486 42.023 39.39
8.493 42.025 39.393
9.5 42.025 39.395
10.507 42.019 39.396
11.515 42.014 39.397
12.522 42.01 39.401
13.529 42.008 39.41
14.536 42.009 39.417
15.543 42.009 39.424
16.551 42.009 39.432
17.558 42.009 39.44
18.565 42.007 39.445
19.572 42.001 39.445
20.58 41.995 39.444
21.587 41.988 39.441
22.594 41.977 39.401
23.601 41.973 39.402
24.609 41.969 39.404
25.616 41.961 39.403
26.623 41.955 39.403
27.63 41.947 39.401
28.637 41.94 39.4
29.645 41.933 39.398
30.652 41.926 39.397
31.659 41.918 39.396
32.666 41.909 39.393
33.674 41.9 39.391
34.681 41.89 39.391
35.688 41.881 39.39
36.695 41.872 39.389
37.703 41.862 39.388
38.71 41.852 39.387
39.717 41.841 39.385
40.724 41.83 39.384
41.731 41.819 39.383
42.739 41.806 39.382
43.746 41.79 39.38
44.753 41.774 39.379
45.76 41.758 39.379
46.768 41.742 39.379
47.775 41.71 39.364
48.782 41.668 39.34
49.789 41.624 39.311
50.797 41.575 39.272
51.804 41.521 39.224
52.811 41.465 39.179
53.818 41.434 39.165
54.825 41.402 39.172
55.833 41.395 39.178
56.84 41.388 39.184
57.847 41.381 39.191
58.854 41.374 39.197
59.862 41.367 39.204
60.869 41.359 39.211
61.876 41.352 39.217
62.883 41.345 39.224
63.891 41.338 39.231
64.898 41.331 39.237
65.905 41.324 39.244
66.912 41.317 39.25
67.919 41.301 39.246
68.927 41.281 39.24
69.934 41.262 39.232
70.941 41.243 39.224
71.948 41.23 39.219
72.956 41.22 39.215
73.963 41.209 39.211
74.97 41.197 39.207
75.977 41.187 39.203
76.985 41.176 39.199
77.992 41.165 39.195
78.999 41.159 39.198
80.006 41.154 39.204
81.013 41.15 39.21
82.021 41.145 39.215
83.028 41.13 39.236
84.035 41.125 39.244
85.042 41.12 39.253
86.05 41.116 39.261
87.057 41.111 39.27
88.064 41.106 39.278
89.071 41.101 39.287
90.079 41.097 39.295
91.086 41.145 39.587
92.093 41.142 39.593
93.1 41.139 39.599
94.107 41.136 39.604
95.115 41.133 39.61
96.122 41.129 39.615
97.129 41.126 39.621
98.136 41.123 39.626
99.144 41.12 39.631
100.151 41.117 39.636
101.158 41.114 39.641
102.165 41.11 39.646
