"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
-16.926 9.317 0.145 0.783 0.020 42.518 40.707
-15.920 8.757 0.123 0.886 0.021 42.517 40.607
-14.913 8.269 0.106 1.000 0.023 42.523 40.523
-13.907 7.930 0.096 1.106 0.025 42.537 40.480
-12.901 7.689 0.087 1.158 0.025 42.524 40.428
-11.894 7.464 0.079 1.211 0.025 42.511 40.390
-10.888 7.253 0.073 1.264 0.026 42.499 40.366
-9.881 7.056 0.067 1.320 0.026 42.488 40.352
-8.875 6.871 0.062 1.376 0.027 42.478 40.347
-7.868 6.697 0.058 1.434 0.027 42.469 40.348
-6.862 6.534 0.054 1.493 0.028 42.461 40.353
-5.856 6.380 0.050 1.553 0.028 42.454 40.360
-4.849 6.235 0.047 1.614 0.029 42.448 40.368
-3.843 6.097 0.045 1.676 0.029 42.442 40.376
-2.836 5.938 0.042 1.746 0.030 42.431 40.385
-1.830 5.789 0.039 1.816 0.031 42.422 40.393
-0.824 5.649 0.037 1.888 0.032 42.413 40.401
0.183 5.517 0.035 1.960 0.033 42.404 40.409
1.189 5.398 0.033 2.022 0.034 42.393 40.412
2.196 5.284 0.032 2.085 0.034 42.383 40.415
3.202 5.175 0.030 2.150 0.035 42.373 40.418
4.208 5.071 0.029 2.216 0.036 42.364 40.421
5.215 4.971 0.027 2.283 0.037 42.356 40.423
6.221 4.875 0.026 2.352 0.038 42.348 40.426
7.228 4.783 0.025 2.423 0.039 42.341 40.429
8.234 4.695 0.024 2.496 0.040 42.334 40.431
9.241 4.610 0.023 2.570 0.040 42.327 40.434
10.247 4.528 0.022 2.646 0.041 42.322 40.436
11.253 4.450 0.021 2.724 0.042 42.316 40.438
12.260 4.374 0.020 2.803 0.043 42.312 40.441
13.266 4.301 0.019 2.885 0.044 42.307 40.443
14.273 4.231 0.019 2.968 0.046 42.303 40.445
15.279 4.163 0.018 3.053 0.047 42.300 40.447
16.285 4.118 0.018 3.107 0.047 42.296 40.447
17.292 4.115 0.018 3.098 0.047 42.292 40.443
18.298 4.112 0.018 3.089 0.047 42.288 40.438
19.305 4.109 0.018 3.079 0.047 42.285 40.433
20.311 4.106 0.018 3.070 0.047 42.281 40.428
21.317 4.103 0.018 3.060 0.046 42.277 40.422
22.324 4.101 0.018 3.050 0.046 42.273 40.417
23.330 4.098 0.018 3.040 0.046 42.269 40.411
24.337 4.096 0.018 3.030 0.046 42.265 40.405
25.343 4.093 0.018 3.020 0.046 42.261 40.399
26.349 4.091 0.018 3.011 0.046 42.257 40.393
27.356 4.089 0.018 3.001 0.045 42.254 40.386
28.362 4.086 0.018 2.991 0.045 42.250 40.380
29.369 4.084 0.018 2.981 0.045 42.246 40.373
30.375 4.082 0.018 2.971 0.045 42.242 40.366
31.382 4.079 0.018 2.962 0.044 42.238 40.358
32.388 4.077 0.018 2.952 0.044 42.234 40.351
33.394 4.075 0.018 2.943 0.044 42.231 40.343
34.401 4.072 0.018 2.933 0.043 42.227 40.335
35.407 4.070 0.018 2.924 0.043 42.223 40.327
36.414 4.067 0.018 2.915 0.042 42.219 40.318
37.420 4.065 0.018 2.906 0.042 42.215 40.309
38.426 4.062 0.018 2.897 0.042 42.212 40.300
39.433 4.060 0.018 2.888 0.041 42.208 40.291
40.439 4.057 0.018 2.879 0.041 42.204 40.281
41.446 4.055 0.018 2.870 0.040 42.200 40.271
42.452 4.052 0.018 2.862 0.040 42.197 40.261
43.458 4.056 0.017 2.833 0.039 42.190 40.246
44.465 4.079 0.017 2.746 0.037 42.173 40.216
45.471 4.104 0.017 2.659 0.035 42.155 40.186
46.478 4.131 0.017 2.572 0.033 42.137 40.155
47.484 4.159 0.017 2.485 0.031 42.119 40.123
48.491 4.189 0.017 2.398 0.029 42.101 40.091
49.497 4.220 0.017 2.313 0.028 42.082 40.058
50.503 4.252 0.017 2.228 0.026 42.063 40.025
51.510 4.286 0.017 2.145 0.025 42.044 39.992
52.516 4.297 0.017 2.103 0.024 42.031 39.968
53.523 4.194 0.016 2.261 0.025 42.052 39.993
54.529 4.107 0.015 2.401 0.026 42.068 40.011
55.535 4.073 0.014 2.405 0.026 42.055 39.992
56.542 4.065 0.014 2.400 0.025 42.049 39.979
57.548 4.056 0.014 2.396 0.025 42.044 39.966
58.555 4.049 0.014 2.386 0.024 42.038 39.952
59.561 4.052 0.013 2.351 0.024 42.026 39.932
60.567 4.055 0.013 2.317 0.023 42.015 39.912
62.580 4.063 0.013 2.218 0.021 41.980 39.854
63.587 4.075 0.013 2.156 0.020 41.961 39.824
64.593 4.109 0.013 2.021 0.018 41.919 39.768
65.599 4.054 0.012 2.116 0.019 41.935 39.787
66.606 3.993 0.012 2.214 0.020 41.948 39.804
67.612 3.919 0.012 2.274 0.020 41.939 39.803
68.619 3.903 0.011 2.169 0.019 41.891 39.752
