"Time (MJD)" "Bol. Lum" "Bol. Err"
-16.926 42.518 40.707
-15.92 42.517 40.607
-14.913 42.523 40.523
-13.907 42.537 40.48
-12.901 42.524 40.428
-11.894 42.511 40.39
-10.888 42.499 40.366
-9.881 42.488 40.352
-8.875 42.478 40.347
-7.868 42.469 40.348
-6.862 42.461 40.353
-5.856 42.454 40.36
-4.849 42.448 40.368
-3.843 42.442 40.376
-2.836 42.431 40.385
-1.83 42.422 40.393
-0.824 42.413 40.401
0.183 42.404 40.409
1.189 42.393 40.412
2.196 42.383 40.415
3.202 42.373 40.418
4.208 42.364 40.421
5.215 42.356 40.423
6.221 42.348 40.426
7.228 42.341 40.429
8.234 42.334 40.431
9.241 42.327 40.434
10.247 42.322 40.436
11.253 42.316 40.438
12.26 42.312 40.441
13.266 42.307 40.443
14.273 42.303 40.445
15.279 42.3 40.447
16.285 42.296 40.447
17.292 42.292 40.443
18.298 42.288 40.438
19.305 42.285 40.433
20.311 42.281 40.428
21.317 42.277 40.422
22.324 42.273 40.417
23.33 42.269 40.411
24.337 42.265 40.405
25.343 42.261 40.399
26.349 42.257 40.393
27.356 42.254 40.386
28.362 42.25 40.38
29.369 42.246 40.373
30.375 42.242 40.366
31.382 42.238 40.358
32.388 42.234 40.351
33.394 42.231 40.343
34.401 42.227 40.335
35.407 42.223 40.327
36.414 42.219 40.318
37.42 42.215 40.309
38.426 42.212 40.3
39.433 42.208 40.291
40.439 42.204 40.281
41.446 42.2 40.271
42.452 42.197 40.261
43.458 42.19 40.246
44.465 42.173 40.216
45.471 42.155 40.186
46.478 42.137 40.155
47.484 42.119 40.123
48.491 42.101 40.091
49.497 42.082 40.058
50.503 42.063 40.025
51.51 42.044 39.992
52.516 42.031 39.968
53.523 42.052 39.993
54.529 42.068 40.011
55.535 42.055 39.992
56.542 42.049 39.979
57.548 42.044 39.966
58.555 42.038 39.952
59.561 42.026 39.932
60.567 42.015 39.912
62.58 41.98 39.854
63.587 41.961 39.824
64.593 41.919 39.768
65.599 41.935 39.787
66.606 41.948 39.804
67.612 41.939 39.803
68.619 41.891 39.752
69.625 41.842 39.701
70.632 41.793 39.651
71.638 41.745 39.601
72.644 41.696 39.551
73.651 41.648 39.501
74.657 41.599 39.452
75.664 41.551 39.403
76.67 41.503 39.354
77.676 41.454 39.306
78.683 41.406 39.257
79.689 41.358 39.209
80.696 41.313 39.16
81.702 41.283 39.128
82.708 41.27 39.116
83.715 41.257 39.104
84.721 41.256 39.106
85.728 41.248 39.096
86.734 41.202 39.041
87.741 41.196 39.039
88.747 41.185 39.025
89.753 41.175 39.011
90.76 41.164 38.997
91.766 41.164 38.997
92.773 41.176 39.013
93.779 41.192 39.036
94.785 41.188 39.027
95.792 41.182 39.013
96.798 41.171 39.0
97.805 41.148 38.974
98.811 41.138 38.958
99.817 41.131 38.947
100.824 41.126 38.941
101.83 41.121 38.935
102.837 41.117 38.929
103.843 41.112 38.922
104.849 41.107 38.916
105.856 41.102 38.909
106.862 41.097 38.902
107.869 41.077 38.875
108.875 41.043 38.831
109.882 41.041 38.828
110.888 41.051 38.838
111.894 41.044 38.834
112.901 41.038 38.833
113.907 41.033 38.827
114.914 41.029 38.82
115.92 41.024 38.814
116.926 41.019 38.808
117.933 41.014 38.801
118.939 41.009 38.796
119.946 41.006 38.792
120.952 41.004 38.792
121.958 41.002 38.791
122.965 41.004 38.796
123.971 41.005 38.81
124.978 40.971 38.772
125.984 40.94 38.729
126.991 40.945 38.739
127.997 40.942 38.744
129.003 40.923 38.732
130.01 40.931 38.756
131.016 40.936 38.775
132.023 40.922 38.774
133.029 40.909 38.773
134.035 40.895 38.774
135.042 40.882 38.775
136.048 40.865 38.771
137.055 40.86 38.784
138.061 40.868 38.822
139.067 40.863 38.831
140.074 40.852 38.843
