"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err SLOAN/SDSS.gprime_filter SLOAN/SDSS.gprime_filter_err SLOAN/SDSS.iprime_filter SLOAN/SDSS.iprime_filter_err SLOAN/SDSS.rprime_filter SLOAN/SDSS.rprime_filter_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-6.000 -16.461 -0.059 -16.460 -0.058 -16.457 -0.057 -16.028 -0.056 -15.999 -0.054 -15.909 -0.054 -15.969 -0.071 -15.984 -0.073 -15.901 -0.093 9.520 1.910 0.444 0.122 42.063 41.493
-5.900 -16.496 -0.056 -16.495 -0.054 -16.493 -0.054 -16.070 -0.053 -16.041 -0.051 -15.950 -0.051 -16.005 -0.068 -16.020 -0.069 -15.930 -0.089 18.081 4.375 0.221 0.049 42.570 42.288
-5.800 -16.531 -0.053 -16.530 -0.052 -16.529 -0.051 -16.112 -0.051 -16.084 -0.049 -15.991 -0.049 -16.041 -0.065 -16.055 -0.066 -15.958 -0.085 18.009 4.195 0.226 0.049 42.581 42.282
-5.700 -16.566 -0.050 -16.566 -0.049 -16.564 -0.048 -16.155 -0.048 -16.126 -0.046 -16.032 -0.046 -16.078 -0.062 -16.090 -0.063 -15.987 -0.082 17.921 4.006 0.231 0.048 42.592 42.274
-5.600 -16.601 -0.047 -16.601 -0.046 -16.600 -0.046 -16.197 -0.045 -16.168 -0.044 -16.074 -0.044 -16.114 -0.059 -16.125 -0.060 -16.015 -0.078 17.815 3.808 0.236 0.047 42.602 42.264
-5.500 -16.636 -0.045 -16.636 -0.044 -16.636 -0.043 -16.239 -0.043 -16.211 -0.041 -16.115 -0.042 -16.149 -0.056 -16.160 -0.057 -16.043 -0.075 17.690 3.604 0.242 0.046 42.611 42.250
-5.400 -16.671 -0.043 -16.671 -0.041 -16.671 -0.041 -16.281 -0.041 -16.253 -0.039 -16.157 -0.041 -16.185 -0.053 -16.194 -0.054 -16.072 -0.071 17.548 3.394 0.248 0.045 42.619 42.234
-5.300 -16.706 -0.040 -16.706 -0.039 -16.706 -0.039 -16.323 -0.039 -16.295 -0.037 -16.200 -0.039 -16.220 -0.050 -16.228 -0.051 -16.100 -0.068 17.389 3.181 0.255 0.044 42.626 42.215
-5.200 -16.740 -0.039 -16.741 -0.037 -16.741 -0.037 -16.365 -0.037 -16.337 -0.035 -16.242 -0.038 -16.255 -0.048 -16.262 -0.049 -16.128 -0.065 17.214 2.968 0.262 0.043 42.633 42.194
-5.100 -16.774 -0.037 -16.775 -0.036 -16.775 -0.035 -16.406 -0.035 -16.379 -0.033 -16.284 -0.037 -16.289 -0.045 -16.296 -0.046 -16.156 -0.062 17.027 2.757 0.269 0.042 42.638 42.170
-5.000 -16.808 -0.035 -16.808 -0.034 -16.809 -0.034 -16.447 -0.033 -16.420 -0.031 -16.325 -0.036 -16.323 -0.043 -16.329 -0.044 -16.184 -0.059 16.828 2.550 0.277 0.041 42.643 42.143
-4.900 -16.840 -0.034 -16.841 -0.032 -16.842 -0.033 -16.487 -0.031 -16.460 -0.030 -16.366 -0.035 -16.357 -0.040 -16.362 -0.041 -16.212 -0.056 16.620 2.349 0.285 0.039 42.647 42.114
-4.800 -16.872 -0.032 -16.874 -0.031 -16.874 -0.031 -16.526 -0.030 -16.500 -0.028 -16.407 -0.034 -16.391 -0.038 -16.394 -0.039 -16.239 -0.054 16.407 2.156 0.294 0.038 42.650 42.083
-4.700 -16.904 -0.031 -16.905 -0.030 -16.906 -0.030 -16.565 -0.028 -16.540 -0.027 -16.447 -0.033 -16.423 -0.036 -16.426 -0.037 -16.267 -0.051 16.189 1.972 0.303 0.036 42.652 42.050
-4.600 -16.934 -0.030 -16.935 -0.029 -16.936 -0.029 -16.603 -0.027 -16.578 -0.026 -16.487 -0.033 -16.456 -0.035 -16.457 -0.035 -16.294 -0.049 15.968 1.799 0.312 0.035 42.654 42.015
